Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,Model,Estimation_Method,Distribution
0.024372417,-0.26799282,-0.60517734,-0.16282918,0.1962207,0.33040223,-0.15831591,1.0461869,-0.8182975,1.4154305,1,Sequential RNN,MAP,t-Distribution
0.207584,-0.24719067,-0.5098132,-0.16594714,0.21635401,0.80582255,-0.11146923,0.7673787,-0.7748256,0.81210655,2,Sequential RNN,MAP,t-Distribution
-0.005510218,-0.17930609,-0.5334702,-0.05053798,0.16444777,0.75078684,0.011506155,0.35356295,-0.8703389,1.3588598,3,Sequential RNN,MAP,t-Distribution
-0.025968077,-0.30098504,-0.55172855,-0.15231825,0.19649595,0.6550541,-0.1865138,1.1947337,-0.84365356,1.0148834,4,Sequential RNN,MAP,t-Distribution
-0.061605327,-0.17548445,-0.65847296,-0.10214707,0.23243599,-0.16816373,-0.08356012,0.5954565,-0.44976863,1.8713099,5,Sequential RNN,MAP,t-Distribution
-0.011572466,-0.3677999,-0.6006475,-0.27599937,0.14838587,-0.12818314,-0.3603703,1.9026347,-0.6729132,1.3664653,6,Sequential RNN,MAP,t-Distribution
0.18972601,-0.054871384,-0.4082604,0.008464974,0.1398409,0.87316364,0.13275386,-0.15830827,-0.77316934,1.05066,7,Sequential RNN,MAP,t-Distribution
0.065850936,-0.091437735,-0.5536277,-0.03197762,0.24272263,0.38840997,0.07610029,0.085361384,-0.73899525,1.5575931,8,Sequential RNN,MAP,t-Distribution
0.033892486,-0.18162249,-0.56723756,-0.09213114,0.15963694,0.64081544,-0.031917997,0.5310287,-0.86027247,1.3678081,9,Sequential RNN,MAP,t-Distribution
0.026972095,-0.23007467,-0.56216824,-0.12624253,0.20542127,0.640504,-0.027002715,0.6556692,-0.8206073,1.2375288,10,Sequential RNN,MAP,t-Distribution
0.050790418,-0.14473745,-0.3537375,-0.05645038,0.19902281,1.246835,0.10410321,0.15493838,-0.9067426,0.70597804,11,Sequential RNN,MAP,t-Distribution
-0.041206095,-0.33323404,-0.514446,-0.2424661,0.28660357,0.66730785,-0.23023461,1.4375432,-0.8308518,0.8009842,12,Sequential RNN,MAP,t-Distribution
0.061799854,0.01930856,-0.5906589,-0.040225267,0.17608635,-0.5391201,0.048266694,-0.0798045,-0.10158293,2.0459301,13,Sequential RNN,MAP,t-Distribution
0.029700669,0.0058671865,-0.52116406,-0.031943697,0.1399517,-0.53401977,-0.017327683,0.0736229,-0.17165576,2.0269685,14,Sequential RNN,MAP,t-Distribution
-0.06481402,-0.19291648,-0.5894557,-0.10363336,0.19428638,0.047172174,-0.082749404,0.7077429,-0.6707441,1.7551117,15,Sequential RNN,MAP,t-Distribution
0.009757529,-0.31910697,-0.5818081,-0.22718132,0.08881552,-0.09494621,-0.2763042,1.6477655,-0.6858566,1.4388647,16,Sequential RNN,MAP,t-Distribution
-0.06251419,-0.13619721,-0.60557306,-0.026627624,0.23604302,0.045102168,-0.049936663,0.4364012,-0.688001,1.8513033,17,Sequential RNN,MAP,t-Distribution
0.12087241,0.14522533,-0.5048489,0.037008986,0.14831561,-0.43685198,0.15222916,-0.4804262,-0.12836742,1.946843,18,Sequential RNN,MAP,t-Distribution
-0.046889644,-0.2762727,-0.57332957,-0.18315126,0.1897305,0.23255198,-0.15511712,1.158248,-0.77052325,1.4247531,19,Sequential RNN,MAP,t-Distribution
-0.009989862,-0.27793327,-0.5769069,-0.16619848,0.17237613,0.56457114,-0.16036223,1.1340338,-0.93968016,1.2600898,20,Sequential RNN,MAP,t-Distribution
-0.017995937,-0.29497322,-0.5732256,-0.20195405,0.12169032,-0.2299118,-0.2292354,1.3667908,-0.65179795,1.7106129,21,Sequential RNN,MAP,t-Distribution
0.02231358,-0.16846654,-0.58324754,-0.080662325,0.23070645,0.06482354,-0.10110334,0.5989654,-0.61183274,1.6285036,22,Sequential RNN,MAP,t-Distribution
-0.025441697,-0.29065952,-0.50701416,-0.17138647,0.18138082,0.76973647,-0.15731205,1.1423775,-0.7489269,0.80724585,23,Sequential RNN,MAP,t-Distribution
0.11835199,-0.19236802,-0.6045492,-0.11275647,0.12519337,0.2290142,-0.08898092,0.6803222,-0.7793895,1.6251625,24,Sequential RNN,MAP,t-Distribution
0.0026391135,-0.3204843,-0.5177649,-0.21385448,0.10706917,0.33656108,-0.24871165,1.5721164,-0.803035,1.0854646,25,Sequential RNN,MAP,t-Distribution
0.13341571,-0.14454523,-0.51529074,-0.06132148,0.15206684,0.6837656,0.024435384,0.3356617,-0.8872869,1.2790991,26,Sequential RNN,MAP,t-Distribution
0.052675944,-0.119636215,-0.5884866,-0.1171519,0.21696846,-0.020916315,0.058188472,0.3281558,-0.5472781,1.7374805,27,Sequential RNN,MAP,t-Distribution
