Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.25907403,3.262714,2.0913787,1.6235287,0.8677318,2,5.0,MAP,t-Distribution,Sequential RNN
2,0.40458125,2.772911,1.6465077,1.1966044,0.8344459,2,5.0,MAP,t-Distribution,Sequential RNN
3,-0.54353875,2.3702662,1.3164937,0.8956001,0.7806407,2,5.0,MAP,t-Distribution,Sequential RNN
4,0.14331016,2.7745712,1.6134642,1.1496996,0.8601546,2,5.0,MAP,t-Distribution,Sequential RNN
5,-0.112050615,3.2838774,2.1114037,1.6430988,0.8685753,2,5.0,MAP,t-Distribution,Sequential RNN
6,0.27324444,2.9095798,1.779169,1.3276647,0.83741486,2,5.0,MAP,t-Distribution,Sequential RNN
7,0.5623339,2.5804107,1.5090437,1.0811225,0.7936748,2,5.0,MAP,t-Distribution,Sequential RNN
8,-1.4336625,3.1087785,1.9660949,1.5096887,0.84650654,2,5.0,MAP,t-Distribution,Sequential RNN
9,-0.72488016,2.7563696,1.46637,0.9511235,0.95563906,2,5.0,MAP,t-Distribution,Sequential RNN
10,0.9850409,2.1758177,1.0148953,0.55120426,0.86001796,2,5.0,MAP,t-Distribution,Sequential RNN
11,-0.9317991,2.9627416,1.8145726,1.3559755,0.85057014,2,5.0,MAP,t-Distribution,Sequential RNN
12,0.10910404,3.1619692,1.9083076,1.407575,0.9287197,2,5.0,MAP,t-Distribution,Sequential RNN
13,-1.2504716,3.1457155,1.994089,1.534111,0.8531314,2,5.0,MAP,t-Distribution,Sequential RNN
14,-2.2289844,4.432118,2.9692025,2.3848908,1.0837362,2,5.0,MAP,t-Distribution,Sequential RNN
15,0.4358619,2.5752895,1.1762822,0.6174963,1.0363926,2,5.0,MAP,t-Distribution,Sequential RNN
16,0.9487983,1.8347601,0.7706414,0.3456154,0.78830516,2,5.0,MAP,t-Distribution,Sequential RNN
17,0.5240973,4.2866635,2.9160829,2.3686512,1.0153338,2,5.0,MAP,t-Distribution,Sequential RNN
18,-1.271954,3.3037572,2.1304936,1.6618735,0.86916035,2,5.0,MAP,t-Distribution,Sequential RNN
19,0.44726914,2.6071758,1.3381702,0.8313089,0.9400867,2,5.0,MAP,t-Distribution,Sequential RNN
20,1.522276,2.2920973,1.2416986,0.82215255,0.77814144,2,5.0,MAP,t-Distribution,Sequential RNN
21,0.15183811,2.206662,1.0631812,0.6064566,0.84709716,2,5.0,MAP,t-Distribution,Sequential RNN
22,0.2691368,2.516462,1.4487439,1.0222802,0.7909717,2,5.0,MAP,t-Distribution,Sequential RNN
23,1.1289569,2.727234,1.6392317,1.2046663,0.80599827,2,5.0,MAP,t-Distribution,Sequential RNN
24,0.34134147,2.6837368,1.5582736,1.1087456,0.83374953,2,5.0,MAP,t-Distribution,Sequential RNN
25,-0.030854661,2.3234096,1.2734052,0.8540167,0.7778492,2,5.0,MAP,t-Distribution,Sequential RNN
26,0.07894686,2.6201365,1.5318882,1.0972244,0.80618054,2,5.0,MAP,t-Distribution,Sequential RNN
27,-0.10214007,2.0833542,1.0363128,0.61810774,0.7756542,2,5.0,MAP,t-Distribution,Sequential RNN
28,-0.28588048,1.7109054,0.62267923,0.18802431,0.80616415,2,5.0,MAP,t-Distribution,Sequential RNN
