N_Assets,Estimation_Method,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Distribution,Validation_RMSE
5,MAP,2.3286588,4.7705366e-6,1.6647247,Sequential RNN,3.4527418e-14,5.0,t-Distribution,1.2094749
5,MAP,2.3191009,4.8911465e-6,1.6652524,Sequential LSTM,2.7792711e-14,5.0,t-Distribution,1.194855
