Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.02498821,-0.5141203,-0.31589645,-0.23672268,0.14684534,30,5.0,MAP,t-Distribution,Sequential RNN
2,0.003169617,-0.5802731,-0.38141295,-0.30198503,0.14731672,30,5.0,MAP,t-Distribution,Sequential RNN
3,0.020973928,-0.5260447,-0.31706238,-0.23359151,0.15481529,30,5.0,MAP,t-Distribution,Sequential RNN
4,0.029869135,-0.5398252,-0.33136812,-0.24810703,0.15442619,30,5.0,MAP,t-Distribution,Sequential RNN
5,-0.0049709156,-0.5381605,-0.3279796,-0.24402997,0.15570323,30,5.0,MAP,t-Distribution,Sequential RNN
6,0.011991478,-0.55504,-0.3473831,-0.2644416,0.1538334,30,5.0,MAP,t-Distribution,Sequential RNN
7,0.04278039,-0.5375147,-0.33029592,-0.24752943,0.15350886,30,5.0,MAP,t-Distribution,Sequential RNN
8,0.028437855,-0.5379795,-0.32921386,-0.24582954,0.15465476,30,5.0,MAP,t-Distribution,Sequential RNN
9,0.015749378,-0.5059232,-0.2990779,-0.21646057,0.15323217,30,5.0,MAP,t-Distribution,Sequential RNN
10,0.023328323,-0.53598017,-0.3290991,-0.2464675,0.15325867,30,5.0,MAP,t-Distribution,Sequential RNN
11,0.010918135,-0.5343441,-0.32957894,-0.24779244,0.1516912,30,5.0,MAP,t-Distribution,Sequential RNN
12,0.059171267,-0.52378124,-0.3155384,-0.23236287,0.15426748,30,5.0,MAP,t-Distribution,Sequential RNN
13,0.09674885,-0.5457275,-0.3370662,-0.25372356,0.15457746,30,5.0,MAP,t-Distribution,Sequential RNN
14,0.026020717,-0.56249094,-0.3519678,-0.2678815,0.15595675,30,5.0,MAP,t-Distribution,Sequential RNN
15,-0.027382145,-0.5259428,-0.31852964,-0.23568551,0.15365285,30,5.0,MAP,t-Distribution,Sequential RNN
16,-0.004916838,-0.49791193,-0.2895655,-0.2063486,0.15434422,30,5.0,MAP,t-Distribution,Sequential RNN
17,0.011255777,-0.5638413,-0.3545628,-0.27097362,0.1550347,30,5.0,MAP,t-Distribution,Sequential RNN
18,-0.009590855,-0.5811222,-0.37216738,-0.28870746,0.15479495,30,5.0,MAP,t-Distribution,Sequential RNN
19,0.007457788,-0.5237702,-0.31181264,-0.22715342,0.15701935,30,5.0,MAP,t-Distribution,Sequential RNN
20,-0.022149118,-0.52524245,-0.31598723,-0.23240732,0.15501748,30,5.0,MAP,t-Distribution,Sequential RNN
21,0.011396676,-0.521851,-0.31277528,-0.2292671,0.15488447,30,5.0,MAP,t-Distribution,Sequential RNN
22,-0.0031834715,-0.5515049,-0.34385985,-0.2609231,0.15382464,30,5.0,MAP,t-Distribution,Sequential RNN
23,-0.022115232,-0.51510113,-0.30674618,-0.22352587,0.15435055,30,5.0,MAP,t-Distribution,Sequential RNN
