Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,6.2421756,11.086432,6.82361,5.1209702,3.1579232,29,5.0,MAP,t-Distribution,Sequential RNN
2,-0.6224545,5.061598,3.13403,2.3641286,1.4279531,29,5.0,MAP,t-Distribution,Sequential RNN
3,1.2190944,7.637922,4.4837584,3.2239351,2.336622,29,5.0,MAP,t-Distribution,Sequential RNN
4,-2.7798212,32.11497,19.085865,13.88183,9.652037,29,5.0,MAP,t-Distribution,Sequential RNN
5,2.0634644,8.136025,4.8307657,3.510592,2.4485552,29,5.0,MAP,t-Distribution,Sequential RNN
6,1.3463043,5.017334,2.8336983,1.9615191,1.61765,29,5.0,MAP,t-Distribution,Sequential RNN
7,-14.775732,163.87538,102.4972,77.98177,45.469303,29,5.0,MAP,t-Distribution,Sequential RNN
8,1.7053376,5.14235,3.0456831,2.2082407,1.5532229,29,5.0,MAP,t-Distribution,Sequential RNN
9,-4.297872,48.593678,29.015665,21.195894,14.503502,29,5.0,MAP,t-Distribution,Sequential RNN
10,0.46298063,10.261591,6.0290895,4.338561,3.135461,29,5.0,MAP,t-Distribution,Sequential RNN
11,-13.463284,43.85599,25.5506,18.239134,13.560738,29,5.0,MAP,t-Distribution,Sequential RNN
12,-38.314236,56.56955,33.460194,24.229944,17.119543,29,5.0,MAP,t-Distribution,Sequential RNN
13,-2.7132742,5.1310115,3.12531,2.3242004,1.4858353,29,5.0,MAP,t-Distribution,Sequential RNN
14,-1.2536995,8.274245,5.1662397,3.9248524,2.302428,29,5.0,MAP,t-Distribution,Sequential RNN
15,0.8771571,32.95303,19.766035,14.498938,9.769002,29,5.0,MAP,t-Distribution,Sequential RNN
16,-1.9669834,8.587214,5.0904503,3.6937866,2.590423,29,5.0,MAP,t-Distribution,Sequential RNN
17,2.3866622,12.422634,7.717727,5.838512,3.485422,29,5.0,MAP,t-Distribution,Sequential RNN
18,-0.124321565,4.043808,2.326267,1.6402537,1.272364,29,5.0,MAP,t-Distribution,Sequential RNN
19,7.580406,51.36981,31.070293,22.962341,15.037995,29,5.0,MAP,t-Distribution,Sequential RNN
20,-3.2771122,71.00225,43.508026,32.52639,20.367882,29,5.0,MAP,t-Distribution,Sequential RNN
21,0.63719094,12.397343,7.8594403,6.0469294,3.361704,29,5.0,MAP,t-Distribution,Sequential RNN
22,-6.9035516,18.551132,11.01101,7.999365,5.585766,29,5.0,MAP,t-Distribution,Sequential RNN
23,-2.19616,20.363668,12.131871,8.843961,6.098161,29,5.0,MAP,t-Distribution,Sequential RNN
24,1.9400394,16.276321,10.0023575,7.4964356,4.647788,29,5.0,MAP,t-Distribution,Sequential RNN
25,-0.6233482,42.209393,26.030542,19.56845,11.985383,29,5.0,MAP,t-Distribution,Sequential RNN
26,3.8231328,23.777216,14.44103,10.712007,6.916301,29,5.0,MAP,t-Distribution,Sequential RNN
27,1.7101125,8.940288,5.6237183,4.2990274,2.4569333,29,5.0,MAP,t-Distribution,Sequential RNN
28,0.93922293,6.7067204,4.1311746,3.1024604,1.9079789,29,5.0,MAP,t-Distribution,Sequential RNN
29,15.204346,38.617542,23.271814,17.142483,11.368203,29,5.0,MAP,t-Distribution,Sequential RNN
30,1.9912705,8.240852,4.9726157,3.6672297,2.4211285,29,5.0,MAP,t-Distribution,Sequential RNN
31,-34.048397,162.76607,103.24029,79.46474,44.097034,29,5.0,MAP,t-Distribution,Sequential RNN
32,5.787371,43.66525,26.229044,19.264744,12.9168415,29,5.0,MAP,t-Distribution,Sequential RNN
33,-1.476887,5.639277,3.3939729,2.4971626,1.663334,29,5.0,MAP,t-Distribution,Sequential RNN
34,-1.4990683,7.7694874,4.433983,3.101729,2.4709606,29,5.0,MAP,t-Distribution,Sequential RNN
35,0.2347119,5.9211364,3.516353,2.555844,1.7814771,29,5.0,MAP,t-Distribution,Sequential RNN
36,-2.1044154,44.39628,28.625887,22.32694,11.682796,29,5.0,MAP,t-Distribution,Sequential RNN
