N_Assets,Estimation_Method,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Distribution,Validation_RMSE
10,MAP,2.1178591,0.5917674,1.465724,Sequential RNN,7.292607e-5,5.0,t-Distribution,1.1099412
10,MAP,2.1151416,0.00015369937,1.4621421,Sequential LSTM,1.7025099e-13,5.0,t-Distribution,1.1053922
