Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.259468,-4.503052,-2.5891578,-1.8247178,1.4178238,2,5.0,MAP,t-Distribution,Sequential LSTM
2,0.40433323,-4.664772,-2.8101802,-2.0694265,1.3738922,2,5.0,MAP,t-Distribution,Sequential LSTM
3,-0.5383839,-4.5916266,-2.8073971,-2.0947473,1.3217673,2,5.0,MAP,t-Distribution,Sequential LSTM
4,0.13244739,-4.866458,-2.9565818,-2.1937466,1.4148473,2,5.0,MAP,t-Distribution,Sequential LSTM
5,-0.1151697,-4.519926,-2.607272,-1.8433273,1.416905,2,5.0,MAP,t-Distribution,Sequential LSTM
6,0.2705693,-4.5795302,-2.7233484,-1.9819596,1.3750702,2,5.0,MAP,t-Distribution,Sequential LSTM
7,0.5477353,-4.51675,-2.72418,-2.0081987,1.3279461,2,5.0,MAP,t-Distribution,Sequential LSTM
8,-1.4174445,-4.475628,-2.5992682,-1.84982,1.390018,2,5.0,MAP,t-Distribution,Sequential LSTM
9,-0.7052851,-5.7803693,-3.5967772,-2.7246156,1.6176174,2,5.0,MAP,t-Distribution,Sequential LSTM
10,0.96941847,-5.4539213,-3.4627378,-2.6674273,1.47508,2,5.0,MAP,t-Distribution,Sequential LSTM
11,-0.9289495,-4.589634,-2.7048469,-1.9520327,1.3962611,2,5.0,MAP,t-Distribution,Sequential LSTM
12,0.09920723,-5.1637917,-3.0968442,-2.2712722,1.5312065,2,5.0,MAP,t-Distribution,Sequential LSTM
13,-1.2600629,-4.512324,-2.6280622,-1.875458,1.3958716,2,5.0,MAP,t-Distribution,Sequential LSTM
14,-2.1650448,-5.625829,-3.1468506,-2.1567068,1.8364416,2,5.0,MAP,t-Distribution,Sequential LSTM
15,0.3965363,-7.101342,-4.5437894,-3.522262,1.8946497,2,5.0,MAP,t-Distribution,Sequential LSTM
16,0.850528,-5.1812825,-3.2955914,-2.542416,1.3969308,2,5.0,MAP,t-Distribution,Sequential LSTM
17,0.51823205,-4.786107,-2.5950742,-1.7199405,1.6231297,2,5.0,MAP,t-Distribution,Sequential LSTM
18,-1.2556514,-4.491672,-2.57467,-1.8089887,1.4201261,2,5.0,MAP,t-Distribution,Sequential LSTM
