Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model,Estimation_Method,Distribution
-0.3981478,-0.15218483,0.5016768,0.010694967,1.0379609,59,Sequential RNN,MAP,t-Distribution
-0.62830746,-0.1578888,0.67704386,0.040534157,1.0686183,60,Sequential RNN,MAP,t-Distribution
-0.46647587,-0.13142858,0.47582358,0.0391284,1.0829525,61,Sequential RNN,MAP,t-Distribution
-0.6263984,-0.16640034,0.673589,0.073088534,1.0461212,62,Sequential RNN,MAP,t-Distribution
-0.47762454,-0.14304982,0.6000439,-0.079165235,1.0997957,63,Sequential RNN,MAP,t-Distribution
-0.7322094,-0.17546429,0.76169527,0.13923056,1.0067478,64,Sequential RNN,MAP,t-Distribution
-0.55767745,-0.07099728,0.41506115,-0.06912465,1.2827382,65,Sequential RNN,MAP,t-Distribution
-0.59012836,-0.12457877,0.6146154,-0.06275507,1.1628468,66,Sequential RNN,MAP,t-Distribution
-0.52804327,-0.05054375,0.37904957,-0.10066645,1.3002039,67,Sequential RNN,MAP,t-Distribution
-0.48494124,-0.17732652,0.71951497,-0.108841285,1.051594,68,Sequential RNN,MAP,t-Distribution
-0.529742,-0.16470388,0.6168304,0.038363993,1.0392516,69,Sequential RNN,MAP,t-Distribution
-0.66105306,-0.18104143,0.74915767,0.0798421,1.0130948,70,Sequential RNN,MAP,t-Distribution
-0.49131858,-0.17170191,0.7000051,-0.10183828,1.0648537,71,Sequential RNN,MAP,t-Distribution
-0.47639605,-0.17057745,0.6368216,-0.036169052,1.0463209,72,Sequential RNN,MAP,t-Distribution
-0.55930036,-0.16196789,0.67645437,-0.028317954,1.0731319,73,Sequential RNN,MAP,t-Distribution
-0.6859758,-0.13860384,0.6035649,0.14394365,1.077071,74,Sequential RNN,MAP,t-Distribution
-0.48032588,-0.15666732,0.5585156,0.036727194,1.0417504,75,Sequential RNN,MAP,t-Distribution
-0.59058666,-0.11506464,0.543835,-0.029307002,1.1911234,76,Sequential RNN,MAP,t-Distribution
-0.4573141,-0.11375525,0.59269625,-0.17038836,1.1487614,77,Sequential RNN,MAP,t-Distribution
-0.3712216,-0.13910238,0.470362,-0.04732418,1.0872861,78,Sequential RNN,MAP,t-Distribution
-0.75040317,-0.16400886,0.7030772,0.19806367,1.0132712,79,Sequential RNN,MAP,t-Distribution
-0.54322505,-0.07579463,0.36387488,0.0019572766,1.2531875,80,Sequential RNN,MAP,t-Distribution
-0.69667554,-0.15661836,0.6866835,0.09955691,1.0670536,81,Sequential RNN,MAP,t-Distribution
-0.688064,-0.08253409,0.39606133,0.25153816,1.1229986,82,Sequential RNN,MAP,t-Distribution
-0.6059746,-0.11795721,0.48389786,0.12852481,1.1115091,83,Sequential RNN,MAP,t-Distribution
-0.68212134,-0.1532145,0.62578064,0.1693122,1.040243,84,Sequential RNN,MAP,t-Distribution
-0.5319591,-0.14166164,0.5084485,0.117283985,1.0478883,85,Sequential RNN,MAP,t-Distribution
-0.6667088,-0.14542674,0.69781125,-0.013104699,1.127429,86,Sequential RNN,MAP,t-Distribution
-0.5808706,-0.1673621,0.65006644,0.062457226,1.0357091,87,Sequential RNN,MAP,t-Distribution
-0.49900237,-0.16852766,0.6793811,-0.076863766,1.0650127,88,Sequential RNN,MAP,t-Distribution
-0.51957947,-0.14857815,0.5964502,-0.049038943,1.1207464,89,Sequential RNN,MAP,t-Distribution
-0.56431365,-0.042467497,0.34190527,0.001960873,1.262915,90,Sequential RNN,MAP,t-Distribution
-0.3089627,-0.14708436,0.57740486,-0.21075362,1.0893958,91,Sequential RNN,MAP,t-Distribution
-0.6754155,-0.14353174,0.64866257,0.06745476,1.1028299,92,Sequential RNN,MAP,t-Distribution
-0.5056232,-0.04214926,0.39389107,-0.18209869,1.33598,93,Sequential RNN,MAP,t-Distribution
-0.3894455,-0.11088213,0.6613906,-0.26341686,1.1023539,94,Sequential RNN,MAP,t-Distribution
-0.56261075,-0.16164055,0.61834574,0.052955914,1.0529497,95,Sequential RNN,MAP,t-Distribution
-0.5922696,-0.15820171,0.6340532,0.030451436,1.0859667,96,Sequential RNN,MAP,t-Distribution
-0.36705422,-0.11822813,0.4208348,-0.096278176,1.1607257,97,Sequential RNN,MAP,t-Distribution
-0.68821543,-0.16078386,0.80469483,-0.059053563,1.103358,98,Sequential RNN,MAP,t-Distribution
-0.7204527,-0.14906073,0.64879733,0.1842047,1.0365114,99,Sequential RNN,MAP,t-Distribution
-0.48532823,-0.15766968,0.6239204,-0.07259538,1.0916729,100,Sequential RNN,MAP,t-Distribution
-0.5821375,-0.020916222,0.26820967,0.0050576003,1.3297864,101,Sequential RNN,MAP,t-Distribution
