Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,1946.765,4.3338866,5.0,1,30,9.2103405,Sequential RNN,1942.4312,Red,91.16466
0.1,701.8564,2.9456475,5.0,1,30,4.6051702,Sequential RNN,698.91077,Red,81.1245
0.05,1089.9526,6.3680296,5.0,1,30,5.9914646,Sequential RNN,1083.5846,Red,85.94378
0.01,2121.369,3.7867732,5.0,1,30,9.2103405,Sequential LSTM,2117.582,Red,95.98393
0.1,888.7463,5.4254894,5.0,1,30,4.6051702,Sequential LSTM,883.3208,Red,90.36144
0.05,1293.8467,3.6649144,5.0,1,30,5.9914646,Sequential LSTM,1290.1818,Red,93.9759
