Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.09638554,11,67.671036,11.865212,79.53625,Yellow
0.05,0.14859438,1,34.141525,4.742224,38.88375,Red
0.1,0.18473895,1,16.319305,3.560997,19.880302,Red
