N_Assets,Confidence_Level,LR_CC,LR_IND,Basel_Zone,LR_TUFF,Model,LR_UC,PF_Percent,TUFF
10,0.01,2103.651,16.752457,Red,9.2103405,Sequential RNN,2086.8984,95.18072,1
10,0.1,800.1794,1.4279042,Red,4.6051702,Sequential RNN,798.75146,86.34538,1
10,0.05,1186.9698,4.647289,Red,5.9914646,Sequential RNN,1182.3225,89.95984,1
10,0.01,2045.8264,3.6649144,Red,9.2103405,Sequential LSTM,2042.1615,93.9759,1
10,0.1,728.6401,0.05731718,Red,4.6051702,Sequential LSTM,728.58276,82.73093,1
10,0.05,1113.4397,1.0182194,Red,5.9914646,Sequential LSTM,1112.4215,87.1486,1
