Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,2160.5955,11.490786,5.0,1,5,9.2103405,Sequential RNN,2149.1047,Red,96.78715
0.1,826.43225,3.1173353,5.0,1,5,4.6051702,Sequential RNN,823.31494,Red,87.5502
0.05,1253.054,7.3543735,5.0,1,5,5.9914646,Sequential RNN,1245.6996,Red,92.36948
0.01,2238.7444,5.417303,5.0,1,5,9.2103405,Sequential LSTM,2233.3271,Red,98.79518
0.1,903.3494,2.0982454,5.0,1,5,4.6051702,Sequential LSTM,901.25116,Red,91.16466
0.05,1279.7101,0.84234554,5.0,1,5,5.9914646,Sequential LSTM,1278.8678,Red,93.574295
