Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Crit_UC_5pct,Crit_UC_1pct,Crit_CC_5pct,Crit_CC_1pct,Reject_UC_5pct,Reject_UC_1pct,Reject_CC_5pct,Reject_CC_1pct,Basel_Zone
0.01,0.008032128,112,0.10441971,NaN,0.10441971,3.84,6.63,5.99,9.21,false,false,false,false,Green
0.05,0.04819277,92,0.017333984,16.752457,16.76979,3.84,6.63,5.99,9.21,false,false,true,true,Green
0.1,0.084337346,1,0.7129822,27.985062,28.698044,3.84,6.63,5.99,9.21,false,false,true,true,Green
