Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.012048192,111,0.099033356,5.417303,5.5163364,Green
0.05,0.036144577,13,1.1091614,4.605631,5.7147923,Green
0.1,0.060240965,13,5.0265274,7.196312,12.222839,Green
