Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,2215.6292,NaN,5.0,1,29,9.2103405,Sequential RNN,2215.6292,Red,98.39357
0.1,936.26086,7.3543735,5.0,1,29,4.6051702,Sequential RNN,928.9065,Red,92.36948
0.05,1363.43,14.334295,5.0,1,29,5.9914646,Sequential RNN,1349.0957,Red,95.98393
0.01,2201.591,3.1464646,5.0,1,29,9.2103405,Sequential LSTM,2198.4446,Red,97.99197
0.1,956.89716,8.991502,5.0,1,29,4.6051702,Sequential LSTM,947.90564,Red,93.17269
0.05,1385.5062,11.490786,5.0,1,29,5.9914646,Sequential LSTM,1374.0154,Red,96.78715
