Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.064257026,13,33.264122,3.025157,36.28928,Yellow
0.05,0.11646587,12,17.129272,6.3922,23.521473,Red
0.1,0.18072289,12,14.920822,9.818555,24.739376,Red
