Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,2026.4775,13.412812,5.0,1,10,9.2103405,Sequential RNN,2013.0647,Red,93.17269
0.1,720.6792,14.431366,5.0,1,10,4.6051702,Sequential RNN,706.2478,Red,81.52611
0.05,1119.93,17.190048,5.0,1,10,5.9914646,Sequential RNN,1102.74,Red,86.746994
0.01,2181.671,NaN,5.0,1,10,9.2103405,Sequential LSTM,2181.671,Red,97.59036
0.1,833.22284,9.907875,5.0,1,10,4.6051702,Sequential LSTM,823.31494,Red,87.5502
0.05,1220.7783,7.2172375,5.0,1,10,5.9914646,Sequential LSTM,1213.561,Red,91.16466
