N_Assets,Confidence_Level,LR_CC,LR_IND,Basel_Zone,LR_TUFF,Model,LR_UC,PF_Percent,TUFF
2,0.01,2087.179,0.28048795,Red,9.2103405,Sequential RNN,2086.8984,95.18072,1
2,0.1,874.6037,0.10783814,Red,4.6051702,Sequential RNN,874.49585,89.95984,1
2,0.05,1247.2413,1.541755,Red,5.9914646,Sequential RNN,1245.6996,92.36948,1
2,0.01,2134.2283,1.0005293,Red,9.2103405,Sequential LSTM,2133.2278,96.385544,1
2,0.1,857.1112,0.0015589958,Red,4.6051702,Sequential LSTM,857.1096,89.15663,1
2,0.05,1268.2717,0.58405906,Red,5.9914646,Sequential LSTM,1267.6876,93.17269,1
