N_Assets,Confidence_Level,LR_CC,LR_IND,Basel_Zone,LR_TUFF,Model,LR_UC,PF_Percent,TUFF
30,0.01,2197.5623,15.891311,Red,9.2103405,Sequential RNN,2181.671,97.59036,1
30,0.1,1020.73596,12.524573,Red,4.6051702,Sequential RNN,1008.21136,95.58233,1
30,0.05,1400.3135,13.46382,Red,5.9914646,Sequential RNN,1386.8496,97.18875,1
30,0.01,2178.7039,13.46382,Red,9.2103405,Sequential LSTM,2165.24,97.18875,1
30,0.1,819.10443,4.0483737,Red,4.6051702,Sequential LSTM,815.056,87.1486,1
30,0.05,1240.8064,5.9267163,Red,5.9914646,Sequential LSTM,1234.8796,91.967865,1
