Confidence_Level,Violation_Rate,TUFF,LRTUFF,LRUC,LRIND,LRCC,Basel_Zone,N_Assets,Model
0.01,0.15662651,10,2.8895864,147.27583,6.800182,154.07602,Yellow,15,Sequential RNN
0.05,0.19678715,10,0.4130849,67.132904,4.1817827,71.31469,Red,15,Sequential RNN
0.1,0.22891566,1,4.6051702,35.047638,4.6013083,39.648945,Red,15,Sequential RNN
