N_Assets,Confidence_Level,LR_CC,LR_IND,Basel_Zone,LR_TUFF,Model,LR_UC,PF_Percent,TUFF
2,0.01,16.423672,0.46296397,Yellow,0.039124638,Sequential RNN,15.960709,4.4176707,121
2,0.1,4.722955,4.3338866,Green,6.162091,Sequential RNN,0.3890686,8.835341,56
2,0.05,1.8236763,0.84234554,Green,6.035265,Sequential RNN,0.9813309,6.4257026,113
2,0.01,19.37516,0.28048795,Yellow,0.020671552,Sequential LSTM,19.094673,4.819277,115
2,0.1,14.17407,13.76013,Green,6.162091,Sequential LSTM,0.41394043,11.24498,56
2,0.05,0.253782,0.058164325,Green,5.8659673,Sequential LSTM,0.19561768,5.62249,111
