Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day
-0.019961359,-0.121506564,0.2010442,-0.050501477,0.52345186,0.27572176,-0.13906421,-0.14485812,-0.123114906,0.59878886,1
-0.033995464,-0.15416683,0.01175215,0.012121195,0.5075313,0.37648618,-0.18453003,-0.008259721,-0.14208448,0.61514574,2
-0.028751517,-0.1656019,-0.055635378,-0.09119213,0.49140504,0.45554104,-0.08871664,0.055589546,-0.09533707,0.522699,3
-0.04764063,-0.17278765,-0.0072240154,-0.06807837,0.47076884,0.4842487,-0.1452689,0.0834423,-0.04545017,0.44798988,4
-0.0074448725,-0.15219137,-0.08167374,-0.14404982,0.42010984,0.59636784,-0.05804544,0.08793062,-0.022250827,0.36124778,5
-0.0030656022,-0.14639045,-0.03465201,-0.10954836,0.4115583,0.56321764,-0.08479486,0.047328033,0.0057441397,0.35060316,6
-0.011796907,-0.14491507,-0.009889554,-0.11317261,0.39400136,0.55702764,-0.06626847,0.07659065,-0.019495215,0.3379182,7
0.041544564,-0.1404647,0.0026365102,-0.093618676,0.4221778,0.5616054,-0.06859499,0.008533982,-0.055536564,0.32171667,8
0.048109353,-0.1384756,-0.027343396,-0.09238441,0.40228307,0.5752499,-0.059063584,0.005506097,0.011554243,0.27456436,9
-0.0192892,-0.116704896,0.006166774,-0.11228398,0.44418135,0.5596324,-0.05679641,0.035116237,0.0053502354,0.25462744,10
0.09108816,-0.119025,0.049636874,-0.12028228,0.36295998,0.6365878,-0.06371451,0.0060117226,-0.068954,0.22569124,11
0.043490984,-0.11738713,0.04814396,-0.055328198,0.32220468,0.66252345,-0.03628021,-0.06434413,-0.05490096,0.25187758,12
0.0129516525,-0.13305984,0.007151848,-0.10126135,0.57285625,0.40727952,-0.055326693,-0.042760067,0.052761093,0.27940756,13
0.013539541,-0.17844854,-0.19617262,-0.43821868,0.6588619,0.2625414,0.08295469,0.27143782,-0.03900409,0.5625086,14
-0.09115646,-0.106339365,-0.18063745,-0.3925683,0.68421614,0.24586055,0.12544182,0.23014934,-0.06086138,0.54589504,15
-0.14571294,-0.15370394,-0.074920654,-0.38892028,0.7403262,0.32597184,0.21029969,0.22384486,-0.1413304,0.40414563,16
-0.115426496,-0.18651639,-0.035102904,-0.3684408,0.7304187,0.3254296,0.12948807,0.28190503,-0.11216892,0.35041416,17
-0.113661006,-0.1438486,-0.12124343,-0.25935334,0.7870266,0.2494705,0.15656812,0.20728704,-0.13593982,0.37369394,18
-0.172531,-0.15532528,-0.03778263,-0.30501,0.7966265,0.2573731,0.11125442,0.28635722,-0.07916038,0.298198,19
-0.15815479,-0.15628147,-0.10190537,-0.24957836,0.78238773,0.2731304,0.07753139,0.28846878,-0.10048178,0.34488347,20
-0.17975317,-0.14786355,-0.2275489,-0.23957668,0.7798899,0.2920038,0.04192965,0.34352902,-0.16050752,0.49789748,21
-0.16192919,-0.13290328,-0.18650243,-0.1934044,0.7965948,0.3270712,0.06537674,0.17787208,-0.1241312,0.43195572,22
-0.014604315,-0.09239524,-0.38599133,-0.15532665,0.66516435,0.64196855,0.08828261,0.30503723,-0.20130922,0.14917406,23
-0.09352101,-0.13545217,-0.2949841,-0.1749393,0.67716527,0.6465881,0.100570984,0.19651316,-0.057865683,0.13592474,24
-0.0871358,-0.13590328,-0.24966373,-0.16028611,0.6496695,0.6972659,0.064128175,0.20435123,-0.065849125,0.08342319,25
-0.08202508,-0.13308702,-0.2035557,-0.14378034,0.60120195,0.751194,0.06303844,0.18312919,-0.09195653,0.055841077,26
-0.06230713,-0.1410256,-0.21248944,-0.19633064,0.60156924,0.6993904,0.05758188,0.23290531,-0.16736756,0.18807352,27
-0.07299253,-0.11507842,-0.16902463,-0.14009811,0.58848774,0.7333913,0.056216188,0.15316056,-0.19046903,0.15640694,28
-0.04536733,-0.13675024,-0.10641076,-0.13734473,0.50815594,0.715141,0.08837223,0.18847863,-0.17114292,0.09686813,29
-0.042218268,-0.124384746,-0.086905636,-0.14268672,0.5001784,0.7048013,0.05416904,0.18869022,-0.16792865,0.11628506,30
-0.042019375,-0.12021803,-0.04558801,-0.14009231,0.47316483,0.71865934,0.07044555,0.14951423,-0.19914053,0.13527434,31
-0.053492405,-0.09573899,-0.028664082,-0.14226969,0.43234366,0.6823788,0.08261612,0.15286008,-0.17704995,0.14701639,32
