Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day
-0.13377658,-0.0784977,0.73168385,-0.1920317,0.6726221,1
-0.18144538,-0.113265485,0.49931768,0.021651125,0.7737421,2
-0.13253857,-0.10198267,0.5007013,-0.07571489,0.8095348,3
-0.14172366,-0.10979286,0.55922514,-0.06837089,0.76066226,4
-0.043116264,-0.043301206,0.49867508,-0.11770175,0.7054441,5
-0.05913568,-0.07914384,0.5502128,-0.08618546,0.67425215,6
-0.0071671107,-0.0657015,0.46791884,-0.13744865,0.74239844,7
-0.0026121354,-0.057619438,0.47499338,-0.13402621,0.7192644,8
-0.10972254,0.004144092,0.4517364,-0.25951448,0.91335654,9
-0.0014245854,-0.044815376,0.4595119,-0.21034737,0.79707545,10
0.036019355,-0.047208525,0.47003013,-0.19909072,0.74024975,11
-0.09765519,-0.09545796,0.6114149,-0.013294512,0.59499276,12
-0.06587564,-0.07306743,0.60224515,-0.09795696,0.6346549,13
-0.020542817,-0.08455255,0.34081817,-0.23720235,1.0014795,14
-0.25141957,0.036682244,0.37799284,-0.18792063,1.0246651,15
-0.24973795,-0.041568,0.43499663,-0.16903228,1.0253415,16
-0.20848848,-0.028353397,0.42248732,-0.17422688,0.9885814,17
-0.19849114,-0.038885284,0.37986198,-0.12489576,0.9824102,18
-0.20615287,-0.03245224,0.40380025,-0.14908594,0.98389083,19
-0.17673573,-0.035283417,0.38962328,-0.13120362,0.95359945,20
-0.269045,-0.013352153,0.2728959,-0.17752689,1.1870282,21
-0.24025002,-0.017769119,0.27785993,-0.12771699,1.1078762,22
-0.037773844,0.07041029,0.06410561,-0.055094603,0.95835257,23
-0.19577466,0.013100112,0.26242954,-0.09262187,1.0128669,24
-0.14183153,0.0055420757,0.29029882,-0.11028863,0.9562793,25
-0.12848404,-0.009091484,0.33011246,-0.12264918,0.93011224,26
-0.062054537,-0.027247349,0.35238853,-0.18323642,0.9201498,27
-0.0898235,-0.0018931817,0.37211165,-0.12920147,0.8488065,28
-0.04566154,-0.04126605,0.41641143,-0.12854466,0.7990608,29
0.0026037602,-0.06451676,0.4453709,-0.13921422,0.7557563,30
-0.018910859,-0.057290565,0.48331416,-0.13601886,0.7289061,31
-0.020583393,-0.02599677,0.49152222,-0.14284794,0.6979059,32
-0.0015926072,0.005323881,0.56066,-0.1993029,0.6349116,33
0.028202683,-0.031657852,0.5783182,-0.16107072,0.5862077,34
0.04576951,-0.01598246,0.59187347,-0.17939258,0.55773205,35
0.06899692,-0.04867739,0.5665326,-0.19950898,0.61265683,36
0.08608118,-0.033467837,0.5037798,-0.17847492,0.62208176,37
0.13130303,-0.036620535,0.5458189,-0.21693018,0.5764288,38
0.15738873,-0.035651535,0.53416437,-0.20273304,0.5468315,39
0.122297846,-0.037484385,0.53745663,-0.18191701,0.5596469,40
0.106530294,-0.043201137,0.54486233,-0.18313634,0.57494485,41
0.107841134,-0.057848178,0.5190275,-0.09659526,0.52757484,42
0.10766887,-0.04347724,0.5339119,-0.14086194,0.54275846,43
0.022725133,-0.04786819,0.593237,-0.21148472,0.6433908,44
0.042951126,-0.044567548,0.53850734,-0.0749002,0.5380093,45
-0.13358724,0.019471502,0.5014979,-0.19080682,0.80342466,46
-0.044036224,-0.0023811716,0.50953645,-0.1697159,0.70659685,47
0.03265194,-0.027144354,0.5072014,-0.18951115,0.6768022,48
-0.16115831,0.001637169,0.593239,-0.21138273,0.77766484,49
-0.15375254,-0.012415799,0.5775611,-0.14665122,0.73525846,50
-0.13416854,-0.00058407005,0.58998346,-0.1659644,0.71073353,51
-0.108296216,0.012487042,0.5748962,-0.20124775,0.7221607,52
-0.09007659,0.005178124,0.5785772,-0.19043751,0.69675875,53
-0.08659788,-0.0035936795,0.58652705,-0.18002456,0.68368906,54
-0.07564262,0.009683697,0.6421164,-0.26207173,0.6859142,55
-0.04686994,0.0063093645,0.58035016,-0.2252587,0.6854691,56
-0.06277014,0.0077382633,0.55987424,-0.23357809,0.72873574,57
-0.045180097,-0.007592663,0.46940863,-0.18211631,0.76548046,58
-0.089968294,-0.00037066286,0.50140876,-0.1797948,0.768725,59
-0.075857565,-0.018114248,0.51032186,-0.21694328,0.80059326,60
-0.0729288,-0.019212872,0.5268229,-0.19969065,0.7650094,61
