Day,Avg_Nu_GARCH,Nu_DCC
1,7.151712708723954,5.0
2,7.031455679159018,5.0
3,7.121227928267728,5.0
4,7.014435915763797,5.0
5,7.410358572223354,5.0
6,7.374775192585998,5.0
7,7.272628557072605,5.0
8,7.086538227755918,5.0
9,7.096179525942995,5.0
10,6.9845919382441775,5.0
11,6.790035101244119,5.0
12,6.932300034932686,5.0
13,7.200151792178372,5.0
14,7.273104371381966,5.0
15,7.254875123526116,5.0
16,7.238992888754023,5.0
17,7.132149096342159,5.0
18,7.213769320158474,5.0
19,7.333798722050126,5.0
20,7.331159210384368,5.0
21,7.40784535852592,5.0
22,7.42665766150549,5.0
23,7.280654867326858,5.0
24,7.385267185028894,5.0
25,7.434638749167994,5.0
26,7.2946427102945215,5.0
27,7.266642043878642,5.0
28,7.338872056618633,5.0
29,7.247800399937978,5.0
30,7.225380864712966,5.0
31,7.3220322139194085,5.0
32,7.278292243222673,5.0
33,7.239260889616878,5.0
34,7.1901850235029645,5.0
35,7.190531398853731,5.0
36,7.101309352604877,5.0
37,7.054623445729588,5.0
38,6.879222572547821,5.0
39,6.75052732275671,5.0
40,6.61724911459186,5.0
41,6.6849669923080866,5.0
42,6.946608118406383,5.0
43,6.948388444258559,5.0
44,7.087726120410428,5.0
45,7.124848483949082,5.0
46,7.133491648704197,5.0
47,7.157662040162757,5.0
48,7.341368358359335,5.0
49,7.468953766152733,5.0
50,7.601986390069738,5.0
51,7.587213099356616,5.0
52,7.6012353367143195,5.0
53,7.582955327261341,5.0
54,7.453700042005962,5.0
55,7.512907989378263,5.0
56,7.615913051358288,5.0
57,7.513879590750891,5.0
58,7.431259983334441,5.0
59,7.294265277522445,5.0
60,7.371882159061148,5.0
61,7.407952291016919,5.0
62,7.335422753023543,5.0
63,7.487059619944256,5.0
64,7.488307894608747,5.0
65,7.5056850962608515,5.0
66,7.452660777228422,5.0
67,7.569519003596854,5.0
68,7.492742272258436,5.0
69,7.416828205510425,5.0
70,7.3934396074600945,5.0
71,7.340842934847284,5.0
72,7.194346139258248,5.0
73,7.0724174481787365,5.0
74,7.30003492387177,5.0
75,7.227973680389467,5.0
76,7.17432261198158,5.0
77,7.257677570633426,5.0
78,7.165757164634049,5.0
79,7.116458751172294,5.0
80,6.979368792046288,5.0
81,6.999704766032947,5.0
82,7.004314174035109,5.0
83,6.908115352590161,5.0
84,6.863531025050799,5.0
85,6.832361627095148,5.0
86,6.902209481543333,5.0
87,6.843793209678109,5.0
88,6.785973994419315,5.0
89,6.845885082079346,5.0
90,6.851385771549443,5.0
91,6.748845834900649,5.0
92,6.58061760804237,5.0
93,6.765451853295325,5.0
94,6.623297242422,5.0
95,6.69776458855338,5.0
96,6.823999082667741,5.0
97,6.774552277789725,5.0
98,6.791958666048551,5.0
99,6.71030210115577,5.0
100,6.912041260671769,5.0
101,6.96133496988979,5.0
102,6.895495304385969,5.0
103,6.742049094180885,5.0
104,6.860575005448242,5.0
105,6.855801498903436,5.0
106,6.817576392071068,5.0
107,6.871125872000771,5.0
108,6.86828557064578,5.0
109,6.87688600769965,5.0
110,6.744470476005647,5.0
111,6.939013485566191,5.0
112,6.907963653527244,5.0
113,7.044607407900552,5.0
114,6.775041333126325,5.0
115,6.723584123188889,5.0
116,6.376239533350549,5.0
117,6.3004901452210085,5.0
118,6.205318389112197,5.0
119,6.2625465833550855,5.0
120,6.0962752355420164,5.0
121,6.1974556069141045,5.0
122,6.2879854981791325,5.0
123,6.354499568150041,5.0
124,6.413970899004674,5.0
125,6.257113086771419,5.0
126,6.227773495239173,5.0
127,6.199473399917046,5.0
128,6.216579775482821,5.0
129,6.225846153551384,5.0
130,6.124944847483335,5.0
131,6.024785649364002,5.0
132,6.05746681985292,5.0
133,6.117742033022101,5.0
134,6.150981204448038,5.0
135,6.11461273026797,5.0
136,6.214347905489131,5.0
137,6.356563187136791,5.0
