Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Crit_UC_5pct,Crit_UC_1pct,Crit_CC_5pct,Crit_CC_1pct,Reject_UC_5pct,Reject_UC_1pct,Reject_CC_5pct,Reject_CC_1pct,Basel_Zone
0.01,0.008032128,112,0.10441971,NaN,0.10441971,3.84,6.63,5.99,9.21,false,false,false,false,Green
0.05,0.04016064,92,0.54257965,8.429713,8.972293,3.84,6.63,5.99,9.21,false,false,true,false,Green
0.1,0.060240965,92,5.0265274,3.6649144,8.691442,3.84,6.63,5.99,9.21,true,false,true,false,Green
