Day,Avg_Nu_GARCH,Nu_DCC
1,6.577228052915486,5.0
2,6.550695309627197,5.0
3,6.577055465590311,5.0
4,6.598291673876593,5.0
5,6.700019123883334,5.0
6,6.638674798257929,5.0
7,6.6633709865031765,5.0
8,6.6500000443057035,5.0
9,6.703769866082097,5.0
10,6.669064435429978,5.0
11,6.686461112097061,5.0
12,6.6819534453303335,5.0
13,6.734056548896882,5.0
14,6.747000261876076,5.0
15,6.676419502828282,5.0
16,6.670468651937436,5.0
17,6.593015329784453,5.0
18,6.659641781873785,5.0
19,6.698393818253531,5.0
20,6.7435854671857856,5.0
21,6.730671058463876,5.0
22,6.706936753241981,5.0
23,6.701846950765162,5.0
24,6.728771988315443,5.0
25,6.686490830066859,5.0
26,6.635040066644491,5.0
27,6.62412197141677,5.0
28,6.66036903984997,5.0
29,6.592697966416716,5.0
30,6.582206265807471,5.0
31,6.610208803257379,5.0
32,6.646873288122612,5.0
33,6.62016951724677,5.0
34,6.5675434208144745,5.0
35,6.580943892502611,5.0
36,6.593952450105971,5.0
37,6.578548332945596,5.0
38,6.532902462544228,5.0
39,6.4977372056597185,5.0
40,6.440838886847393,5.0
41,6.4143811733175955,5.0
42,6.423890954145503,5.0
43,6.408639422454971,5.0
44,6.461361196418169,5.0
45,6.456913201491607,5.0
46,6.4827860699040745,5.0
47,6.50262309835152,5.0
48,6.5455502291922345,5.0
49,6.54816353495234,5.0
50,6.545599650569928,5.0
51,6.502469753888021,5.0
52,6.495779025298374,5.0
53,6.490682964655823,5.0
54,6.429397665154443,5.0
55,6.444075352024096,5.0
56,6.490192177331525,5.0
57,6.462020205074769,5.0
58,6.493540366719285,5.0
59,6.417855136200111,5.0
60,6.433999461759076,5.0
61,6.3793703350367785,5.0
62,6.305392235238149,5.0
63,6.348601642903593,5.0
64,6.362446946586064,5.0
65,6.352401867249408,5.0
66,6.40644292049316,5.0
67,6.413173521093172,5.0
68,6.391393755475652,5.0
69,6.313960188921034,5.0
70,6.295106066133716,5.0
71,6.343674346718393,5.0
72,6.364355611429377,5.0
73,6.271921869118111,5.0
74,6.3188426103417665,5.0
75,6.2589242766482895,5.0
76,6.2408715510070465,5.0
77,6.304565676992337,5.0
78,6.299412705098049,5.0
79,6.243190917551961,5.0
80,6.115755033976309,5.0
81,6.1138431714997,5.0
82,6.099737299268656,5.0
83,6.089561376648402,5.0
84,6.190536852454003,5.0
85,6.166581512301837,5.0
86,6.137090506349409,5.0
87,6.100274589804557,5.0
88,6.082981042348324,5.0
89,6.098739017204374,5.0
90,6.114572000113426,5.0
91,6.061984600874977,5.0
92,6.045918009172927,5.0
93,6.045812383779588,5.0
94,6.010735159481594,5.0
95,6.010685896531231,5.0
96,6.017310052000147,5.0
97,6.0566376506733395,5.0
98,6.055148275007846,5.0
99,6.028116913977351,5.0
100,6.20900412593043,5.0
101,6.191809354464079,5.0
102,6.206832321027807,5.0
103,6.189917047500698,5.0
104,6.16990995555972,5.0
105,6.14698634276939,5.0
106,6.1171370760501365,5.0
107,6.097918165452057,5.0
108,6.1165728126773855,5.0
109,6.143641173673099,5.0
110,6.106394543011295,5.0
111,6.15897182326846,5.0
112,5.9151430679410115,5.0
113,5.892598753711203,5.0
114,5.856145123569019,5.0
115,5.841676145652375,5.0
116,5.814472813000717,5.0
117,5.864882447073743,5.0
118,5.844335454858721,5.0
119,5.880532288000712,5.0
120,5.845671452089119,5.0
121,5.863459065413323,5.0
122,5.6458018376919945,5.0
123,5.650809428973895,5.0
124,5.714961080516168,5.0
