Asset_1_Weight,Asset_2_Weight,Day
1.0590974,-0.059097372,1
1.0724869,-0.07248688,2
1.0671409,-0.06714088,3
1.0634804,-0.06348034,4
1.0621886,-0.062188685,5
1.0629735,-0.06297352,6
1.049223,-0.049222987,7
1.0260278,-0.026027828,8
0.95965546,0.040344536,9
0.94319135,0.056808624,10
0.9345754,0.06542461,11
0.9751184,0.024881627,12
0.9639684,0.036031634,13
1.1885798,-0.18857975,14
0.8577432,0.14225678,15
0.9861187,0.013881324,16
0.9420113,0.057988685,17
0.9569993,0.043000728,18
0.9162069,0.083793126,19
0.94155,0.058449976,20
1.0213867,-0.021386698,21
0.96432513,0.03567489,22
0.9633468,0.036653247,23
0.94516766,0.05483234,24
0.94894344,0.051056568,25
0.95245516,0.047544833,26
0.9628953,0.037104733,27
1.0200932,-0.020093197,28
1.0035229,-0.0035228776,29
1.0086974,-0.008697337,30
0.9822442,0.017755806,31
1.005623,-0.00562297,32
0.9716654,0.028334593,33
0.96535814,0.034641888,34
1.0001192,-0.000119208395,35
1.0285447,-0.028544646,36
1.0127488,-0.01274889,37
1.007095,-0.0070949714,38
1.0719676,-0.07196765,39
1.0111258,-0.011125811,40
1.0910174,-0.09101734,41
1.0585604,-0.058560416,42
1.0898902,-0.08989028,43
1.1007138,-0.10071389,44
1.0734489,-0.073448844,45
0.99141544,0.008584536,46
1.0143278,-0.014327779,47
0.94231254,0.05768749,48
0.8331747,0.16682528,49
0.8098003,0.19019966,50
0.89122444,0.10877556,51
0.8919395,0.10806046,52
0.8309839,0.16901611,53
0.88877636,0.11122362,54
0.8684474,0.13155255,55
0.89832616,0.101673834,56
0.7748456,0.22515443,57
0.7207899,0.27921012,58
0.74106544,0.25893456,59
0.7778807,0.22211927,60
0.7851859,0.21481416,61
0.78438234,0.21561763,62
0.7840635,0.21593647,63
0.80204177,0.19795825,64
0.810733,0.189267,65
0.6976286,0.30237138,66
0.7008581,0.29914188,67
0.77871,0.22128999,68
0.7901235,0.20987648,69
0.80532855,0.19467145,70
0.80858845,0.19141155,71
0.8271279,0.17287211,72
0.8742768,0.12572317,73
0.8276314,0.17236859,74
0.8520916,0.14790836,75
0.805703,0.19429699,76
0.832348,0.167652,77
0.8796683,0.12033172,78
0.90868974,0.09131027,79
0.88996154,0.110038474,80
0.9054394,0.09456062,81
0.87804383,0.12195615,82
0.8004909,0.1995091,83
0.8214035,0.1785965,84
0.81455874,0.18544123,85
0.8291584,0.1708416,86
0.8448255,0.1551745,87
0.86520654,0.13479346,88
0.918243,0.08175702,89
0.96687865,0.03312135,90
0.9154183,0.08458164,91
0.966089,0.033910982,92
1.174398,-0.17439796,93
0.96106243,0.038937576,94
1.0040526,-0.004052654,95
1.0419772,-0.041977145,96
1.033198,-0.033197954,97
0.9289541,0.0710459,98
0.9756867,0.02431326,99
0.95855576,0.041444257,100
0.902547,0.09745298,101
1.0404772,-0.040477104,102
1.0089045,-0.008904447,103
1.1005058,-0.100505784,104
1.0478065,-0.047806486,105
1.0318888,-0.031888817,106
1.0188016,-0.018801594,107
1.0322863,-0.032286234,108
1.0216477,-0.021647636,109
1.0892328,-0.089232855,110
1.062735,-0.06273497,111
0.9258909,0.074109055,112
0.8418701,0.15812987,113
1.5600199,-0.56001985,114
1.3022077,-0.30220768,115
0.8342918,0.16570818,116
0.9791268,0.020873196,117
0.8620902,0.1379098,118
0.7703657,0.22963428,119
0.91194034,0.08805966,120
1.0506101,-0.050610118,121
1.6962752,-0.69627523,122
1.3721265,-0.3721264,123
1.4004378,-0.4004379,124
1.7176573,-0.71765727,125
1.430792,-0.43079197,126
1.5633347,-0.5633347,127
1.5514804,-0.5514804,128
1.6801813,-0.6801812,129
1.6307594,-0.6307593,130
1.6333574,-0.6333574,131
1.6996895,-0.69968945,132
1.7496955,-0.74969554,133
1.7001477,-0.7001477,134
1.6008728,-0.60087276,135
1.636968,-0.636968,136
0.8663905,0.13360946,137
0.6624271,0.33757284,138
0.477499,0.522501,139
0.1820502,0.81794983,140
0.30287758,0.6971224,141
0.7224056,0.2775944,142
0.6450226,0.35497743,143
0.73576885,0.26423115,144
0.23268354,0.76731646,145
0.17157716,0.82842284,146
0.027881261,0.97211874,147
0.07374824,0.92625177,148
0.036697194,0.9633028,149
-0.0507759,1.0507759,150
-0.11890621,1.1189063,151
-0.23582147,1.2358215,152
0.38429633,0.61570364,153
0.5615986,0.4384014,154
1.0652316,-0.06523156,155
1.1918356,-0.19183564,156
1.144584,-0.14458388,157
1.2405673,-0.24056728,158
1.0678756,-0.06787564,159
1.0026567,-0.0026567257,160
0.88252467,0.11747532,161
0.7907526,0.20924743,162
0.8330547,0.16694525,163
1.0014405,-0.0014404657,164
1.1694759,-0.16947591,165
1.1112107,-0.11121068,166
1.1159247,-0.115924664,167
1.131738,-0.13173792,168
0.9337963,0.066203706,169
0.9303255,0.06967452,170
1.2428713,-0.2428713,171
0.97506434,0.024935635,172
1.0199598,-0.019959763,173
0.9828381,0.017161926,174
0.98456866,0.015431341,175
1.6935064,-0.69350636,176
1.2200309,-0.22003092,177
1.0491536,-0.049153592,178
0.9471894,0.05281058,179
0.76491046,0.23508953,180
1.1495824,-0.14958242,181
1.3653601,-0.36536008,182
1.2100358,-0.21003583,183
1.2283252,-0.2283252,184
1.2250704,-0.22507033,185
1.1191862,-0.119186185,186
1.1102403,-0.11024034,187
1.5582464,-0.5582464,188
1.2188367,-0.21883665,189
1.329625,-0.32962495,190
1.2491692,-0.24916917,191
1.1951283,-0.19512828,192
1.1500866,-0.15008658,193
1.0969844,-0.0969844,194
1.0627992,-0.062799275,195
1.0589337,-0.058933735,196
1.1657453,-0.16574527,197
0.8802033,0.11979666,198
0.93228143,0.067718565,199
0.94104284,0.058957163,200
0.87772727,0.122272745,201
1.0118115,-0.011811454,202
0.9530753,0.046924695,203
1.036079,-0.03607907,204
1.0350902,-0.03509018,205
0.9353605,0.064639494,206
0.95489526,0.045104742,207
0.9354721,0.06452795,208
0.8237967,0.17620333,209
0.83500636,0.16499361,210
1.0981224,-0.098122306,211
1.0217056,-0.021705678,212
1.0375073,-0.03750733,213
1.0236884,-0.023688404,214
0.9319903,0.06800966,215
0.8439279,0.15607208,216
0.990959,0.009041004,217
0.95260435,0.047395628,218
1.0552326,-0.05523266,219
