Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day
-0.0047237375,-0.012369227,0.01774998,0.0034051586,0.068895824,-0.040322214,-0.014651694,-0.002700933,-0.07567023,0.010678291,-0.033953015,0.04818905,0.05433635,-0.024653243,-0.04486145,0.0018490088,0.03604459,0.09414891,-0.03904741,0.0055018337,0.041682728,0.040266346,-0.030513017,0.07957269,-0.0029687833,-0.027809894,0.0558774,-0.02508679,0.075795405,0.7453381,1
-0.0025038642,-0.015326041,0.019282714,0.00023724658,0.074108385,-0.030706866,-0.013020897,0.0033877946,-0.07485366,0.021483546,-0.04239515,0.06669381,0.04329063,-0.019544343,-0.056905393,-0.0019525022,0.03372849,0.10793815,-0.05162095,0.0073566525,0.03272204,0.013018063,-0.03847768,0.084524326,0.0067932997,-0.022768643,0.052366998,-0.02721189,0.094315164,0.7360406,2
-0.009719376,-0.019490486,0.0036801402,-0.01790907,0.07234812,0.0066989306,0.0026844516,0.032798953,-0.07199687,0.019641614,-0.03265916,0.041883588,0.03325806,0.004098215,-0.069841616,-0.018586382,0.02125758,0.12641269,-0.07218301,0.008166915,0.027100466,-0.013207393,-0.028059395,0.07926162,0.016134936,-0.011567791,0.054112595,-0.03218724,0.11187005,0.73599887,3
-0.0055253385,-0.019858964,-0.0006625957,-0.016085474,0.07907841,0.021034036,-0.00824174,0.021794368,-0.06882281,0.011788435,-0.020374438,0.04788854,0.04642734,-0.0035487378,-0.07444609,-0.012228079,0.023938406,0.13635811,-0.07177684,0.011191042,0.028160807,-0.017777858,-0.034262016,0.07285523,0.013772531,-0.006014032,0.044858556,-0.03617994,0.12050584,0.71615326,4
-0.0031138188,-0.01833267,-0.014861922,-0.024999166,0.069881015,0.042666946,0.0029032212,0.028569654,-0.07373197,0.0061476375,-0.013134797,0.03929914,0.042219575,-0.008337249,-0.07768692,-0.013449612,0.025619028,0.15034786,-0.07859141,-6.4488115e-5,0.034003805,-0.010444814,-0.030103846,0.06713748,0.021823594,-0.0020531523,0.042087186,-0.045292832,0.13197885,0.70951366,5
-0.004472917,-0.02064745,-0.012372232,-0.017556839,0.06993726,0.037115864,-0.008220696,0.031978056,-0.063457705,0.012411474,0.0058175987,0.038226105,0.040926255,-0.00029229556,-0.076217055,-0.010663176,0.020918606,0.14368695,-0.07319215,0.0144371325,0.044300903,-0.025628619,-0.030018285,0.053660747,0.009309876,-0.019051291,0.042633474,-0.04325522,0.1312299,0.70845574,6
-0.0064261467,-0.022237988,-0.009320014,-0.021232462,0.07090175,0.04116735,-0.0040138266,0.03489761,-0.060135312,0.009017965,0.009354116,0.032113582,0.047092196,0.0023056397,-0.07594157,-0.0045948448,0.018214963,0.14730322,-0.071126424,0.018550724,0.046857968,-0.03591348,-0.027614484,0.049605116,0.006852356,-0.02038343,0.038359843,-0.044104684,0.13474828,0.69570196,7
-0.006564601,-0.023144184,-0.021947714,-0.025793824,0.07548982,0.03577009,-0.0073424526,0.035325762,-0.04287783,0.009924352,0.013338576,0.027486963,0.04849736,0.0034782353,-0.06809804,-0.0064883647,0.0093182335,0.12695205,-0.06637385,0.020429965,0.04648876,-0.030969955,-0.021000205,0.03953109,0.01037488,-0.021405615,0.044371177,-0.02803295,0.116297774,0.7069645,8
-0.011394092,-0.022917382,-0.03218675,-0.028296899,0.08173349,0.056758348,-0.0070527517,0.030369734,-0.017627414,0.018504899,0.029624786,0.015916755,0.03688634,0.0068566594,-0.06775331,0.0049599917,-0.007896577,0.10781667,-0.05752406,-0.01034299,0.055958822,-0.037807666,-0.017574962,0.035905518,0.022689454,-0.011943874,0.0332152,-0.02363879,0.0891975,0.7275634,9
-0.0002221177,-0.029490495,-0.032804698,-0.030573651,0.084338725,0.04624543,-0.0071553043,0.028556155,-0.0151527,0.029184906,0.039543368,0.019885583,0.018747011,-0.01676785,-0.05658259,-0.0051783854,-0.011068524,0.11319867,-0.05579873,0.004179514,0.05515908,-0.0235515,-0.012120696,0.0363222,0.013147765,-0.01914717,0.040424302,-0.022531211,0.09195182,0.71726114,10
