Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day
-0.05702615,-0.106914595,0.09502938,-0.043084703,0.39009368,0.5946089,-0.10359019,-0.11187004,0.06897627,0.5836535,-0.18989338,0.021633962,0.26808545,0.09662997,-0.5063321,1
-0.04780715,-0.12120388,0.042477876,-0.038829844,0.41439494,0.5218395,-0.09635827,-0.056457642,0.05036248,0.6091288,-0.2031102,0.16998464,0.16729152,0.090591475,-0.5023042,2
-0.064930394,-0.14189027,-0.0910353,-0.082789965,0.41418353,0.6396518,-0.04824107,0.055274107,0.069481134,0.5610241,-0.12656839,0.075390466,0.12307423,0.14106855,-0.5236925,3
-0.0692912,-0.13659565,-0.107691616,-0.06304331,0.3911441,0.6649025,-0.11137145,0.054640505,0.11979662,0.49114874,-0.040625557,0.053381603,0.16952883,0.107758254,-0.5236824,4
-0.03348932,-0.116832204,-0.1967926,-0.13655597,0.33865124,0.8008214,-0.030554455,0.09535867,0.121742584,0.41081446,-0.00672621,0.016624724,0.14165623,0.111482844,-0.51620144,5
-0.040966403,-0.118047126,-0.16194618,-0.08978405,0.338853,0.7171818,-0.07583836,0.060791444,0.11263158,0.429883,0.039894566,0.013151908,0.15422498,0.12481518,-0.5048454,6
-0.0522528,-0.11964172,-0.13367404,-0.09525818,0.3248754,0.6793091,-0.060095485,0.087451465,0.07400538,0.40891758,0.0480572,-0.0047413884,0.1781812,0.12924805,-0.46438178,7
-0.02667152,-0.109140106,-0.15325634,-0.08737809,0.31803665,0.69778156,-0.06497188,0.043495577,0.08487491,0.39054096,0.041119114,0.00014934372,0.2138835,0.081174575,-0.42963824,8
-0.020017717,-0.10634971,-0.17729439,-0.086583436,0.32913214,0.72364503,-0.06435977,0.030773494,0.13694963,0.33588436,0.10525939,-0.029764531,0.16195342,0.08736542,-0.42659336,9
-0.028799443,-0.11725404,-0.15936333,-0.100538686,0.33979523,0.69875705,-0.06576929,0.045298893,0.15318689,0.3673651,0.17050298,-0.0045537045,0.09525345,0.0025718804,-0.39645293,10
0.022987023,-0.104922906,-0.13718466,-0.09692771,0.28413245,0.7317341,-0.078695774,0.03276434,0.096694246,0.3155576,0.23072205,-0.014274906,0.104479745,-0.0025189614,-0.38454664,11
0.0047318945,-0.096585035,-0.11556162,-0.05068856,0.2608604,0.7570756,-0.05610666,-0.035351407,0.07646355,0.32840055,0.19455743,-0.02964499,0.111086994,0.03612047,-0.38535863,12
-0.0072721946,-0.10526682,-0.08907733,-0.10461084,0.44082034,0.6699534,-0.062617116,0.00908406,0.22662203,0.38121825,-0.05230744,-0.035413586,0.1333767,-0.08268452,-0.32182497,13
0.04887786,-0.14225243,-0.15189831,-0.43396875,0.593599,0.34098184,0.08949458,0.28326225,-0.066807486,0.551124,-0.3928067,-0.07762369,0.25656977,0.11733995,-0.015891878,14
-0.045971576,-0.08386227,-0.12126149,-0.41789153,0.67131656,0.35549155,0.15161948,0.25974536,-0.05571545,0.5858502,-0.37945077,-0.044392772,0.11492497,0.11146217,-0.10186443,15
-0.14108497,-0.12172671,-0.11931167,-0.39513704,0.69499356,0.31470814,0.21179083,0.22562665,-0.1673126,0.41065955,-0.34688234,-0.043297496,0.33903876,0.19511385,-0.05717857,16
-0.13654765,-0.14979976,-0.13302904,-0.37407357,0.70602906,0.31290194,0.12536937,0.29433954,-0.13931213,0.36080095,-0.24137375,-0.077239074,0.3390765,0.14000869,-0.02715103,17
-0.1222493,-0.10273626,-0.17900957,-0.2405998,0.75721467,0.22118697,0.15484844,0.18471737,-0.17023797,0.36681756,-0.25875163,-0.06263713,0.29139274,0.067553714,0.0924902,18
-0.22258435,-0.12833974,-0.15578163,-0.30571985,0.76653403,0.24107395,0.10932621,0.27448857,-0.07212978,0.30501136,-0.19287105,-0.020054933,0.3736938,0.022420924,0.0049324925,19
-0.19740398,-0.12186162,-0.23382321,-0.25296983,0.7115331,0.24439707,0.07413946,0.27831134,-0.11593555,0.32500648,-0.18956968,-0.06179004,0.4487601,0.04506363,0.046142712,20
-0.11737075,-0.12810057,-0.088063054,-0.27201375,0.7182983,0.44069508,0.11595426,0.366208,-0.07076414,0.5155837,-0.38082787,0.032093752,0.01611166,-0.10134628,-0.046458255,21
-0.113037676,-0.114517756,-0.052238196,-0.22186561,0.79936683,0.45857584,0.11756883,0.21434633,-0.05341098,0.49096644,-0.29943147,0.013374811,-0.093695074,-0.09489046,-0.05111189,22
0.06560008,-0.08364909,-0.06494618,-0.21455869,0.6794239,0.73767465,0.17814887,0.3224014,-0.059213057,0.28456727,-0.56042325,0.089395344,-0.17974351,0.07197338,-0.26665112,23
