N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Validation_RMSE
30,3.1246443,0.62191534,6.5960526,Sequential RNN,0.11845118,6.5066743
30,3.2395937,0.6323115,6.2917495,Sequential LSTM,0.11292536,6.231753
