Asset_1_Weight,Asset_2_Weight,Day,Model
1.1138856,-0.11388563,134,Sequential LSTM
1.1251427,-0.12514272,135,Sequential LSTM
1.1190463,-0.11904632,136,Sequential LSTM
1.1581929,-0.15819286,137,Sequential LSTM
1.1693035,-0.16930352,138,Sequential LSTM
1.1632774,-0.16327742,139,Sequential LSTM
1.1081268,-0.10812671,140,Sequential LSTM
1.134843,-0.13484305,141,Sequential LSTM
1.0977268,-0.09772685,142,Sequential LSTM
1.1072391,-0.107239135,143,Sequential LSTM
1.0403614,-0.04036145,144,Sequential LSTM
1.1632762,-0.16327618,145,Sequential LSTM
1.1721987,-0.1721986,146,Sequential LSTM
1.175107,-0.17510696,147,Sequential LSTM
1.1653819,-0.16538191,148,Sequential LSTM
1.1806203,-0.18062036,149,Sequential LSTM
1.1787491,-0.17874904,150,Sequential LSTM
1.1713226,-0.17132252,151,Sequential LSTM
1.1672237,-0.16722374,152,Sequential LSTM
1.0518463,-0.051846314,153,Sequential LSTM
1.1564975,-0.15649745,154,Sequential LSTM
1.1237509,-0.123750895,155,Sequential LSTM
1.0982664,-0.09826641,156,Sequential LSTM
1.0267227,-0.026722651,157,Sequential LSTM
1.0614309,-0.061430983,158,Sequential LSTM
1.1594691,-0.15946916,159,Sequential LSTM
1.1680945,-0.16809446,160,Sequential LSTM
1.1786032,-0.17860322,161,Sequential LSTM
1.1752616,-0.17526159,162,Sequential LSTM
1.1586276,-0.15862767,163,Sequential LSTM
1.1254395,-0.12543955,164,Sequential LSTM
1.0528945,-0.052894462,165,Sequential LSTM
1.1557052,-0.15570518,166,Sequential LSTM
1.1788322,-0.17883216,167,Sequential LSTM
1.1524662,-0.15246615,168,Sequential LSTM
1.107911,-0.10791097,169,Sequential LSTM
1.1805803,-0.18058024,170,Sequential LSTM
1.0404924,-0.040492456,171,Sequential LSTM
1.175948,-0.17594807,172,Sequential LSTM
1.1463517,-0.14635171,173,Sequential LSTM
1.0491135,-0.049113546,174,Sequential LSTM
1.1778469,-0.17784695,175,Sequential LSTM
1.1176715,-0.11767145,176,Sequential LSTM
1.0463433,-0.046343286,177,Sequential LSTM
1.1712556,-0.17125562,178,Sequential LSTM
1.1753975,-0.17539753,179,Sequential LSTM
1.1635183,-0.16351837,180,Sequential LSTM
