N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Validation_RMSE
10,2.328937,0.86106485,1.780737,Sequential RNN,0.022558646,1.4965305
10,2.142857,0.8973888,1.4714804,Sequential LSTM,0.01275077,1.1322805
