Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
1,-1.0636648,-2.5599964,-1.8108125,-1.4114254,1.0993253,5,MAP,Normal,Sequential LSTM
2,-0.030742627,-2.6095169,-1.7100252,-1.2305095,1.3198816,5,MAP,Normal,Sequential LSTM
3,-0.24120346,-2.7774434,-1.9816903,-1.5574772,1.1676594,5,MAP,Normal,Sequential LSTM
4,1.2912283,-2.8322365,-2.0274243,-1.5983821,1.1809522,5,MAP,Normal,Sequential LSTM
5,0.1261405,-2.4649785,-1.7259722,-1.3320107,1.0843911,5,MAP,Normal,Sequential LSTM
6,-0.20415708,-2.4886966,-1.7422974,-1.3443948,1.095239,5,MAP,Normal,Sequential LSTM
7,0.30355313,-2.349726,-1.5490235,-1.122172,1.1749219,5,MAP,Normal,Sequential LSTM
8,-0.6154782,-2.3507376,-1.6346439,-1.252897,1.05077,5,MAP,Normal,Sequential LSTM
9,0.38791993,-3.2110748,-2.2517896,-1.7403982,1.4076204,5,MAP,Normal,Sequential LSTM
10,-0.43851948,-3.0252619,-2.1887202,-1.7427629,1.227511,5,MAP,Normal,Sequential LSTM
11,-0.83442485,-3.142206,-2.2621834,-1.7930467,1.2913132,5,MAP,Normal,Sequential LSTM
12,0.44998157,-3.1245806,-2.238653,-1.7663682,1.2999783,5,MAP,Normal,Sequential LSTM
13,0.23557818,-2.3513906,-1.5200828,-1.0769159,1.2198308,5,MAP,Normal,Sequential LSTM
14,-1.0886716,-2.7105951,-1.6711917,-1.1170896,1.5251828,5,MAP,Normal,Sequential LSTM
15,0.11003803,-3.621654,-2.6069198,-2.0659685,1.4889843,5,MAP,Normal,Sequential LSTM
16,0.3307395,-3.1566312,-2.3348567,-1.8967717,1.2058421,5,MAP,Normal,Sequential LSTM
17,-0.27364555,-2.81101,-2.0253043,-1.6064477,1.152916,5,MAP,Normal,Sequential LSTM
18,-0.25574178,-2.4376352,-1.5664903,-1.1020862,1.2782865,5,MAP,Normal,Sequential LSTM
19,-0.2322014,-3.4788961,-2.5515742,-2.0572224,1.3607185,5,MAP,Normal,Sequential LSTM
20,0.33978242,-3.485813,-2.5764925,-2.0917373,1.3343039,5,MAP,Normal,Sequential LSTM
21,-0.4940472,-3.4784377,-2.6017919,-2.1344552,1.2863584,5,MAP,Normal,Sequential LSTM
22,1.6899891,-2.5878599,-1.8178825,-1.4074104,1.1298369,5,MAP,Normal,Sequential LSTM
23,0.41658303,-2.933215,-2.1013362,-1.6578647,1.2206687,5,MAP,Normal,Sequential LSTM
24,-0.22266525,-2.534744,-1.7971048,-1.403872,1.0823852,5,MAP,Normal,Sequential LSTM
25,-0.0025089309,-2.7723057,-2.0053778,-1.5965314,1.1253623,5,MAP,Normal,Sequential LSTM
26,0.31553504,-2.449067,-1.7176296,-1.3277029,1.073285,5,MAP,Normal,Sequential LSTM
27,-0.8287022,-2.8223026,-2.0387251,-1.621003,1.149793,5,MAP,Normal,Sequential LSTM
28,0.25353193,-3.1172638,-2.2831945,-1.8385553,1.223883,5,MAP,Normal,Sequential LSTM
29,0.42856228,-2.623164,-1.8611165,-1.4548718,1.1182009,5,MAP,Normal,Sequential LSTM
30,-0.09880589,-2.7276897,-1.9722296,-1.5694964,1.1085352,5,MAP,Normal,Sequential LSTM
31,-0.64046186,-2.5670161,-1.806792,-1.4015194,1.1155254,5,MAP,Normal,Sequential LSTM
32,1.0079339,-2.978575,-2.1807728,-1.7554675,1.170666,5,MAP,Normal,Sequential LSTM
33,0.4575953,-2.392132,-1.6510421,-1.2559698,1.0874485,5,MAP,Normal,Sequential LSTM
34,0.9863518,-3.0079494,-2.1407223,-1.678407,1.2725375,5,MAP,Normal,Sequential LSTM
35,-0.09186722,-2.313741,-1.590142,-1.204394,1.061783,5,MAP,Normal,Sequential LSTM
36,-0.068689905,-3.0835059,-2.2759352,-1.8454221,1.1850001,5,MAP,Normal,Sequential LSTM
37,0.74138653,-2.947999,-2.1363513,-1.7036651,1.1909821,5,MAP,Normal,Sequential LSTM
38,0.4984774,-2.441381,-1.6714313,-1.2609739,1.1297965,5,MAP,Normal,Sequential LSTM
39,-0.31397256,-2.4357514,-1.6880475,-1.2894493,1.0971537,5,MAP,Normal,Sequential LSTM
40,0.7891805,-2.7013137,-1.9190608,-1.5020447,1.1478496,5,MAP,Normal,Sequential LSTM
41,-0.11416316,-2.5279577,-1.7163835,-1.2837362,1.1908748,5,MAP,Normal,Sequential LSTM
42,0.5482433,-2.8418853,-1.9666089,-1.5000023,1.284349,5,MAP,Normal,Sequential LSTM
43,0.21878877,-2.4891214,-1.7322221,-1.3287219,1.1106467,5,MAP,Normal,Sequential LSTM
44,-1.1359416,-2.821318,-1.9442064,-1.4766214,1.2870419,5,MAP,Normal,Sequential LSTM
45,0.48030424,-2.8875375,-2.0639904,-1.6249603,1.2084434,5,MAP,Normal,Sequential LSTM
46,0.68269885,-2.9255764,-2.1428707,-1.7256131,1.1485142,5,MAP,Normal,Sequential LSTM
47,-0.40862375,-2.521431,-1.7771409,-1.3803625,1.0921445,5,MAP,Normal,Sequential LSTM
48,0.3634484,-2.736985,-1.8977385,-1.4503394,1.2314798,5,MAP,Normal,Sequential LSTM
49,0.43624187,-3.5496051,-2.5063467,-1.9501896,1.5308396,5,MAP,Normal,Sequential LSTM
50,-0.6126021,-3.3767805,-2.392002,-1.8670205,1.4450281,5,MAP,Normal,Sequential LSTM
51,0.78031,-2.840186,-2.06909,-1.6580213,1.1314787,5,MAP,Normal,Sequential LSTM
52,0.117339075,-2.4913316,-1.7482262,-1.3520794,1.0904061,5,MAP,Normal,Sequential LSTM
53,-0.6150083,-2.7300532,-1.9250516,-1.4959081,1.1812303,5,MAP,Normal,Sequential LSTM
54,-0.8064942,-2.6066377,-1.8723395,-1.4808878,1.0774828,5,MAP,Normal,Sequential LSTM
55,-0.30816936,-3.423049,-2.419375,-1.8843199,1.4727551,5,MAP,Normal,Sequential LSTM
56,0.61888015,-2.6591642,-1.7611924,-1.282487,1.3176513,5,MAP,Normal,Sequential LSTM
57,1.0404449,-3.5599935,-2.5107164,-1.9513506,1.5396714,5,MAP,Normal,Sequential LSTM
58,0.1525951,-3.8925776,-2.8788216,-2.338392,1.4875491,5,MAP,Normal,Sequential LSTM
59,0.12632313,-2.5150037,-1.7505254,-1.3429848,1.1217678,5,MAP,Normal,Sequential LSTM
60,0.034556173,-2.8590486,-2.0899835,-1.6799978,1.1284983,5,MAP,Normal,Sequential LSTM
61,0.030990886,-2.4275525,-1.7213864,-1.344932,1.0362023,5,MAP,Normal,Sequential LSTM
62,-1.0589902,-2.8259268,-2.0130079,-1.579644,1.1928476,5,MAP,Normal,Sequential LSTM
63,-0.71955776,-3.0845494,-2.227387,-1.7704369,1.2577691,5,MAP,Normal,Sequential LSTM
64,1.771821,-2.971122,-2.157284,-1.7234299,1.1941966,5,MAP,Normal,Sequential LSTM
65,-0.98329806,-2.968464,-2.070446,-1.591716,1.3177189,5,MAP,Normal,Sequential LSTM
66,0.5408328,-3.4650176,-2.5417485,-2.0495574,1.3547714,5,MAP,Normal,Sequential LSTM
67,-1.0029421,-3.1863208,-2.251409,-1.7530112,1.3718555,5,MAP,Normal,Sequential LSTM
68,0.10146275,-3.0097246,-2.183687,-1.7433294,1.2120975,5,MAP,Normal,Sequential LSTM
69,-0.04269939,-2.574454,-1.8405371,-1.4492887,1.0769231,5,MAP,Normal,Sequential LSTM
70,-0.12995216,-2.7693696,-1.9982418,-1.5871564,1.1315249,5,MAP,Normal,Sequential LSTM
71,0.00985641,-2.9531157,-2.1330457,-1.6958693,1.2033412,5,MAP,Normal,Sequential LSTM
72,-0.46937996,-2.4875906,-1.733888,-1.332092,1.105956,5,MAP,Normal,Sequential LSTM
73,0.33987164,-2.8706865,-2.0956256,-1.6824436,1.1372962,5,MAP,Normal,Sequential LSTM
74,-0.43685195,-2.7717128,-1.999724,-1.5881796,1.1327885,5,MAP,Normal,Sequential LSTM
75,0.5886534,-2.4005122,-1.6806769,-1.2969356,1.05626,5,MAP,Normal,Sequential LSTM
76,1.1016062,-3.1161232,-2.2054555,-1.7199821,1.3362805,5,MAP,Normal,Sequential LSTM
