Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,Model
-0.19139451,-0.03671773,-1.4474921,-0.05002304,-0.40419716,-0.39001662,-0.0027592415,-0.05717783,1.4682868,1.3034462,0.26704994,0.14839543,1.6854059,0.53923035,-0.23788376,-0.0051836115,-0.60727435,-0.09721585,-0.051006623,-1.007103,0.794536,-0.15071937,-0.19679649,-0.022261182,0.12919886,-0.7961458,0.085226804,0.08064107,0.24995105,1,Sequential RNN
-0.21220109,-0.03449778,-1.4471781,-0.05952354,-0.54819566,-0.31185785,-0.019388733,-0.009833527,1.409731,0.61192554,-0.20859382,0.25980678,2.457573,0.38600564,-0.12423384,-0.010892648,-0.61815816,0.016859528,-0.26595098,-0.6013511,0.72749776,-0.24810438,-0.3022458,0.100844204,0.2897406,-0.7739589,0.055454914,0.01796411,0.4627631,2,Sequential RNN
-0.051633086,-0.043943617,-0.7957684,-0.055757083,-0.14359678,0.6784055,-0.04604893,0.079270594,1.0637057,1.6069554,0.6985715,0.19498119,0.16203581,0.91180533,-0.84189695,0.017862879,-0.513567,0.13576272,-0.19687533,-1.3715785,0.65241396,-0.378318,-0.26837638,-0.58727634,-0.038722582,-0.6675357,-0.3539009,0.025471175,1.1275537,3,Sequential RNN
-0.149147,-0.043725457,-1.2674057,-0.07923768,-0.34187844,0.090977535,-0.04337649,0.107118204,1.6967248,1.6592969,0.37158367,0.15417358,1.0653446,0.95648974,-0.6713,-0.019177588,-0.77543503,-0.15131918,-0.20342502,-1.2958724,0.7440262,-0.28518605,-0.19775717,-0.19122346,0.17368543,-0.881596,-0.11500107,0.052391075,0.6402522,4,Sequential RNN
-0.11818222,-0.07356757,-1.0769938,-0.087552585,-0.270825,0.43722615,-0.09415692,0.24882609,1.2912273,1.4696527,0.42145815,0.015695136,0.8587683,0.9636601,-0.80532664,-0.008001786,-0.64941704,0.20673946,-0.17017041,-1.2150881,0.62703913,-0.40128213,-0.13017151,-0.380421,0.052552115,-0.71573204,-0.25747174,-0.004761811,0.8662778,5,Sequential RNN
-0.18184823,-0.048592035,-1.3253165,-0.07789971,-0.42484617,0.055342212,-0.05126568,0.14525744,1.6353024,1.5747638,0.16050772,0.14392051,1.4665835,0.8993833,-0.62052506,-0.027097639,-0.7653297,-0.19242701,-0.19953698,-1.2048337,0.65674525,-0.21589619,-0.19606692,-0.099836275,0.18390734,-0.8691836,-0.1028424,0.03593166,0.6456987,6,Sequential RNN
-0.2494078,-0.050764,-1.3150012,-0.0688541,-0.47989327,0.052135997,-0.0069949282,0.1058338,1.9681197,1.4330825,0.13767946,0.043156844,1.5589545,0.84230024,-0.74674124,0.0045370497,-0.45184162,0.075073935,-0.22723159,-1.1685244,0.57995266,-0.3984889,-0.15904608,-0.20601553,0.14706245,-1.7164521,-0.18833277,0.25997263,1.2257278,7,Sequential RNN
-0.22598925,-0.06969623,-1.1578455,-0.07655152,-0.33996788,0.3727059,-0.028020618,0.1975358,1.4050252,1.5048381,0.46868694,-0.07300952,1.0240026,0.8062987,-0.80363613,-0.006539578,-0.296649,0.3454408,-0.14738502,-1.2174245,0.40360713,-0.39398697,-0.08719015,-0.47759354,-0.04438605,-1.3872137,-0.35722372,0.22988947,1.4322783,8,Sequential RNN
-0.22906137,-0.05529515,-1.4526529,-0.03343313,-0.4726851,-0.021325251,-0.0031479702,0.036221955,1.9915788,1.3602767,0.20271577,0.118035346,1.6881651,1.1389525,-0.8797886,-0.0030002752,-0.4929549,0.021591572,-0.22459145,-1.0082152,0.60637796,-0.2632896,-0.18652712,-0.22303201,-0.06760533,-1.7892697,-0.27581438,0.3326733,1.1851006,9,Sequential RNN
-0.13387701,-0.10486823,-1.0562695,-0.03923467,-0.29763055,0.31578895,-0.020935519,0.16062987,1.3098989,1.5273575,0.5287631,0.10204399,0.7731045,0.8749191,-0.80716985,-0.026546255,-0.2976204,0.43390998,-0.15981832,-1.1932857,0.5198555,-0.2731053,-0.19500862,-0.5114425,-0.27548906,-1.4861172,-0.37161675,0.22104563,1.4827187,10,Sequential RNN
-0.17803775,-0.03835715,-1.5468423,-0.058930226,-0.52464336,0.20324357,0.009407815,-0.05614787,2.164562,1.4016082,0.079148695,-0.20974614,1.8983411,0.82819796,-0.60382974,-0.03805947,-0.491556,0.08076335,-0.042527393,-1.0781397,0.67133623,-0.14496739,0.13827422,-0.14560178,-0.20341991,-1.8859226,-0.26787183,0.23576385,0.8039536,11,Sequential RNN
-0.12142549,-0.069531195,-1.1698225,-0.09021913,-0.3899773,0.4971432,-0.024450129,0.092593394,2.1200283,1.6106377,0.5125196,-0.26057246,0.9087519,0.77614003,-0.7181649,-0.028707197,-0.22967176,0.10568892,-0.033705052,-1.2674809,0.65622556,-0.21551466,0.19736187,-0.39466655,-0.12512694,-2.0780802,-0.34699744,0.23428746,0.8527358,12,Sequential RNN
0.006409352,-0.082904026,-0.8268886,-0.15036565,-0.1790877,0.92911685,-0.07917219,0.34081092,1.1590722,1.1302252,0.37989283,0.008243276,0.5992189,0.60199344,-0.74688315,-0.029328372,-0.23236364,0.5479982,-0.16082029,-1.036525,0.55290776,-0.17921336,-0.12032631,-0.5249024,-0.49598345,-1.2749047,-0.497245,0.08287245,1.2781526,13,Sequential RNN
-0.09447595,-0.14367534,-1.240147,-0.2798324,-0.2898537,-0.21095587,-0.0868653,0.6447924,2.0064251,0.8283071,0.118132934,0.21188411,1.3238789,1.1371212,-0.6387691,-0.04224813,-0.8253235,0.36128828,-0.16273853,-0.69891906,0.72778857,-0.07915335,-0.41999263,-0.13101386,-0.35215607,-1.6643412,-0.17017007,0.14323899,1.0277736,14,Sequential RNN
-0.06863983,-0.14643033,-0.9874916,-0.24775887,-0.12856978,-0.17420843,-0.044877842,0.5681118,1.2285141,1.1684493,0.28013375,0.13891141,0.8045486,1.2815367,-0.8623306,-0.021483447,-0.42780346,1.1123497,-0.18063104,-1.2810247,0.63625336,-0.2979583,-0.4679144,-0.38486904,-0.478196,-1.7107712,-0.24983525,0.15874885,1.7832366,15,Sequential RNN
-0.11834039,-0.16567393,-1.0732769,-0.23628707,-0.12917247,0.076369815,-0.09984196,0.7516781,0.44999084,0.91492766,0.37761632,-0.2562469,1.0673223,1.2634207,-0.79598016,0.004197726,-0.18120426,0.7891381,-0.09071015,-1.0734259,0.7179137,-0.33244222,-0.044366434,-0.44595513,-0.35909954,-1.0169239,-0.3419907,0.03257415,1.3157886,16,Sequential RNN
-0.2644287,-0.1459043,-1.6356347,-0.112818755,-0.46716797,-0.12437882,-0.01518177,0.299586,0.9226285,1.35481,-0.09074011,0.28470883,2.3732958,0.15123507,-0.3169918,0.038304243,-0.16905074,1.2279328,-0.052686043,-1.4865366,0.22483517,-0.21752669,-0.6016089,-0.2724471,-0.34725028,-1.5446262,-0.13882887,0.18445349,1.9420186,17,Sequential RNN
-0.2658438,-0.12546264,-1.4593295,-0.14213678,-0.4634292,-0.15931547,0.02031776,0.2048871,1.3433356,1.7242962,-0.12267059,0.54140615,1.9737375,0.017207554,-0.25828552,0.00039814028,-0.28268707,1.0324509,-0.116906196,-1.7066664,0.20499125,-0.12090112,-0.76387054,-0.21326976,-0.18780425,-1.7770516,-0.10398785,0.17797105,2.0286188,18,Sequential RNN
-0.21484537,-0.15636925,-1.311695,-0.08170256,-0.3471769,-0.21286075,0.005974045,0.20760947,1.2772396,1.5391507,-0.049588982,0.36648858,1.674728,0.5003671,-0.5869225,-0.019064398,-0.36340225,1.5138826,-0.08059751,-1.8209246,0.35646802,-0.19029675,-0.70569336,-0.3146666,-0.329883,-1.7593555,-0.16375235,0.23547027,2.0314193,19,Sequential RNN
-0.13634504,-0.188678,-1.3181735,-0.19216792,-0.38922045,0.22206576,-0.022256022,0.40272066,1.6964738,1.0422388,-0.17903794,0.39632338,1.8592894,0.3691104,-0.67991245,-0.028134082,-0.20262153,1.2310076,-0.1168342,-1.3091251,0.4203194,-0.14932695,-0.57133317,-0.1697925,-0.039149746,-2.0393271,-0.32713762,0.3091724,1.1098518,20,Sequential RNN
-0.13263687,-0.19784983,-1.327241,-0.16438337,-0.3061105,-0.023731813,-0.043713056,0.42265353,1.540112,1.3262746,0.1693401,0.40859535,1.4298537,0.74464375,-0.82378453,-0.019819327,-0.13574356,0.8495545,-0.13751341,-1.3994377,0.5473229,-0.19861746,-0.5459679,-0.18956165,0.02931274,-1.8471193,-0.19972639,0.31188098,0.9134133,21,Sequential RNN
-0.055793624,-0.15002479,-0.8990585,-0.1986961,-0.23334806,0.2773114,-0.08275685,0.58249986,1.5632831,1.4463942,-0.20249298,0.3233906,0.9267022,0.47757307,-0.7738571,-0.03325281,-0.38289315,1.0077064,-0.2907249,-1.4777206,0.24852967,-0.20348589,-0.50744766,-0.21503776,0.013723322,-1.8039345,-0.3072301,0.16342312,1.7872186,22,Sequential RNN
-0.06483701,-0.18675493,-0.9018255,-0.17420584,-0.13814008,0.25088426,-0.1469997,0.7700413,0.9874371,1.3719826,0.11707367,0.06641195,0.73526746,1.0061766,-0.90467346,-0.037320517,-0.4116932,0.6552074,-0.26020262,-1.2392399,0.43796334,-0.29673162,-0.24969551,-0.27936086,-0.017503457,-1.0509279,-0.3341175,0.10187838,1.1939056,23,Sequential RNN
-0.04566445,-0.14062479,-0.7579063,-0.15225773,-0.09116011,0.27357164,-0.11803539,0.57409376,1.2965223,2.0291107,0.41490117,0.22010912,0.09124453,0.87230605,-0.79147846,-0.058156878,-0.4598493,0.1378077,-0.13834779,-1.6130254,0.43022484,-0.09450669,-0.36211446,-0.31686166,-0.013655835,-1.2160605,-0.2775025,0.19484623,1.1124701,24,Sequential RNN
-0.090301,-0.122729264,-0.95382845,-0.10976644,-0.19428702,0.4738874,-0.12305163,0.5009431,1.3405613,1.5833098,0.1696627,0.04469989,0.7718608,0.543667,-0.7833665,-0.0577981,-0.7732647,0.6286985,0.021127991,-1.48265,0.3238319,0.041540813,-0.27711412,-0.33864763,-0.2772027,-1.012808,-0.28296754,0.075074546,1.3609174,25,Sequential RNN
-0.08852464,-0.10518025,-0.9288595,-0.09160269,-0.19140762,0.6374836,-0.08999558,0.3904203,1.318471,1.4218197,0.22096546,0.25157228,0.70800954,0.7597637,-0.8649851,-0.07989385,-0.8393242,0.7017177,-0.05782166,-1.3312433,0.3405749,-0.027968228,-0.48004436,-0.4410414,-0.35349336,-0.8936578,-0.35712108,0.039593104,1.4317734,26,Sequential RNN
-0.1407633,-0.076947406,-1.2034575,-0.06415958,-0.32814,0.3708431,-0.09694625,0.26216137,1.2993814,0.8852678,0.2352685,-0.0076254206,1.4333405,0.6868018,-0.583938,-0.06384507,-0.6909511,0.8614411,-0.15238918,-1.0647285,0.57497764,-0.2509305,-0.23477209,-0.35347757,-0.27940804,-0.96825284,-0.2701818,0.004775599,1.2166553,27,Sequential RNN
