N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Validation_RMSE
15,3.0604188,0.7145238,4.0506306,Sequential RNN,0.06828846,3.9086187
15,2.7334003,0.7302274,3.51171,Sequential LSTM,0.05872346,3.3727198
