N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Validation_RMSE
5,2.3294885,5.3712e-6,1.6648219,Sequential RNN,6.314935e-13,1.2189126
5,2.3179872,5.911558e-6,1.6690623,Sequential LSTM,1.09456586e-13,1.2046196
