N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Validation_RMSE
29,3.051495,0.61073846,6.8983607,Sequential RNN,0.122742176,6.8343816
29,3.406312,0.6349826,6.186883,Sequential LSTM,0.1108571,6.141153
