Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,Model
0.01708423,-0.1596254,-0.6081153,-0.15987575,0.20051523,-0.22009654,-0.25545895,1.0649842,-0.8255789,1.9461671,1,Sequential RNN
0.1452645,0.013625933,-0.6427762,0.1324369,0.032818478,-0.29466414,0.004485311,-0.09270291,-0.52560073,2.2271128,2,Sequential RNN
0.04813009,-0.17916633,-0.8840982,-0.18779849,0.26599336,-0.06961037,-0.17133233,0.90362674,-1.0134268,2.2876823,3,Sequential RNN
0.011537004,-0.07329706,-0.7032096,-0.0051674834,0.08793833,-0.42352486,-0.12716803,0.5459397,-0.7476532,2.4346051,4,Sequential RNN
0.03552163,-0.1735425,-0.923103,-0.20417407,0.28175166,-0.24056238,-0.23650387,1.0939319,-1.0090464,2.3757272,5,Sequential RNN
0.04033678,-0.045002844,-0.53850025,-0.14064696,0.048658192,-0.46901086,-0.09881252,0.52176875,-0.35988086,2.0410905,6,Sequential RNN
0.2538087,-0.0729444,-0.8161513,-0.21959117,0.13636042,-0.2965268,-0.061615996,0.42275545,-0.38565293,2.0395582,7,Sequential RNN
0.10117038,-0.05940526,-0.7096232,-0.15282471,0.17150746,-0.17179318,-0.025727246,0.36046684,-0.5769746,2.0632036,8,Sequential RNN
0.24734096,-0.04761491,-0.9372017,-0.15901147,0.13093764,-0.24695535,0.044166952,0.050777566,-0.15137087,2.068931,9,Sequential RNN
0.04887633,-0.10600627,-0.8257887,-0.22785874,0.20162167,-0.4187008,-0.10227853,0.6894567,-0.4102315,2.15091,10,Sequential RNN
0.026430648,-0.063633375,-0.6688606,-0.1668619,0.14343609,-0.2381822,-0.0068932865,0.48650265,-0.5951789,2.083241,11,Sequential RNN
0.07404174,-0.10684815,-0.7976639,-0.014900461,0.14785922,0.5866843,0.014089494,0.17806241,-0.86186695,1.7805424,12,Sequential RNN
0.09438865,-0.040442128,-0.69657207,-0.12351401,0.24151611,-0.20436476,-0.051763337,0.30602446,-0.5722534,2.0469806,13,Sequential RNN
0.015191396,-0.018714666,-0.47765177,-0.081655614,0.11124828,-0.38504246,-0.05230781,0.3224511,-0.42042094,1.9869025,14,Sequential RNN
0.0470183,-0.12700497,-0.80763495,-0.16696274,0.1441991,-0.45134872,-0.14091264,0.69904697,-0.548948,2.3525476,15,Sequential RNN
0.061368126,-0.25483787,-0.7685178,-0.2669488,0.09028882,-0.48649257,-0.2876231,1.4031659,-0.6046785,2.1142757,16,Sequential RNN
0.012323434,-0.108406544,-0.7248155,-0.11398787,0.16484223,-0.3001549,-0.10691431,0.6389399,-0.8205262,2.3586996,17,Sequential RNN
0.09174919,0.049162846,-0.5684406,0.01764429,0.13973913,-0.40495172,0.08224648,-0.10123503,-0.47220644,2.166292,18,Sequential RNN
0.06441593,-0.27797455,-0.97603875,-0.24112791,0.19801345,-0.35296798,-0.22742754,1.1897063,-0.6630952,2.2864962,19,Sequential RNN
0.002034061,-0.2862718,-0.67286634,-0.23323335,0.1248201,-0.16352277,-0.26879677,1.4535363,-0.9053189,1.9496195,20,Sequential RNN
-0.0034144158,-0.3805588,-0.7841438,-0.3065306,0.131979,-0.34168443,-0.33313113,1.7721902,-0.7465658,1.9918597,21,Sequential RNN
0.049858205,-0.12485848,-0.6739819,-0.08808771,0.081733786,-0.3039895,-0.12590224,0.68708766,-0.7303617,2.2285018,22,Sequential RNN
0.020269273,-0.35677508,-0.79757977,-0.38288587,0.23675647,0.09889359,-0.4206784,2.133639,-1.067341,1.5357018,23,Sequential RNN
0.03598585,-0.18480732,-0.64056355,-0.20002723,0.07515223,-0.22317547,-0.20814362,1.176082,-0.8170303,1.9865273,24,Sequential RNN
-0.035429973,-0.17815875,-0.5433338,-0.14567305,0.047387455,-0.33493233,-0.19940221,1.1201581,-0.65410185,1.9234865,25,Sequential RNN
0.03632931,-0.15391117,-0.63402903,-0.16301687,0.117190376,-0.101190485,-0.14791934,0.90341157,-0.8052562,1.9483918,26,Sequential RNN
0.09139508,-0.15106575,-0.955657,-0.20925942,0.20952491,-0.4462653,-0.10311553,0.70857835,-0.31342304,2.1692877,27,Sequential RNN
0.046063162,-0.25951445,-0.5525122,-0.1767637,0.09490327,0.42296523,-0.14615512,1.0175006,-0.8443998,1.397913,28,Sequential RNN
0.04303646,-0.26864886,-0.717665,-0.25497407,0.14751528,-0.2589155,-0.27595422,1.4169677,-0.67839354,1.8470317,29,Sequential RNN
0.034091942,-0.2601088,-1.0079408,-0.19960602,0.18329276,-0.5765721,-0.22434703,1.1071434,-0.37649244,2.320539,30,Sequential RNN
0.07568178,-0.3298787,-1.0294503,-0.26305595,0.15332294,-0.16088729,-0.28558567,1.4774662,-0.7208958,2.0832827,31,Sequential RNN
-0.022699209,-0.2612334,-0.7715798,-0.1589132,0.09033248,-0.47682914,-0.20099638,1.1553117,-0.65569144,2.3022983,32,Sequential RNN
0.047618512,-0.24066553,-0.7039509,-0.33663014,0.12611301,-0.25310144,-0.28729457,1.5593548,-0.5391413,1.6276975,33,Sequential RNN
0.028828764,-0.2022852,-0.8614414,-0.20376101,0.11082394,-0.58924544,-0.19003853,1.1200618,-0.44862315,2.23568,34,Sequential RNN
0.07401154,-0.13749875,-0.820934,-0.14900708,0.1632935,-0.29873595,-0.13122576,0.7423898,-0.53965306,2.09736,35,Sequential RNN
0.054344866,-0.23941092,-0.83625036,-0.23083767,0.11113241,-0.50720036,-0.18038203,1.1602519,-0.36895168,2.037304,36,Sequential RNN
-0.0005371886,-0.29232594,-0.82725394,-0.18593426,0.035296526,-0.46651393,-0.25834098,1.4346715,-0.49700305,2.0579412,37,Sequential RNN
0.11505342,-0.2242818,-0.8086171,-0.2318488,0.13243459,-0.18743546,-0.18389146,1.0753454,-0.51333344,1.8265747,38,Sequential RNN
0.027304206,-0.23793186,-0.8415354,-0.21067064,0.13945356,-0.14217645,-0.25137654,1.3672984,-0.7849692,1.9346039,39,Sequential RNN
0.043161765,-0.2992921,-0.8612099,-0.25627974,0.09060171,-0.18402034,-0.29254577,1.6252257,-0.8011341,1.9354929,40,Sequential RNN
0.12910782,-0.2637056,-0.8776019,-0.27678964,0.1644575,0.4396228,-0.35340425,1.6989013,-1.1668526,1.5062646,41,Sequential RNN
0.12250512,-0.13885315,-1.0351104,-0.20246111,0.19518524,-0.31649378,-0.16016921,0.9370529,-0.82368445,2.4220288,42,Sequential RNN
0.12100437,-0.17767484,-0.9004252,-0.17718169,0.15889403,0.07867454,-0.30383348,1.2908707,-1.077635,1.9873067,43,Sequential RNN
0.17207202,-0.14472125,-1.0131812,-0.23810863,0.23734842,-0.045832075,-0.19208832,0.9831486,-0.9615559,2.2029185,44,Sequential RNN
0.09722763,-0.02810962,-0.76037854,-0.018686973,0.01739296,-0.38799402,-0.076329105,0.4480753,-0.6712914,2.3800938,45,Sequential RNN
-0.001926604,-0.31488293,-0.8098745,-0.4113995,0.16220076,-0.028705193,-0.41649157,2.1890664,-1.0978177,1.7298307,46,Sequential RNN
0.0191138,-0.2519077,-0.7735093,-0.3548439,0.24674848,0.1434984,-0.26637244,1.5365636,-1.1151409,1.8158499,47,Sequential RNN
-0.07856269,-0.09820461,-0.57257277,-0.09852441,0.09527494,-0.1535631,-0.16037574,0.9242468,-0.9573803,2.0996618,48,Sequential RNN
-0.043762404,-0.046605825,-0.59589857,-0.09821967,0.14312392,-0.22742625,-0.097709686,0.61525726,-0.8482314,2.1994727,49,Sequential RNN
-0.02909207,-0.10675711,-0.6653405,-0.1286236,0.13474783,-0.32887873,-0.17275906,0.89703417,-0.8031042,2.2027733,50,Sequential RNN
-0.018215617,-0.20352852,-0.6279655,-0.18369773,0.12388953,-0.13584043,-0.2431899,1.2477294,-0.92436236,1.9651811,51,Sequential RNN
0.033988472,-0.28275305,-0.8002864,-0.21910697,0.17950568,0.39412418,-0.39547452,1.7134188,-1.370367,1.7469509,52,Sequential RNN
0.07058476,-0.22875069,-0.78070396,-0.21010187,0.17662929,0.5232083,-0.24896976,1.274959,-1.4525185,1.8756634,53,Sequential RNN
0.016293034,-0.21545261,-0.71016616,-0.21781954,0.10898562,-0.321354,-0.2994916,1.4149178,-0.9926228,2.2167103,54,Sequential RNN
0.006525406,-0.0006025596,-0.7016311,-0.081634104,0.14289093,-0.45873275,-0.06543707,0.3764404,-0.7943879,2.5765688,55,Sequential RNN
