Day,Actual_Return,VaR_1_percent,VaR_5_percent,VaR_10_percent
1,-0.2716868859582693,1.8484452699609488,1.2910795250731717,0.9939814848466475
2,0.40291455375458,2.24969512497836,1.5785747069132579,1.2208409157860451
3,-0.5232497068913862,2.1910937237430304,1.536804055834987,1.1880417218399506
4,0.09494612882235202,2.1711758110899413,1.5231991924758708,1.1778019640516304
5,-0.14290161837199777,2.0504952552243965,1.4366334665908496,1.10942079511658
6,0.2708220857164219,2.0751035855058246,1.4552410180497042,1.124829693546662
7,0.394343415631767,1.8811319965385134,1.3164151128670034,1.0153986242139077
8,-0.9245609509540079,1.5280803200288304,1.0642908795626307,0.8170727196665507
9,-0.06471368631298541,1.57547694238649,1.0983096006292368,0.8439604889436524
10,0.5590187599446296,1.3640072220237551,0.9482769453514135,0.7266762251868613
11,-0.8544277983411551,1.5453257314777118,1.077186485471188,0.8276497067628648
12,0.2316456355495095,2.2656449361626967,1.592907811604403,1.234312251817824
13,-1.3666687639236033,1.981116229075556,1.3895587956687447,1.0742352298439688
14,-4.749494255271852,2.132410767359663,1.5054899852384123,1.1713163524777457
15,0.9590393083875417,1.3569143381966784,0.9440300474275418,0.7239463505858434
16,0.9760173565927908,2.4487038182356375,1.7222598674715819,1.335036439971799
17,0.05299386642213169,1.638710368779712,1.1443710318395883,0.8808685658935312
18,-0.7212305247065603,1.8095473023849986,1.2660650367151831,0.9763674413581448
19,0.483629870342724,1.6273388148588366,1.1364403406685493,0.8747719909900262
20,1.5513101560441316,2.193453308125872,1.5403164019265467,1.192168535626466
21,0.2070563114914119,2.658651777702714,1.878612213845584,1.4628201996309909
22,0.27934848248939514,2.4373902822773257,1.7141049926634062,1.3285652567899073
23,1.0255894885756014,2.173813821655006,1.5257418202967412,1.1802937490881507
24,0.3524750029287115,2.228102069799201,1.5641667768254979,1.2102629422448017
25,-0.035540786140200495,2.240516210680341,1.573524831100689,1.217991981192593
26,0.18289494933483338,2.0932732951304,1.468244141213306,1.1350788212839302
27,-0.025477527914157527,2.13590475540771,1.4992123120686551,1.159829996456207
28,-0.3824466567998409,2.1752547303444425,1.528805665953999,1.1842226844947759
29,0.09831635504437462,1.8534226609128994,1.2969483990927162,1.0003255546863632
30,0.844831113786745,1.8944093675283906,1.3270457347504867,1.024618423886494
31,0.19714374979964794,1.7801311997880434,1.2446075408821398,0.9591521984697419
32,0.5222704071074485,1.86171324915621,1.3033589466142288,1.0057339659640978
33,-0.5807887565312521,1.4053349299553621,0.9771168641603285,0.7488596572827996
34,-0.32565239410783053,1.6655368979459637,1.1624936955442362,0.8943517242199671
35,0.03336762374706859,1.9639733633927905,1.3776505617380648,1.0651172621776162
36,-0.10189708108901381,1.9457818466509436,1.3657819390264163,1.0566189926714924
37,0.1652993074015841,1.7874322386304555,1.2511571593335709,0.9653012800607821
38,-0.44981812829738377,1.678545114331548,1.1731232854073388,0.9037134118398086
39,1.272732392005071,1.7678530294314525,1.242030712482537,0.9617465699679165
40,-0.37475005581981613,1.6723577482276832,1.1681374494255812,0.8993680390508925
41,0.9292300603763044,1.811234884573788,1.2704616169475573,0.9822080249529584
42,-0.051262113310897306,1.8668109283006626,1.3076908571000196,1.00965769139395
43,-1.1240601241764603,1.8820139418017594,1.3203616988719167,1.0209787852397096
44,-0.3730018040165425,2.0387968910801404,1.4327302927533698,1.1096727667730208
45,1.6527294128359988,1.8830803928052544,1.3196239677055601,1.0192793534453708
46,-0.34096669901183396,1.796201564481904,1.2551722904204576,0.9667822368458541
47,0.9627048011852101,2.0219243099992266,1.4168454216099557,1.0943143841866
48,-1.2407733288394331,1.263688621594749,0.8763041606854793,0.6698128841655604
49,-0.31010729203553206,1.672211091154798,1.166294451610015,0.8966208243636768
50,0.8197016150684119,1.359357055851478,0.9442271545510498,0.7229464582631562
51,0.2556825773654938,2.2719885957224113,1.5948343793846398,1.233884334552612
52,0.5723401879685477,1.8647742602839863,1.3041511257346152,1.0053167676708537
53,0.7846550055603981,1.0021003530784218,0.6917634618967896,0.5263415947911619
54,-0.44435621293396615,2.1380714550724353,1.4983147992535815,1.1572991369008003
55,0.925859748975712,1.524904173153255,1.062308433348918,0.8157265632329497
56,-2.565164184880352,2.425356356253298,1.7044952405755815,1.320247685522702
57,-0.6436418734060108,1.6953906020865275,1.1820775190498698,0.9084612941712991
58,0.4572136016486644,1.29297704994646,0.8962632930634382,0.6847991319055279
59,0.6542338816330731,1.792542498484255,1.250257951219448,0.9611987872589122
60,0.39374105678048577,2.4181825601463927,1.6973092930005849,1.3130552607334363
61,-0.693321547235687,2.344351251053082,1.6451445163519827,1.272439604903379
62,1.3826620808830046,2.2490420963192683,1.577420555244191,1.2194196456843478
63,-0.9547831360812723,2.9747483714847536,2.0999815398440815,1.6336961361942077
64,0.06153192051754967,2.1079334587107135,1.4759086324671966,1.1390143418263792
65,1.9726325387045398,2.147772694828411,1.5052483993678047,1.1627574753557632
