Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.02498821,0.27647856,0.15754429,0.11004002,0.0881072,30,5.0,MAP,t-Distribution,Sequential RNN
2,0.003169617,0.21286364,0.09354756,0.045890808,0.08839003,30,5.0,MAP,t-Distribution,Sequential RNN
3,0.020973928,0.30746347,0.18207407,0.13199155,0.092889175,30,5.0,MAP,t-Distribution,Sequential RNN
4,0.029869135,0.2915881,0.16651386,0.1165572,0.09265571,30,5.0,MAP,t-Distribution,Sequential RNN
5,-0.0049709156,0.30012825,0.17401968,0.12364991,0.09342194,30,5.0,MAP,t-Distribution,Sequential RNN
6,0.011991478,0.27318183,0.1485877,0.09882282,0.09230004,30,5.0,MAP,t-Distribution,Sequential RNN
7,0.04278039,0.28895977,0.1646285,0.114968605,0.092105314,30,5.0,MAP,t-Distribution,Sequential RNN
8,0.028437855,0.2946644,0.16940506,0.119374454,0.09279285,30,5.0,MAP,t-Distribution,Sequential RNN
9,0.015749378,0.31906167,0.19495448,0.14538409,0.0919393,30,5.0,MAP,t-Distribution,Sequential RNN
10,0.023328323,0.28914735,0.16501871,0.11543975,0.0919552,30,5.0,MAP,t-Distribution,Sequential RNN
11,0.010918135,0.28234434,0.15948525,0.11041336,0.09101472,30,5.0,MAP,t-Distribution,Sequential RNN
12,0.059171267,0.3067776,0.18183191,0.1319266,0.09256049,30,5.0,MAP,t-Distribution,Sequential RNN
13,0.09674885,0.28650028,0.1613035,0.11129792,0.09274648,30,5.0,MAP,t-Distribution,Sequential RNN
14,0.026020717,0.27716267,0.15084879,0.100397006,0.09357405,30,5.0,MAP,t-Distribution,Sequential RNN
15,-0.027382145,0.3013069,0.176859,0.12715253,0.0921917,30,5.0,MAP,t-Distribution,Sequential RNN
16,-0.004916838,0.33306006,0.2080522,0.15812206,0.09260653,30,5.0,MAP,t-Distribution,Sequential RNN
17,0.011255777,0.27084818,0.14528109,0.095127575,0.09302082,30,5.0,MAP,t-Distribution,Sequential RNN
18,-0.009590855,0.25227645,0.12690352,0.07682757,0.09287697,30,5.0,MAP,t-Distribution,Sequential RNN
19,0.007457788,0.3216044,0.19442987,0.14363435,0.09421161,30,5.0,MAP,t-Distribution,Sequential RNN
20,-0.022149118,0.30935428,0.18380113,0.1336532,0.093010485,30,5.0,MAP,t-Distribution,Sequential RNN
21,0.011396676,0.3120297,0.18658425,0.13647935,0.09293069,30,5.0,MAP,t-Distribution,Sequential RNN
22,-0.0031834715,0.27666974,0.15208271,0.10232065,0.09229479,30,5.0,MAP,t-Distribution,Sequential RNN
23,-0.022115232,0.31590495,0.19089195,0.14095977,0.09261033,30,5.0,MAP,t-Distribution,Sequential RNN
24,-0.011855977,0.28460863,0.16002792,0.1102684,0.09229009,30,5.0,MAP,t-Distribution,Sequential RNN
25,-0.0022433705,0.30356446,0.17810272,0.12799129,0.09294277,30,5.0,MAP,t-Distribution,Sequential RNN
26,-0.036928758,0.29275888,0.16849408,0.11886072,0.09205607,30,5.0,MAP,t-Distribution,Sequential RNN
27,0.00693855,0.29476175,0.1704591,0.120810635,0.09208412,30,5.0,MAP,t-Distribution,Sequential RNN
28,0.0069726356,0.26422328,0.14128977,0.092188165,0.09106984,30,5.0,MAP,t-Distribution,Sequential RNN
29,-0.03484972,0.29666275,0.17182904,0.121968456,0.09247753,30,5.0,MAP,t-Distribution,Sequential RNN
30,0.010170267,0.309784,0.18322954,0.13268167,0.09375226,30,5.0,MAP,t-Distribution,Sequential RNN
31,0.019883592,0.28926536,0.16521297,0.11566446,0.09189872,30,5.0,MAP,t-Distribution,Sequential RNN
32,-0.027060604,0.30443507,0.18008366,0.13041572,0.09212023,30,5.0,MAP,t-Distribution,Sequential RNN
33,0.01950191,0.27316597,0.14960481,0.10025251,0.09153481,30,5.0,MAP,t-Distribution,Sequential RNN
34,0.0010454449,0.32115105,0.1952506,0.14496395,0.09326777,30,5.0,MAP,t-Distribution,Sequential RNN
35,-0.04486283,0.29286212,0.16799344,0.11811889,0.09250343,30,5.0,MAP,t-Distribution,Sequential RNN
36,0.009560078,0.28799975,0.16502616,0.115908526,0.091099545,30,5.0,MAP,t-Distribution,Sequential RNN
37,0.00027113757,0.26994073,0.14779949,0.09901432,0.09048292,30,5.0,MAP,t-Distribution,Sequential RNN
38,0.012140293,0.28631875,0.16266774,0.11327955,0.09160137,30,5.0,MAP,t-Distribution,Sequential RNN
39,0.020735612,0.32056364,0.19437861,0.14397831,0.093478575,30,5.0,MAP,t-Distribution,Sequential RNN
40,0.0034982301,0.2846144,0.16149378,0.11231741,0.09120848,30,5.0,MAP,t-Distribution,Sequential RNN
41,0.014640686,0.28540695,0.16072825,0.11092957,0.092362694,30,5.0,MAP,t-Distribution,Sequential RNN
42,0.0065281433,0.29971203,0.17564893,0.12609613,0.091906674,30,5.0,MAP,t-Distribution,Sequential RNN
43,0.03693494,0.28135034,0.15713689,0.10752403,0.092018045,30,5.0,MAP,t-Distribution,Sequential RNN
44,0.018949598,0.33369008,0.20825033,0.15814768,0.092926495,30,5.0,MAP,t-Distribution,Sequential RNN
45,-0.030167513,0.28787675,0.16350639,0.11383089,0.09213426,30,5.0,MAP,t-Distribution,Sequential RNN
46,-0.0082020955,0.28343537,0.15908915,0.10942328,0.09211639,30,5.0,MAP,t-Distribution,Sequential RNN
47,0.044729985,0.29936862,0.17338964,0.12307162,0.09332595,30,5.0,MAP,t-Distribution,Sequential RNN
48,0.03195719,0.32316196,0.1963223,0.14566052,0.09396353,30,5.0,MAP,t-Distribution,Sequential RNN
49,0.012569318,0.30157903,0.17704475,0.12730376,0.0922557,30,5.0,MAP,t-Distribution,Sequential RNN
50,-3.5061792e-5,0.28303614,0.16039197,0.11140594,0.09085549,30,5.0,MAP,t-Distribution,Sequential RNN
51,-0.02315372,0.28896484,0.16568907,0.11645075,0.0913234,30,5.0,MAP,t-Distribution,Sequential RNN
52,-0.008700792,0.29859126,0.1735779,0.12364558,0.0926106,30,5.0,MAP,t-Distribution,Sequential RNN
53,0.010727487,0.30531263,0.1797088,0.1295406,0.09304804,30,5.0,MAP,t-Distribution,Sequential RNN
54,0.034748867,0.29580843,0.17204879,0.12261721,0.09168186,30,5.0,MAP,t-Distribution,Sequential RNN
55,0.007233368,0.3037792,0.18004102,0.13061799,0.09166597,30,5.0,MAP,t-Distribution,Sequential RNN
56,0.027392916,0.26841745,0.1455973,0.09654097,0.09098586,30,5.0,MAP,t-Distribution,Sequential RNN
57,-0.009661416,0.30217013,0.17790025,0.12826487,0.09205983,30,5.0,MAP,t-Distribution,Sequential RNN
58,0.0023496933,0.32049087,0.1973209,0.14812484,0.09124501,30,5.0,MAP,t-Distribution,Sequential RNN
59,-0.04010173,0.28398305,0.16055019,0.11124913,0.09143977,30,5.0,MAP,t-Distribution,Sequential RNN
60,0.011339915,0.29754925,0.17333576,0.12372291,0.09201805,30,5.0,MAP,t-Distribution,Sequential RNN
61,-0.0019349257,0.28101686,0.15632686,0.10652367,0.09237106,30,5.0,MAP,t-Distribution,Sequential RNN
62,-0.01832183,0.28083265,0.15605289,0.106213845,0.092437565,30,5.0,MAP,t-Distribution,Sequential RNN
63,0.01956418,0.29192963,0.16609807,0.11583894,0.09321673,30,5.0,MAP,t-Distribution,Sequential RNN
64,-0.008340076,0.29442734,0.17124209,0.12203992,0.09125634,30,5.0,MAP,t-Distribution,Sequential RNN
65,-0.023492966,0.29919222,0.17277157,0.12227714,0.093653135,30,5.0,MAP,t-Distribution,Sequential RNN
66,-0.025523178,0.31164923,0.1862563,0.13617237,0.0928918,30,5.0,MAP,t-Distribution,Sequential RNN
67,0.018302105,0.2705322,0.1469622,0.09760636,0.09154135,30,5.0,MAP,t-Distribution,Sequential RNN
68,-0.013705166,0.28279427,0.15857288,0.10895688,0.09202391,30,5.0,MAP,t-Distribution,Sequential RNN
69,-0.01749912,0.30177325,0.17580064,0.12548517,0.09332122,30,5.0,MAP,t-Distribution,Sequential RNN
70,-0.01656657,0.29590264,0.17025205,0.12006521,0.09308265,30,5.0,MAP,t-Distribution,Sequential RNN
71,-0.0032497605,0.28118697,0.1573975,0.10795401,0.09170394,30,5.0,MAP,t-Distribution,Sequential RNN
72,0.0075977235,0.29975408,0.17418288,0.124027714,0.093023874,30,5.0,MAP,t-Distribution,Sequential RNN
73,-0.008182519,0.30000493,0.17575687,0.1261302,0.09204368,30,5.0,MAP,t-Distribution,Sequential RNN
74,0.0022091698,0.2850987,0.16026166,0.110399745,0.09247999,30,5.0,MAP,t-Distribution,Sequential RNN
75,-0.00046627855,0.28017285,0.15615861,0.10662534,0.09187045,30,5.0,MAP,t-Distribution,Sequential RNN
76,-0.02056678,0.29699767,0.17262156,0.12294376,0.09213852,30,5.0,MAP,t-Distribution,Sequential RNN
77,0.026029976,0.31342575,0.19020797,0.14099282,0.09128043,30,5.0,MAP,t-Distribution,Sequential RNN
78,0.031774364,0.28325835,0.15875895,0.10903189,0.09222987,30,5.0,MAP,t-Distribution,Sequential RNN
79,-0.00041592802,0.30463788,0.17985442,0.1300139,0.0924403,30,5.0,MAP,t-Distribution,Sequential RNN
80,0.05796022,0.25723678,0.13410185,0.08491979,0.09121905,30,5.0,MAP,t-Distribution,Sequential RNN
81,-0.03650404,0.3292837,0.20432696,0.15441723,0.09256867,30,5.0,MAP,t-Distribution,Sequential RNN
82,-0.0034229835,0.2686592,0.14552172,0.09633862,0.09122096,30,5.0,MAP,t-Distribution,Sequential RNN
83,-0.010187097,0.27112716,0.14669009,0.096987925,0.09218369,30,5.0,MAP,t-Distribution,Sequential RNN
84,-0.011689574,0.30333492,0.1775489,0.12730794,0.09318301,30,5.0,MAP,t-Distribution,Sequential RNN
85,0.031306345,0.28397298,0.1590932,0.10921421,0.092511654,30,5.0,MAP,t-Distribution,Sequential RNN
86,-0.0011710261,0.31964248,0.19300514,0.14242417,0.09381367,30,5.0,MAP,t-Distribution,Sequential RNN
87,0.009641924,0.30798265,0.18343501,0.13368869,0.09226561,30,5.0,MAP,t-Distribution,Sequential RNN
88,0.08108444,0.2853968,0.16175756,0.11237405,0.09159266,30,5.0,MAP,t-Distribution,Sequential RNN
89,0.0031557938,0.33205253,0.20566596,0.15518513,0.0936279,30,5.0,MAP,t-Distribution,Sequential RNN
90,0.0152134355,0.28713623,0.162925,0.11331306,0.092016384,30,5.0,MAP,t-Distribution,Sequential RNN
91,0.015581119,0.30476707,0.18054657,0.13093092,0.09202325,30,5.0,MAP,t-Distribution,Sequential RNN
92,0.08546516,0.27284127,0.14846139,0.09878207,0.09214133,30,5.0,MAP,t-Distribution,Sequential RNN
93,0.030100588,0.30523235,0.17874326,0.1282215,0.093703836,30,5.0,MAP,t-Distribution,Sequential RNN
94,0.009959739,0.34176552,0.21741623,0.16774914,0.09211866,30,5.0,MAP,t-Distribution,Sequential RNN
95,0.010712257,0.28575888,0.16125141,0.11152114,0.09223583,30,5.0,MAP,t-Distribution,Sequential RNN
96,0.0393931,0.33351442,0.20835082,0.15835848,0.0927219,30,5.0,MAP,t-Distribution,Sequential RNN
97,-0.012275172,0.2692816,0.14439024,0.09450664,0.09252022,30,5.0,MAP,t-Distribution,Sequential RNN
98,-0.025941504,0.33048704,0.2047287,0.15449882,0.09316249,30,5.0,MAP,t-Distribution,Sequential RNN
99,-0.050420597,0.31194985,0.18739745,0.13764922,0.09226912,30,5.0,MAP,t-Distribution,Sequential RNN
100,-0.071837515,0.2936632,0.17080797,0.12173763,0.09101185,30,5.0,MAP,t-Distribution,Sequential RNN
101,0.05734791,0.28042257,0.15350018,0.10280536,0.094024815,30,5.0,MAP,t-Distribution,Sequential RNN
102,0.028765548,0.3034644,0.17599446,0.12508091,0.09443048,30,5.0,MAP,t-Distribution,Sequential RNN
103,-0.045825534,0.32297042,0.19526045,0.14425105,0.09460826,30,5.0,MAP,t-Distribution,Sequential RNN
104,0.0034548512,0.28150296,0.15712988,0.107453294,0.09213628,30,5.0,MAP,t-Distribution,Sequential RNN
105,-0.0047252467,0.29958722,0.17402709,0.123876356,0.09301567,30,5.0,MAP,t-Distribution,Sequential RNN
106,0.009688643,0.3267873,0.19984645,0.14914423,0.09403851,30,5.0,MAP,t-Distribution,Sequential RNN
107,0.04213989,0.3085904,0.18217024,0.131676,0.09365278,30,5.0,MAP,t-Distribution,Sequential RNN
108,0.012381983,0.30420768,0.17775705,0.12725064,0.09367535,30,5.0,MAP,t-Distribution,Sequential RNN
109,0.021968579,0.28845274,0.16520464,0.115977384,0.09130289,30,5.0,MAP,t-Distribution,Sequential RNN
110,0.014231524,0.29346547,0.16908836,0.119410165,0.09213925,30,5.0,MAP,t-Distribution,Sequential RNN
111,0.10659864,0.29686415,0.17304793,0.12359375,0.09172376,30,5.0,MAP,t-Distribution,Sequential RNN
112,0.12638149,0.2837412,0.1581044,0.10792307,0.093072444,30,5.0,MAP,t-Distribution,Sequential RNN
113,0.122431785,0.25383663,0.12566413,0.07446999,0.094950914,30,5.0,MAP,t-Distribution,Sequential RNN
114,0.11958937,0.31356946,0.18319881,0.1311267,0.09657931,30,5.0,MAP,t-Distribution,Sequential RNN
115,0.26018474,0.18528266,0.05857351,0.007963848,0.093866855,30,5.0,MAP,t-Distribution,Sequential RNN
116,-0.050226025,0.28604254,0.15798984,0.10684354,0.09486217,30,5.0,MAP,t-Distribution,Sequential RNN
117,-0.13106461,0.49319303,0.35957444,0.30620503,0.09898541,30,5.0,MAP,t-Distribution,Sequential RNN
118,0.043699484,0.21934614,0.09242586,0.041731875,0.09402326,30,5.0,MAP,t-Distribution,Sequential RNN
119,-0.18212435,0.5246009,0.38934472,0.33532122,0.10019857,30,5.0,MAP,t-Distribution,Sequential RNN
120,0.19912216,0.23091316,0.10153177,0.04985477,0.095846474,30,5.0,MAP,t-Distribution,Sequential RNN
121,0.3565083,0.32646793,0.19383296,0.14085644,0.09825673,30,5.0,MAP,t-Distribution,Sequential RNN
122,0.46306902,0.32951173,0.18409087,0.12600744,0.107728615,30,5.0,MAP,t-Distribution,Sequential RNN
123,0.022225998,0.4261242,0.29575765,0.24368718,0.096576266,30,5.0,MAP,t-Distribution,Sequential RNN
124,0.37523243,0.21689558,0.08103354,0.026768075,0.10064737,30,5.0,MAP,t-Distribution,Sequential RNN
125,0.90584254,0.17539686,0.031246677,-0.026329214,0.10678728,30,5.0,MAP,t-Distribution,Sequential RNN
126,0.95459914,0.76972455,0.6138308,0.55156434,0.11548697,30,5.0,MAP,t-Distribution,Sequential RNN
127,-0.22733982,0.32224816,0.17832513,0.12083997,0.10661899,30,5.0,MAP,t-Distribution,Sequential RNN
128,-2.6918054,0.48772854,0.33605537,0.2754747,0.112360336,30,5.0,MAP,t-Distribution,Sequential RNN
129,0.8055598,0.27752993,0.1280886,0.068399325,0.11070701,30,5.0,MAP,t-Distribution,Sequential RNN
130,-0.50291777,0.3499723,0.219258,0.1670486,0.096833915,30,5.0,MAP,t-Distribution,Sequential RNN
131,-0.25045896,0.33069023,0.20171003,0.15019327,0.09554926,30,5.0,MAP,t-Distribution,Sequential RNN
132,-0.14930901,0.3459499,0.20685104,0.15129271,0.10304523,30,5.0,MAP,t-Distribution,Sequential RNN
133,0.014503888,0.34695953,0.2113715,0.15721546,0.100444384,30,5.0,MAP,t-Distribution,Sequential RNN
134,0.02217613,0.25697365,0.13129477,0.081096604,0.09310364,30,5.0,MAP,t-Distribution,Sequential RNN
135,-0.757176,0.60358113,0.45857435,0.40065634,0.10742184,30,5.0,MAP,t-Distribution,Sequential RNN
136,-0.073337376,0.3503869,0.21175131,0.15637803,0.10270202,30,5.0,MAP,t-Distribution,Sequential RNN
137,-0.074661076,0.42369092,0.28688183,0.2322381,0.10134895,30,5.0,MAP,t-Distribution,Sequential RNN
138,-0.01506323,0.26963082,0.13832012,0.085872516,0.09727572,30,5.0,MAP,t-Distribution,Sequential RNN
139,0.09445838,0.23277368,0.10098478,0.048346188,0.097629964,30,5.0,MAP,t-Distribution,Sequential RNN
140,-0.02450938,0.34229022,0.21518116,0.16441177,0.09416311,30,5.0,MAP,t-Distribution,Sequential RNN
141,-0.186319,0.27001023,0.14001735,0.088096105,0.09629948,30,5.0,MAP,t-Distribution,Sequential RNN
142,-0.097819805,0.5349244,0.39236593,0.3354258,0.10560811,30,5.0,MAP,t-Distribution,Sequential RNN
143,0.15192762,0.31575605,0.18821482,0.1372728,0.094483286,30,5.0,MAP,t-Distribution,Sequential RNN
144,-0.09112747,0.34276307,0.21133919,0.1588464,0.09735955,30,5.0,MAP,t-Distribution,Sequential RNN
145,0.0019980792,0.33232462,0.20284961,0.15113522,0.09591583,30,5.0,MAP,t-Distribution,Sequential RNN
146,-0.12525584,0.29219982,0.1607253,0.108212255,0.09739709,30,5.0,MAP,t-Distribution,Sequential RNN
147,0.09802312,0.43533194,0.29583126,0.24011248,0.10334288,30,5.0,MAP,t-Distribution,Sequential RNN
148,0.13738835,0.3119895,0.17001647,0.11331018,0.10517441,30,5.0,MAP,t-Distribution,Sequential RNN
149,-0.18685818,0.3702764,0.22701819,0.16979857,0.106126495,30,5.0,MAP,t-Distribution,Sequential RNN
150,-0.052843947,0.28346837,0.15374777,0.101935275,0.09609777,30,5.0,MAP,t-Distribution,Sequential RNN
151,0.08677687,0.2843206,0.15168141,0.098703206,0.09825985,30,5.0,MAP,t-Distribution,Sequential RNN
152,0.019157145,0.25755095,0.12662128,0.07432586,0.09699345,30,5.0,MAP,t-Distribution,Sequential RNN
