Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,Model
-0.11705426,-0.0058764094,-0.4485277,-0.019354323,-0.11938062,0.06641016,-0.021120142,0.017215576,0.15704657,0.025587423,-0.049405478,-0.2261789,0.6861281,0.25398022,-0.39216483,0.026610494,-0.17955145,-1.0768521,-0.029172428,-0.05361911,0.036867294,-0.0590265,0.14892885,-0.07685634,-0.004268993,-0.082837485,-0.054940213,-0.023304505,1.9245932,0.6961243,1,Sequential LSTM
-0.115260236,-0.005979992,-0.43122146,0.006954831,-0.118671656,-0.08879379,0.007012233,-0.085803874,0.25016618,0.26238525,0.12682897,0.0117315855,0.51222634,-0.122056074,-0.18442528,0.03841427,0.19094765,-0.47281808,-0.042071115,-0.30757213,0.07045241,-0.014868354,-0.05429094,-0.120012425,0.064785525,-0.52383554,-0.007073941,0.09224309,1.3054137,0.75519323,2,Sequential LSTM
-0.14123589,-0.013323385,-0.5888674,-0.059479028,-0.2052123,0.37926564,-0.022557735,0.03313638,0.5760041,-0.1371587,-0.030376885,-0.14275794,1.0082154,0.26071286,-0.21200123,0.007165779,-0.24666382,-0.4060518,0.00582459,0.21560499,0.04760857,0.013398019,0.09855761,-0.10469941,-0.07024384,-0.23801853,-0.10660564,-0.0016640883,0.3083507,0.7730734,3,Sequential LSTM
-0.11637724,-0.0158319,-0.62461793,-0.09043974,-0.23203343,0.24401447,-0.022501066,0.059384834,1.0911627,0.06268536,-0.3193827,-0.353125,1.0168412,0.14836466,-0.17076331,-0.00079320424,-0.4108187,0.08110606,-0.023007393,-0.051381074,-0.0027394951,0.00090276665,0.2675323,-0.04077063,-0.06617579,-0.711928,-0.10793441,0.047994867,0.51246893,0.8281632,4,Sequential LSTM
-0.12673363,-0.0111489715,-0.5504436,-0.0536711,-0.17795141,0.47173932,-0.018913569,0.036284346,0.61584306,0.0866365,-0.14857846,-0.16966699,0.86184365,0.21595089,-0.26449254,0.013723791,-0.31374216,-0.49210593,-0.036504544,0.01691483,-0.02806152,0.034254767,0.15031858,-0.0926998,-0.022079317,-0.24073532,-0.1259586,-0.009355149,0.5691927,0.8101404,5,Sequential LSTM
-0.13251121,-0.024304742,-0.6223043,-0.04065139,-0.17567384,0.20673722,-0.036999807,0.10594422,0.3325056,0.61310756,0.048394743,-0.2896314,0.7383728,0.35627663,-0.26526502,0.008192126,-0.12581328,-0.23635258,-0.029121546,-0.41589347,0.0020680244,-0.00075726793,0.28454357,-0.10936175,0.0648772,-0.18038696,-0.07231694,0.007841273,0.18006523,0.80841935,6,Sequential LSTM
-0.12956573,-0.0136390785,-0.60707927,-0.07074008,-0.2340035,0.1930653,-0.0243931,0.0281999,0.9536988,0.024248598,-0.23073287,-0.26242,1.0368474,0.25456303,-0.2785552,0.012349065,-0.2600891,-0.3140804,-0.039190467,0.010645951,-0.03586898,-0.015111066,0.19448246,-0.03857627,0.0050294353,-0.68792677,-0.06644871,0.06256106,0.7489573,0.7837725,7,Sequential LSTM
-0.062454022,-0.007244349,-0.3967278,-0.06600077,-0.16394086,0.2895088,-0.01576933,0.018788267,0.9842619,0.16460037,-0.15466917,-0.13776353,0.5583535,0.269671,-0.10411076,-0.0019456255,-0.29471922,0.92835474,-0.07804356,-0.09526228,-0.072137274,-0.010780574,0.10591041,-0.10056602,-0.00020267823,-0.6462392,-0.08180644,0.03380195,-0.60944575,0.7465783,8,Sequential LSTM
-0.08760647,-0.002292172,-0.3551921,-0.0319914,-0.14161544,-0.08849766,-0.013898655,-0.0050703194,0.5369574,-0.12299431,-0.1618271,-0.16538118,0.74777466,0.1795135,-0.081174634,0.0025905864,-0.27755937,0.86041826,-0.06119597,0.036145046,-0.082166746,-0.005796528,0.05038343,-0.081586696,-0.11240136,-0.42941654,-0.014879192,0.014294176,0.13910785,0.7553589,9,Sequential LSTM
-0.03170547,-0.042497896,-0.25160438,-0.10706082,-0.082739346,0.27544618,-0.0366556,0.19156395,1.1371529,0.08331489,-0.45411196,0.04140222,0.35120663,-0.06847405,-0.2575371,-0.03410918,-0.62841326,-1.0921842,-0.12569031,-0.03317543,-0.022336375,0.036477786,-0.08784512,0.061920453,-0.0074706036,-0.567217,-0.10892064,0.06603672,2.14695,0.6482765,10,Sequential LSTM
