Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,169.00505,21.72922,5.0,13,15,2.400625,Sequential RNN,147.27583,Yellow,15.662651
0.1,62.71122,15.070166,5.0,10,15,4.0231873e-7,Sequential RNN,47.641052,Red,25.301207
0.05,98.923935,15.791885,5.0,10,15,0.4130849,Sequential RNN,83.13205,Red,21.686749
0.01,52.183136,6.849882,5.0,54,15,0.31634063,Sequential LSTM,45.333252,Yellow,7.630522
0.1,22.502575,1.671215,5.0,13,15,0.08289922,Sequential LSTM,20.83136,Red,19.678715
0.05,28.66913,1.4279042,5.0,54,15,1.4692214,Sequential LSTM,27.241226,Red,13.654618
