Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
1,0.8893868,2.0109475,1.1705927,0.83494186,0.62253934,5,5.0,Sequential LSTM
2,-0.28239498,2.9340196,1.9033518,1.4916862,0.76352495,5,5.0,Sequential LSTM
3,0.1442123,2.1781645,1.269533,0.9066117,0.6731191,5,5.0,Sequential LSTM
4,1.2344882,2.5873737,1.6374246,1.2580006,0.70372725,5,5.0,Sequential LSTM
5,0.65800774,2.1036437,1.2986919,0.9771814,0.5963127,5,5.0,Sequential LSTM
6,-0.42830408,2.3614254,1.4951494,1.1491444,0.64174294,5,5.0,Sequential LSTM
7,0.22479023,2.8634455,1.826276,1.4120144,0.76834035,5,5.0,Sequential LSTM
8,-0.84433335,2.5284884,1.6159194,1.251425,0.6760361,5,5.0,Sequential LSTM
9,0.61682,3.3601992,2.1660426,1.6890771,0.8846382,5,5.0,Sequential LSTM
10,-0.8796029,2.7718077,1.7023298,1.2751629,0.7922755,5,5.0,Sequential LSTM
11,0.1374205,2.1525247,1.2809373,0.93281084,0.64567685,5,5.0,Sequential LSTM
12,0.37760842,2.5858707,1.6684552,1.3020248,0.6796265,5,5.0,Sequential LSTM
13,-0.37067875,3.0255084,1.9444664,1.5126811,0.80084175,5,5.0,Sequential LSTM
14,0.21671715,3.0076885,1.7412201,1.2353727,0.9382073,5,5.0,Sequential LSTM
15,0.037909392,3.1899283,2.036992,1.5764916,0.8541014,5,5.0,Sequential LSTM
16,0.69136393,2.8180096,1.6856846,1.2334158,0.83883286,5,5.0,Sequential LSTM
17,0.65886396,2.4849222,1.5726243,1.2082381,0.6758352,5,5.0,Sequential LSTM
18,0.424969,3.0527184,2.0135539,1.5984955,0.76981837,5,5.0,Sequential LSTM
19,-0.32312825,2.825494,1.7652647,1.3417916,0.7854246,5,5.0,Sequential LSTM
20,1.2373222,2.398757,1.376339,0.9679694,0.75741285,5,5.0,Sequential LSTM
21,-0.16848168,2.3122504,1.2458537,0.81991774,0.78999275,5,5.0,Sequential LSTM
22,1.6984224,2.5464602,1.5907524,1.2090276,0.70799357,5,5.0,Sequential LSTM
23,0.32531464,1.9150983,1.0779507,0.7435807,0.6201636,5,5.0,Sequential LSTM
24,-0.41324988,2.174055,1.2736671,0.9140391,0.66701186,5,5.0,Sequential LSTM
25,-0.22736119,2.1461074,1.2347931,0.87079954,0.6751069,5,5.0,Sequential LSTM
26,0.711005,2.3915234,1.4868944,1.1255718,0.6701542,5,5.0,Sequential LSTM
27,-0.34827623,2.2677584,1.2978772,0.9104911,0.7184933,5,5.0,Sequential LSTM
28,0.24623652,2.8182123,1.683229,1.2298986,0.84080184,5,5.0,Sequential LSTM
29,0.44854692,2.4997365,1.5689658,1.1972007,0.6895205,5,5.0,Sequential LSTM
30,-0.32463655,2.3890524,1.4179912,1.0301341,0.71936697,5,5.0,Sequential LSTM
31,-0.52918375,2.1703415,1.3120582,0.9692459,0.6358211,5,5.0,Sequential LSTM
32,1.145332,2.799435,1.6984509,1.2587,0.8156152,5,5.0,Sequential LSTM
33,0.09168417,2.5214615,1.6064914,1.2410375,0.6778151,5,5.0,Sequential LSTM
34,0.95944643,2.5508804,1.5985689,1.2182008,0.7054773,5,5.0,Sequential LSTM
35,0.11262476,2.5007713,1.621552,1.2703774,0.65133065,5,5.0,Sequential LSTM
36,0.58649105,2.6697714,1.5652747,1.1241204,0.81821775,5,5.0,Sequential LSTM
37,0.9257637,2.089581,1.1866161,0.8259575,0.6689211,5,5.0,Sequential LSTM
38,0.6349882,2.528544,1.6314805,1.2731785,0.6645502,5,5.0,Sequential LSTM
39,-0.12348646,2.4658751,1.5847632,1.2328327,0.6527329,5,5.0,Sequential LSTM
40,0.5787494,2.0429244,1.2131567,0.88173425,0.61469686,5,5.0,Sequential LSTM
41,-0.5235362,3.261875,2.1107097,1.6509153,0.8527903,5,5.0,Sequential LSTM
42,0.630736,2.1229424,1.2563647,0.9102397,0.6419655,5,5.0,Sequential LSTM
43,-0.4144742,2.4649312,1.5768596,1.2221502,0.6578884,5,5.0,Sequential LSTM
44,-0.74670005,2.902603,1.815432,1.3811996,0.8053817,5,5.0,Sequential LSTM
45,0.6750121,2.553635,1.5983413,1.2167821,0.70768654,5,5.0,Sequential LSTM
46,0.9290366,2.2801116,1.2626172,0.8562138,0.7537657,5,5.0,Sequential LSTM
47,-0.7874804,2.409351,1.5198311,1.1645428,0.65896136,5,5.0,Sequential LSTM
48,-0.8334761,2.5146213,1.6330268,1.2809043,0.6530903,5,5.0,Sequential LSTM
49,0.28016296,3.2779124,2.1090927,1.6422479,0.865868,5,5.0,Sequential LSTM
50,-0.2978018,2.8905714,1.8476038,1.4310255,0.77263623,5,5.0,Sequential LSTM
51,0.9402473,2.6736262,1.630447,1.2137841,0.77279305,5,5.0,Sequential LSTM
52,-0.23568608,2.1248052,1.2817931,0.9450806,0.62450844,5,5.0,Sequential LSTM
53,-0.32347775,3.0775433,2.0278466,1.6085814,0.7776212,5,5.0,Sequential LSTM
54,-1.290906,2.239578,1.3315222,0.968831,0.6726922,5,5.0,Sequential LSTM
55,0.88594246,3.0344367,1.9192796,1.4738679,0.82611513,5,5.0,Sequential LSTM
56,1.2699932,3.0882256,1.9855247,1.5450882,0.81688714,5,5.0,Sequential LSTM
57,0.5283306,2.9764533,1.917831,1.4949994,0.7842342,5,5.0,Sequential LSTM
58,0.32698876,2.7858024,1.6951619,1.2595428,0.8079524,5,5.0,Sequential LSTM
59,0.31235725,2.3047402,1.4427354,1.0984364,0.6385784,5,5.0,Sequential LSTM
60,-0.07274141,2.3686903,1.3687979,0.9694246,0.740726,5,5.0,Sequential LSTM
61,0.29056525,2.4213471,1.4946811,1.1245557,0.6864795,5,5.0,Sequential LSTM
62,-1.0954001,2.5702813,1.6319375,1.2571483,0.6951304,5,5.0,Sequential LSTM
63,-0.31373852,2.107079,1.2090218,0.8503227,0.6652863,5,5.0,Sequential LSTM
64,2.7912126,2.0577612,1.1056492,0.7253609,0.7053294,5,5.0,Sequential LSTM
65,-0.0634721,1.5728253,0.7906947,0.4782994,0.57940656,5,5.0,Sequential LSTM
66,-0.008437905,1.699675,0.91149294,0.59668034,0.58388984,5,5.0,Sequential LSTM
67,-0.9352036,1.7712439,0.99691176,0.68763113,0.5736296,5,5.0,Sequential LSTM
68,0.11382877,2.6998053,1.6971328,1.296649,0.7427858,5,5.0,Sequential LSTM
69,0.050822746,2.1560671,1.323832,0.99142325,0.6165248,5,5.0,Sequential LSTM
70,-0.31214583,1.996321,1.1717806,0.8424461,0.61082417,5,5.0,Sequential LSTM
71,-0.11500203,2.689116,1.6776416,1.2736433,0.74930555,5,5.0,Sequential LSTM
72,-0.26825473,2.30519,1.448797,1.1067394,0.6344213,5,5.0,Sequential LSTM
73,0.3781609,2.759736,1.6802621,1.2491031,0.7996804,5,5.0,Sequential LSTM
74,-0.27800292,2.1126401,1.1918489,0.8240698,0.68212754,5,5.0,Sequential LSTM
75,0.86527276,2.5793138,1.6230593,1.2411151,0.70839936,5,5.0,Sequential LSTM
76,0.6034157,2.6126523,1.6616805,1.2818465,0.70448524,5,5.0,Sequential LSTM
77,0.12982793,2.2680302,1.2105646,0.7881958,0.78337646,5,5.0,Sequential LSTM
78,-1.3266743,2.868795,1.8454,1.43664,0.7581365,5,5.0,Sequential LSTM
79,1.2230183,2.852769,1.8029827,1.3836815,0.77768767,5,5.0,Sequential LSTM
80,-1.5880554,2.8452032,1.8351022,1.4316521,0.7482886,5,5.0,Sequential LSTM
81,1.0847082,2.739454,1.6995372,1.2841773,0.77037656,5,5.0,Sequential LSTM
82,-0.47479886,2.4864967,1.4814513,1.0800204,0.74454325,5,5.0,Sequential LSTM
83,0.07281945,2.4132297,1.4553834,1.0728047,0.70957774,5,5.0,Sequential LSTM
84,0.114249945,2.3632112,1.4787512,1.1254838,0.6552133,5,5.0,Sequential LSTM
85,-0.46323365,2.2426445,1.3543386,0.9995353,0.65806174,5,5.0,Sequential LSTM
86,-0.10474737,2.7448437,1.7882702,1.4061992,0.7086353,5,5.0,Sequential LSTM
87,0.22823483,2.1145036,1.2468617,0.90031123,0.6427547,5,5.0,Sequential LSTM
88,0.07110065,2.5422695,1.5174148,1.1080719,0.75921774,5,5.0,Sequential LSTM
89,-0.728598,3.0845556,1.9735838,1.529844,0.8230146,5,5.0,Sequential LSTM
90,-1.8546106,2.5631766,1.5205758,1.104144,0.7723648,5,5.0,Sequential LSTM
91,0.66518027,3.2763608,2.1451778,1.6933653,0.83798647,5,5.0,Sequential LSTM
92,-0.7195195,2.19092,1.3573959,1.0244731,0.6174797,5,5.0,Sequential LSTM
93,0.65702254,3.5414093,2.0946205,1.5167488,1.07179,5,5.0,Sequential LSTM
94,0.69724655,3.180601,1.9106709,1.4034406,0.94077116,5,5.0,Sequential LSTM
95,-1.7636566,2.29681,1.41295,1.0599222,0.6547685,5,5.0,Sequential LSTM
96,0.005138766,3.3815432,2.1004498,1.5887611,0.94904107,5,5.0,Sequential LSTM
97,-0.115348816,3.237465,2.0364823,1.5567905,0.8896954,5,5.0,Sequential LSTM
98,0.30259198,3.1765347,2.0178828,1.5550988,0.85833573,5,5.0,Sequential LSTM
99,0.7710197,2.058936,1.1254039,0.7525357,0.6915663,5,5.0,Sequential LSTM
100,3.182296,1.960728,1.1037378,0.7614421,0.63486314,5,5.0,Sequential LSTM
101,0.29935178,3.0305068,1.9119076,1.465121,0.82866514,5,5.0,Sequential LSTM
102,-0.51907897,3.128688,1.9194353,1.4364394,0.89582163,5,5.0,Sequential LSTM
103,-0.14364152,2.7809765,1.7386792,1.3223693,0.7721397,5,5.0,Sequential LSTM
104,0.10230231,2.405926,1.3491989,0.92712516,0.7828291,5,5.0,Sequential LSTM
105,-0.7237003,2.1696227,1.2296395,0.85419524,0.69634527,5,5.0,Sequential LSTM
106,-0.2883421,2.6446142,1.6766299,1.2900014,0.7170884,5,5.0,Sequential LSTM
107,-2.340748,2.4440622,1.5420412,1.1817596,0.6682224,5,5.0,Sequential LSTM
108,-0.1606886,3.057968,1.8959812,1.4318658,0.86080545,5,5.0,Sequential LSTM
109,-0.42836466,2.5524704,1.5385092,1.1335163,0.7511482,5,5.0,Sequential LSTM
110,0.31562918,3.3736913,2.0674682,1.5457424,0.9676576,5,5.0,Sequential LSTM
111,-2.0897949,2.7668686,1.7504735,1.3445091,0.7529512,5,5.0,Sequential LSTM
112,-3.337069,3.0709207,1.8554057,1.3699102,0.90045965,5,5.0,Sequential LSTM
113,1.2056816,2.5462573,1.6463754,1.2869482,0.6666379,5,5.0,Sequential LSTM
114,-3.3090656,3.649386,2.2797844,1.7327447,1.0146083,5,5.0,Sequential LSTM
115,-2.1617205,3.9092808,2.5307512,1.9801444,1.0212231,5,5.0,Sequential LSTM
116,1.2167101,3.8627584,2.5121274,1.972664,1.0005548,5,5.0,Sequential LSTM
117,-0.4529606,2.6776736,1.5280876,1.0689247,0.8516199,5,5.0,Sequential LSTM
118,0.5836781,1.8492556,0.9983657,0.6585066,0.6303443,5,5.0,Sequential LSTM
119,3.0824401,1.3621756,0.6349071,0.34442452,0.5387646,5,5.0,Sequential LSTM
120,-1.2422113,3.5506988,2.339871,1.856247,0.8969887,5,5.0,Sequential LSTM
121,-2.3120413,3.659027,2.0829666,1.4534621,1.167555,5,5.0,Sequential LSTM
122,-9.964453,3.2628982,1.579648,0.90733075,1.2469616,5,5.0,Sequential LSTM
123,0.04779986,4.030681,2.6859787,2.1488836,0.9961628,5,5.0,Sequential LSTM
124,-6.102458,3.8986425,2.432152,1.8464125,1.0863848,5,5.0,Sequential LSTM
125,-10.159345,2.275717,1.0430474,0.55069995,0.91316825,5,5.0,Sequential LSTM
126,-9.095512,5.0238986,3.37146,2.7114496,1.2241367,5,5.0,Sequential LSTM
127,4.1654844,6.5563564,4.6711617,3.9181848,1.3965639,5,5.0,Sequential LSTM
128,-2.9021735,2.2819705,0.9505665,0.4187825,0.9863118,5,5.0,Sequential LSTM
129,3.5132515,3.5852337,2.0977707,1.503654,1.101921,5,5.0,Sequential LSTM
130,-9.037803,2.825384,1.087862,0.39386773,1.287166,5,5.0,Sequential LSTM
131,-2.0000248,1.274681,0.53170574,0.23494945,0.55040044,5,5.0,Sequential LSTM
132,5.3176665,4.196187,2.9250038,2.4172728,0.9416999,5,5.0,Sequential LSTM
133,7.5554256,1.4135994,0.26160872,-0.19851488,0.85340124,5,5.0,Sequential LSTM
134,-9.144345,1.1094501,0.07355466,-0.34019855,0.76739717,5,5.0,Sequential LSTM
135,7.5047016,3.121231,1.6873841,1.1146824,1.0622021,5,5.0,Sequential LSTM
136,1.1016341,3.0202835,2.0659018,1.6847059,0.7070118,5,5.0,Sequential LSTM
137,-1.6698493,2.1432383,1.2179155,0.8483265,0.6854841,5,5.0,Sequential LSTM
138,-4.7568884,2.2460668,1.4345632,1.1104363,0.601166,5,5.0,Sequential LSTM
139,-3.1550245,3.6864643,2.5270002,2.0638914,0.858938,5,5.0,Sequential LSTM
140,-0.054123722,1.5818535,0.8262937,0.52451086,0.55972314,5,5.0,Sequential LSTM
141,2.9733248,3.0912066,1.8391718,1.3390888,0.9275154,5,5.0,Sequential LSTM
142,3.8871417,2.0373294,1.0059227,0.5939624,0.7640718,5,5.0,Sequential LSTM
143,-3.8860354,2.528716,1.3123456,0.8265078,0.9010941,5,5.0,Sequential LSTM
144,-0.6577051,2.4803252,1.300811,0.8296939,0.8737911,5,5.0,Sequential LSTM
145,0.5618526,2.0931227,1.1088775,0.7157541,0.7291344,5,5.0,Sequential LSTM
146,2.748463,2.9014175,1.9466579,1.5653114,0.70729154,5,5.0,Sequential LSTM
147,-1.2668562,2.68966,1.5544215,1.1009898,0.8409904,5,5.0,Sequential LSTM
148,-1.2983677,2.4414332,1.0516742,0.4965827,1.0295411,5,5.0,Sequential LSTM
149,3.6713963,2.9624908,1.8931494,1.4660372,0.7921746,5,5.0,Sequential LSTM
150,-0.43203744,2.862754,1.6319879,1.1404003,0.9117585,5,5.0,Sequential LSTM
151,-0.87508994,3.8295205,2.35773,1.7698729,1.0903105,5,5.0,Sequential LSTM
152,-0.094591,2.9032972,1.2484802,0.5875199,1.2258978,5,5.0,Sequential LSTM
153,1.7492151,4.6268926,3.0110292,2.3656278,1.1970404,5,5.0,Sequential LSTM
154,-1.6384599,3.0938969,2.0105762,1.5778803,0.80253065,5,5.0,Sequential LSTM
155,1.8871827,4.2879863,2.594646,1.9182991,1.2544355,5,5.0,Sequential LSTM
156,1.1081506,3.033506,1.68947,1.1526407,0.9956695,5,5.0,Sequential LSTM
157,-0.44128352,3.982471,2.484898,1.8867431,1.1094114,5,5.0,Sequential LSTM
158,-1.8954582,3.330068,1.9650354,1.4198196,1.0112238,5,5.0,Sequential LSTM
159,0.19048566,3.8037481,2.5678184,2.074169,0.91558325,5,5.0,Sequential LSTM
160,-3.4979084,3.6307178,2.2350245,1.6775638,1.0339367,5,5.0,Sequential LSTM
161,-0.33577916,3.5245452,2.3252404,1.846218,0.888452,5,5.0,Sequential LSTM
162,0.3497478,2.0500686,1.081266,0.69431055,0.7176945,5,5.0,Sequential LSTM
163,0.32433236,3.1385696,2.0944211,1.677372,0.77351004,5,5.0,Sequential LSTM
164,1.7770038,3.1402335,2.0454748,1.6082109,0.81100345,5,5.0,Sequential LSTM
165,-0.7795566,3.2951794,1.9360577,1.3932023,1.0068458,5,5.0,Sequential LSTM
166,1.4010112,3.7290685,2.3505518,1.7999504,1.0212123,5,5.0,Sequential LSTM
167,-0.8028712,2.66128,1.6920322,1.3048993,0.71802413,5,5.0,Sequential LSTM
168,-2.1135323,3.537821,2.2846594,1.7841266,0.92834944,5,5.0,Sequential LSTM
169,-0.43831578,3.6075351,2.4410732,1.9751694,0.86412185,5,5.0,Sequential LSTM
170,0.705543,2.2339387,1.3106903,0.9419297,0.6839479,5,5.0,Sequential LSTM
171,-1.8434191,4.2327027,2.6432831,2.0084426,1.1774516,5,5.0,Sequential LSTM
172,1.4574054,2.8012128,1.7109531,1.2754856,0.80767083,5,5.0,Sequential LSTM
