N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
2,2.929067,0.4209413,1.9395434,Sequential RNN,0.1240662,5.0,1.4392656
2,2.913794,0.42444968,1.9379103,Sequential LSTM,0.007419775,5.0,1.4495639
