Asset_1_Weight,Asset_2_Weight,Day,Model
0.7260206,0.27397954,140,Sequential RNN
1.2331523,-0.23315218,141,Sequential RNN
2.3682575,-1.3682578,142,Sequential RNN
1.3617988,-0.361799,143,Sequential RNN
0.8034552,0.19654499,144,Sequential RNN
1.0916322,-0.09163206,145,Sequential RNN
0.9679203,0.03207969,146,Sequential RNN
1.19071,-0.19070968,147,Sequential RNN
1.5891109,-0.5891109,148,Sequential RNN
1.4173212,-0.41732097,149,Sequential RNN
1.3735541,-0.37355462,150,Sequential RNN
1.1670434,-0.16704376,151,Sequential RNN
1.757896,-0.75789607,152,Sequential RNN
1.3547966,-0.3547964,153,Sequential RNN
1.2002301,-0.20022993,154,Sequential RNN
0.71625155,0.28374833,155,Sequential RNN
1.02206,-0.022059763,156,Sequential RNN
0.76880616,0.23119403,157,Sequential RNN
1.0763513,-0.07635095,158,Sequential RNN
0.8623527,0.13764735,159,Sequential RNN
1.5615768,-0.5615769,160,Sequential RNN
1.3978758,-0.39787632,161,Sequential RNN
1.4429848,-0.44298473,162,Sequential RNN
1.4621735,-0.46217322,163,Sequential RNN
0.972762,0.027238017,164,Sequential RNN
1.4902174,-0.4902176,165,Sequential RNN
1.4498181,-0.4498179,166,Sequential RNN
1.2588817,-0.2588816,167,Sequential RNN
1.1222973,-0.12229716,168,Sequential RNN
0.84062505,0.15937498,169,Sequential RNN
1.0905316,-0.09053136,170,Sequential RNN
2.2869952,-1.2869954,171,Sequential RNN
1.3247491,-0.32474926,172,Sequential RNN
1.384363,-0.38436282,173,Sequential RNN
0.75480705,0.24519281,174,Sequential RNN
0.8901689,0.10983097,175,Sequential RNN
2.4640415,-1.4640415,176,Sequential RNN
0.988226,0.011774036,177,Sequential RNN
0.9519558,0.04804412,178,Sequential RNN
1.0551484,-0.05514828,179,Sequential RNN
1.4404579,-0.4404578,180,Sequential RNN
1.5191716,-0.5191715,181,Sequential RNN
1.6777905,-0.67779046,182,Sequential RNN
1.3861411,-0.38614133,183,Sequential RNN
1.3845532,-0.38455346,184,Sequential RNN
0.8540099,0.14598987,185,Sequential RNN
1.0241836,-0.024183625,186,Sequential RNN
0.9041633,0.09583677,187,Sequential RNN
2.120795,-1.120795,188,Sequential RNN
1.1910043,-0.19100429,189,Sequential RNN
1.5639834,-0.56398344,190,Sequential RNN
1.4600176,-0.46001738,191,Sequential RNN
1.4330937,-0.4330932,192,Sequential RNN
1.4417992,-0.441799,193,Sequential RNN
1.3048768,-0.30487663,194,Sequential RNN
1.2646873,-0.26468742,195,Sequential RNN
1.2897333,-0.2897335,196,Sequential RNN
1.699835,-0.69983506,197,Sequential RNN
1.1888764,-0.18887655,198,Sequential RNN
0.9177341,0.08226568,199,Sequential RNN
0.98617387,0.013826201,200,Sequential RNN
1.0028237,-0.0028235517,201,Sequential RNN
1.4904888,-0.49048862,202,Sequential RNN
1.3538578,-0.35385785,203,Sequential RNN
1.388873,-0.38887286,204,Sequential RNN
1.4327562,-0.43275642,205,Sequential RNN
1.0396136,-0.039613605,206,Sequential RNN
1.132689,-0.13268922,207,Sequential RNN
