N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
30,2.245661,0.4091816,1.4677818,Sequential RNN,0.13966319,5.0,1.1745629
30,2.24399,0.5075406,1.6511548,Sequential LSTM,0.021960417,5.0,1.390656
