N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
5,2.3586442,0.35886198,1.6797725,Sequential RNN,0.16102643,5.0,1.2126957
5,2.3431926,0.6187146,1.6817328,Sequential LSTM,0.061717115,5.0,1.2072041
