Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,2251.7134,NaN,5.0,1,2,9.2103405,Sequential RNN,2251.7134,Red,99.196785
0.1,957.5926,0.0011624708,5.0,1,2,4.6051702,Sequential RNN,957.59143,Red,93.574295
0.05,1386.8496,NaN,5.0,1,2,5.9914646,Sequential RNN,1386.8496,Red,97.18875
0.01,2251.7134,NaN,5.0,1,2,9.2103405,Sequential LSTM,2251.7134,Red,99.196785
0.1,901.2526,0.001435008,5.0,1,2,4.6051702,Sequential LSTM,901.25116,Red,91.16466
0.05,1349.796,0.70033544,5.0,1,2,5.9914646,Sequential LSTM,1349.0957,Red,95.98393
