Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,Model
0.09417794,-0.24475,-0.6217595,-1.0128046,0.30090567,-0.3507875,-1.0199842,4.084218,-1.1859308,0.9567148,1,Sequential RNN
-0.1636847,0.04671006,-0.30033055,1.0618426,0.22378156,0.54346293,0.16038021,-1.278673,-0.39024514,1.0967562,2,Sequential RNN
0.11397369,-0.16121586,-0.83562034,-0.16283576,0.23503456,0.4635203,0.15384252,0.30222052,-0.98854685,1.8796272,3,Sequential RNN
0.0511371,-0.3127862,-0.6014123,-0.3927396,0.3583031,0.29028332,-0.44684187,1.9005382,-1.0794015,1.2329197,4,Sequential RNN
-0.0038314965,-0.23226938,-0.6671557,-0.27184853,0.23140965,-0.065754175,-0.29922876,1.5873632,-0.9223575,1.6436726,5,Sequential RNN
0.10566094,-0.23125689,-0.65927935,-0.48677596,0.29249254,-0.16671668,-0.22215262,1.1522326,0.60146743,0.6143279,6,Sequential RNN
0.1190771,-0.07398923,-0.5842709,-0.15898982,0.21558528,0.43619415,0.17397298,-0.22093073,-0.14875518,1.2421063,7,Sequential RNN
0.08688671,-0.2108766,-0.7212836,-0.3204554,0.25824127,0.09586873,-0.1643657,0.95174396,-0.18576719,1.2100079,8,Sequential RNN
0.041581813,-0.13925205,-0.34737447,0.050237738,0.20062387,0.84747547,0.26649636,-0.49599117,-0.12861906,0.7048215,9,Sequential RNN
-0.09994916,-0.31912264,-0.38702965,-0.192213,0.34441546,1.3891587,0.013968741,0.84547454,-0.87175024,0.27704716,10,Sequential RNN
0.010082549,-0.29261154,-0.61735725,-0.5585123,0.3188875,0.76462734,-0.017399361,1.4622031,-1.469533,1.3996129,11,Sequential RNN
0.15678644,-0.31263563,-0.71965843,-0.6174891,0.11762043,-0.4478438,-0.3824009,2.0132532,-0.41750404,1.6098719,12,Sequential RNN
-0.060518667,-0.1896655,-0.6774117,-0.08151199,0.35544592,0.5255355,-0.16864775,1.0885911,-1.1578863,1.3660693,13,Sequential RNN
-0.072796054,0.054962344,-0.24094683,0.08181765,0.32833257,1.1927806,0.18046305,-0.2548514,-0.8471146,0.57735264,14,Sequential RNN
0.11402017,-0.20738925,-0.7156358,-0.14236155,0.16020451,0.36063185,0.1027405,0.039784096,-0.16394535,1.4519508,15,Sequential RNN
0.11705253,-0.27896336,-0.53545487,-0.092501976,0.107556604,-0.2706823,0.17997298,0.09925011,0.4043764,1.2693939,16,Sequential RNN
-0.11137768,-0.346283,-0.513527,-0.2273969,0.12045869,-0.29810375,-0.37469807,1.7877152,-0.6637991,1.6270115,17,Sequential RNN
-0.032198302,-0.080325454,-0.3214357,0.41889513,0.0855459,0.49004462,-0.11587784,0.2185079,-0.92314625,1.25999,18,Sequential RNN
