N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
10,2.1434915,0.36442453,1.4873587,Sequential RNN,0.19903174,5.0,1.1133337
10,2.109909,0.42106488,1.5023974,Sequential LSTM,0.011333116,5.0,1.1358249
