Metric,Value,N_Assets
Training_Days,3210,5
Testing_Days,1070,5
Successful_Forecasts,1063,5
Success_Rate,0.9934579439252337,5
Forecast_RMSE,0.011442748094620852,5
Computation_Time,34.1519570350647,5
Mean_Daily_Return,0.00014201438252283157,5
Daily_Volatility,0.009403938352570057,5
Annualized_Return,0.03578762439575355,5
Annualized_Volatility,0.1492828933528969,5
Min_Return,-0.05682001354623835,5
Max_Return,0.0428752092308599,5
VaR_1_PF,0.017873941,5
VaR_1_TUFF,80,5
VaR_1_LRUC,5.395569,5
VaR_1_LRIND,0.8855962,5
VaR_1_LRCC,6.281165,5
VaR_1_BASEL,-1,5
VaR_10_PF,0.0837253,5
VaR_10_TUFF,46,5
VaR_10_LRUC,3.2929688,5
VaR_10_LRIND,9.277319,5
VaR_10_LRCC,12.570288,5
VaR_10_BASEL,-1,5
VaR_5_PF,0.04797742,5
VaR_5_TUFF,78,5
VaR_5_LRUC,0.09274292,5
VaR_5_LRIND,15.57515,5
VaR_5_LRCC,15.667892,5
VaR_5_BASEL,-1,5
