Day,Actual_Returns,N_Assets,VaR_1_percent,Violation_1_percent,VaR_5_percent,Violation_5_percent,VaR_10_percent,Violation_10_percent
1,0.009945540057116032,2,-0.02552776290812653,false,-0.017967797914771853,false,-0.013937608550767788,false
2,-0.002537426301722265,2,-0.02663330511658446,false,-0.018752000006996047,false,-0.01455050541607474,false
3,-0.0048485764058331295,2,-0.026375873226885612,false,-0.018570219199681926,false,-0.014409053920850068,false
4,-0.001846854596081398,2,-0.02618993240210491,false,-0.01844292627301904,false,-0.01431302597166041,false
5,0.00010626685315448699,2,-0.026252464346361328,false,-0.018490012018041044,false,-0.014351877405025741,false
6,0.008239831704924316,2,-0.026093522841159063,false,-0.01838141296563746,false,-0.014270115727928188,false
7,0.0014868581705542244,2,-0.02614593068112368,false,-0.018414281701330915,false,-0.014292568239434759,false
8,0.005952205810942425,2,-0.025889342469786334,false,-0.01823494831069198,false,-0.014154419107846027,false
9,0.010740500075433559,2,-0.025774269444165845,false,-0.01815557806536855,false,-0.01409408188258883,false
10,0.00019413783518618805,2,-0.02582381420576048,false,-0.018187493366621413,false,-0.01411659898376736,false
11,-0.002273474368813851,2,-0.025567540459706075,false,-0.018006168164402724,false,-0.013975228572937226,false
12,0.0038555325837154072,2,-0.025522456550367417,false,-0.01797372614205579,false,-0.013949525893767115,false
13,0.0031680550486853157,2,-0.025337342062357347,false,-0.017845121850102872,false,-0.01385104697822897,false
14,-0.005972901587615249,2,-0.025160419825357536,false,-0.01772102989102432,false,-0.013755118644823656,false
15,-0.0092351676564466,2,-0.025042619889962585,false,-0.01763797180841851,false,-0.013690581315385317,false
16,-0.004046774224151418,2,-0.025276576802921814,false,-0.01780656774602055,false,-0.013824333558878047,false
17,-0.00239692937035398,2,-0.025085549319133756,false,-0.017673790972883737,false,-0.013722610024045739,false
18,-0.005492031975692377,2,-0.025039431614737984,false,-0.01764047613357706,false,-0.013696120344743934,false
19,-0.0045328913876775505,2,-0.025062292151547066,false,-0.017654371482137436,false,-0.01370523638462259,false
20,8.68579914351875e-5,2,-0.024884340136680415,false,-0.017527422999416738,false,-0.013605477696161779,false
21,-0.005592536121287603,2,-0.024827875945965538,false,-0.017487972442731214,false,-0.013575097044822166,false
22,0.0015984002168588566,2,-0.024756720477663825,false,-0.017440508115718373,false,-0.013540262377566677,false
23,0.0038017010097798312,2,-0.024588130628396154,false,-0.017319524343319796,false,-0.013444657228591412,false
24,-0.006751031142958731,2,-0.02439174307723139,false,-0.017179503667193244,false,-0.013334685524974764,false
25,0.0032911866341255825,2,-0.0243830451483356,false,-0.01717190657150659,false,-0.013327675279398514,false
26,-0.0015402508854171154,2,-0.02427686210309605,false,-0.0171032902914362,false,-0.013279085702832424,false
27,0.014172421070433257,2,-0.024633773441809777,false,-0.017359069373390372,false,-0.013480951552925287,false
28,-0.0010436819494009583,2,-0.025386699319958544,false,-0.01788921811345943,false,-0.013892338625020843,false
29,-0.0039003929329025034,2,-0.02542525087263404,false,-0.017916174047751438,false,-0.013913112978059595,false
30,-0.0027720105400546465,2,-0.025263332206290724,false,-0.017803963509107474,false,-0.013827401658358388,false
31,-0.014800461252845107,2,-0.025017632386476783,false,-0.017628554068637337,false,-0.01368946375902266,true
32,-0.00905458955336823,2,-0.025650034690135555,false,-0.01808051388459794,false,-0.014045230352478288,false
33,0.010913663288917326,2,-0.025720813269721993,false,-0.01813111782440078,false,-0.014085079266464217,false
34,0.0007554363408743704,2,-0.026094893114075913,false,-0.018389171437635885,false,-0.014281279725218907,false
