Day,MVP_Volatility,N_Assets
1,0.011093219092667193,2
2,0.011564741952333523,2
3,0.011453734291288946,2
4,0.011367676487619584,2
5,0.011390341681493759,2
6,0.01131647098777376,2
7,0.011345141962407237,2
8,0.011231781033788453,2
9,0.011179392065797097,2
10,0.011205260898024313,2
11,0.011095284116626943,2
12,0.011076733869070612,2
13,0.010993812852057623,2
14,0.010916291613768536,2
15,0.010865312676033512,2
16,0.010961221006347888,2
17,0.010875746021195726,2
18,0.010856959560203903,2
19,0.010870114753056959,2
20,0.010795274015422287,2
21,0.010770308824443764,2
22,0.010735545300921651,2
23,0.010665689866231754,2
24,0.010582979153296243,2
25,0.010581363830476077,2
26,0.010526239718527066,2
27,0.01067463753287618,2
28,0.011001532644656175,2
29,0.01101854763551342,2
30,0.010945607727492696,2
31,0.010842466168126627,2
32,0.011107240945711075,2
33,0.011136844482160227,2
34,0.011307097175582592,2
35,0.011229548631518167,2
36,0.01111009824774452,2
37,0.011093232238354627,2
38,0.010993527954519494,2
39,0.010897475219045289,2
40,0.010782643252590682,2
41,0.010688770916195954,2
42,0.010676800779212865,2
43,0.010859606299141181,2
44,0.010772897251316532,2
45,0.0107030075556089,2
46,0.010589434802786474,2
47,0.010621396285848315,2
48,0.010727949330236585,2
49,0.010613075545908299,2
50,0.010541639469568561,2
51,0.010498541369159571,2
52,0.01046758518806587,2
53,0.010458108075613974,2
54,0.010390316676848298,2
55,0.010525687112236528,2
56,0.010460778282152448,2
57,0.010409564350776368,2
58,0.01039223892804603,2
59,0.010320650321142745,2
60,0.010233901947904049,2
61,0.010213252258259873,2
62,0.010215106751489648,2
63,0.01011987547491535,2
64,0.010346414444909567,2
65,0.01025934220733504,2
66,0.010251164894938119,2
67,0.010235279260417066,2
68,0.010140069305833353,2
69,0.010078891325026982,2
70,0.010021504902074936,2
71,0.010466534306926715,2
72,0.010388738730093048,2
73,0.010326169040259552,2
74,0.0103005193737676,2
75,0.01039700983838883,2
76,0.010332723284550102,2
77,0.010231704787469943,2
78,0.010401298990597269,2
79,0.010965829916661944,2
80,0.01355027217498926,2
81,0.013286730261120112,2
82,0.013166014572119637,2
83,0.01303677799695505,2
84,0.012787461220247353,2
85,0.012694722489108301,2
86,0.012963679086053568,2
87,0.013062805031031521,2
88,0.012841767650086143,2
89,0.012643646239702893,2
90,0.012530695632006192,2
91,0.012342903996891641,2
92,0.01221731123229418,2
93,0.012172344373676692,2
94,0.012040366349597247,2
95,0.012088421234165444,2
96,0.01209680026190299,2
97,0.011979701455536205,2
98,0.011858339324517185,2
99,0.012124686549869557,2
100,0.012102242027238952,2
101,0.012035821696107717,2
102,0.012153048785166458,2
103,0.012058376925719351,2
104,0.011888796694261704,2
105,0.01182640123060234,2
106,0.011959036114926033,2
107,0.011831399759022672,2
108,0.011721877635436853,2
109,0.011608649822252664,2
110,0.011516779307159357,2
111,0.011409379749697328,2
112,0.011585745483107347,2
113,0.011523664324126204,2
114,0.011634358550065931,2
115,0.011623132604883688,2
116,0.011680098300086386,2
117,0.011536733567692503,2
118,0.011387015088945055,2
119,0.011373893347372783,2
120,0.011341793604479681,2
121,0.01134215392488885,2
122,0.011404031751563426,2
123,0.01158868004105474,2
124,0.011513203906423143,2
125,0.011381728787014963,2
126,0.01144168228722146,2
127,0.01144697209195394,2
128,0.011455662158510625,2
129,0.011493577143017198,2
130,0.011347899854491377,2
131,0.011538424614655289,2
132,0.011422652694178642,2
133,0.011337732056434001,2
134,0.011280983789715647,2
135,0.011262796230380899,2
136,0.011275928874838227,2
137,0.011177395707921978,2
138,0.011069500107887929,2
139,0.011274056059562545,2
140,0.01133884120137401,2
141,0.011234820846810694,2
142,0.011138608984217174,2
143,0.011110534409910717,2
144,0.011024879176711697,2
145,0.011255592983095539,2
146,0.011197860083134668,2
147,0.011175885532326206,2
148,0.01144564123183229,2
149,0.011398915802483155,2
150,0.01154959625930259,2
151,0.011515587733548195,2
152,0.011400227353506005,2
153,0.01141745093241422,2
154,0.011445625003545587,2
155,0.011324012587780383,2
156,0.011263215425779046,2
157,0.011671020530774756,2
158,0.011530820623605548,2
159,0.011437744719301177,2
160,0.011337218153149182,2
161,0.011815359668716791,2
162,0.012075688239959146,2
163,0.012258080077632044,2
164,0.012343170152240296,2
165,0.012299714051861409,2
166,0.012170378525702278,2
167,0.012002521302933764,2
168,0.011928256642921376,2
169,0.01197796876198156,2
170,0.011955279895787855,2
171,0.011809167735012475,2
172,0.011833981490254341,2
173,0.012049671886451922,2
174,0.01227287900498258,2
175,0.01218605931613646,2
176,0.012080618507458514,2
177,0.011925293808363236,2
178,0.011910745920144824,2
179,0.011784051784105291,2
180,0.011655934339911134,2
181,0.011783335644136292,2
182,0.011900251826230546,2
183,0.011734939856138027,2
184,0.011931459311136388,2
185,0.011926945341935023,2
186,0.011813224820822258,2
187,0.011941313927673891,2
188,0.011935346325296853,2
189,0.011770928124202194,2
190,0.01161172367825277,2
191,0.011745570242770061,2
192,0.011628475914509894,2
193,0.011483945505622642,2
194,0.012051170200165117,2
195,0.012151470142494552,2
196,0.012360248612348504,2
197,0.012320248417442961,2
198,0.012225247576543927,2
199,0.012269010948715284,2
200,0.012085755875492717,2
201,0.012041754958151286,2
202,0.01191017920728059,2
203,0.011904207708476933,2
204,0.012047164676925985,2
205,0.01192455981374372,2
206,0.011762895895172607,2
207,0.011750513271620928,2
208,0.011679221635357739,2
209,0.012133528574974805,2
210,0.012090854576720794,2
211,0.011989228667026673,2
212,0.01201779718804038,2
213,0.011944144371466679,2
214,0.01189669535307728,2
215,0.011771014213818739,2
216,0.0117828990656671,2
217,0.011686628701439378,2
218,0.011955319428619191,2
219,0.011923310646896938,2
220,0.011967174344072148,2
221,0.011964767958851355,2
222,0.01182533268707087,2
223,0.01193242941602974,2
224,0.012022492368046984,2
225,0.0122281784651038,2
226,0.012208816372768022,2
227,0.012150987396841584,2
228,0.012292627838154402,2
229,0.012150728653921932,2
230,0.012260845529459162,2
231,0.012176210741536428,2
232,0.012034765488187308,2
233,0.011917419835377564,2
234,0.011858445837745944,2
235,0.011753616316430758,2
236,0.011891997858934895,2
237,0.011733054414660413,2
238,0.011745090803898246,2
239,0.011637395730520422,2
240,0.011507731254865025,2
241,0.011418657459676181,2
242,0.011631367265977247,2
243,0.011593324793291629,2
244,0.011626032933050924,2
245,0.012070033729909268,2
246,0.012007282269012253,2
247,0.011905448467581231,2
248,0.01176753728847971,2
249,0.01223835715976665,2
250,0.012184752863678126,2
251,0.012111575121210305,2
252,0.013074648903912802,2
253,0.012844378694393758,2
254,0.012711432214492387,2
255,0.01264531421448879,2
256,0.01258848935900797,2
257,0.012445419085111408,2
258,0.012278794973191863,2
259,0.012314398620737256,2
260,0.012463781418438909,2
261,0.012361424755032678,2
262,0.013132086424244249,2
263,0.012927896844329611,2
264,0.01288285495908173,2
265,0.013278271978387669,2
266,0.013013822299371957,2
267,0.013123518118276147,2
268,0.01287388879353676,2
269,0.012681407388092796,2
270,0.012753046650248016,2
271,0.012640729682483358,2
272,0.012570609224583446,2
273,0.012402827022413127,2
274,0.012206710649794818,2
275,0.012332083945166666,2
276,0.01240695455223715,2
277,0.012231061126738047,2
278,0.012490882042825028,2
279,0.012383148972880696,2
280,0.012252701057442052,2
281,0.012154454308287217,2
282,0.012112819244343126,2
283,0.012166543628249276,2
284,0.012205093327048349,2
285,0.012114769213775732,2
286,0.012267085959732497,2
287,0.012431515129533504,2
288,0.012880722853998904,2
289,0.01282395970961894,2
290,0.013503036377106205,2
291,0.013306859675076015,2
292,0.014890272281986363,2
293,0.014691212085612103,2
294,0.015024329268598549,2
295,0.014715017678370064,2
296,0.014766369456579467,2
297,0.014584277815780115,2
298,0.014429770364683665,2
299,0.014153078391105032,2
300,0.014194800292879357,2
301,0.013999728100740075,2
302,0.013760133522733094,2
303,0.013598712187695624,2
304,0.013569059547068506,2
305,0.014208570810726236,2
306,0.013952804513569457,2
307,0.014333933442370399,2
308,0.01435946238203395,2
309,0.014311559577029315,2
310,0.01423410624248005,2
311,0.01399635085496238,2
