Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
-0.29846823,-0.49002296,0.8458372,0.26748034,0.67517364,70,5,Sequential LSTM
-0.21846682,-0.5393297,1.3100228,-0.19675148,0.644525,71,5,Sequential LSTM
-0.19234915,-0.49293745,1.1029989,-0.21869296,0.80098075,72,5,Sequential LSTM
-0.35059878,-0.7315687,1.7641951,0.00033383316,0.31763855,73,5,Sequential LSTM
-0.15383208,-0.30219406,0.470846,-0.07253215,1.0577124,74,5,Sequential LSTM
-0.11315483,-0.304047,0.3870155,0.23541662,0.79476964,75,5,Sequential LSTM
-0.038520217,-0.4259013,1.2158082,-0.35773212,0.6063457,76,5,Sequential LSTM
0.21645239,-0.2729431,0.7477288,-0.46643853,0.7752006,77,5,Sequential LSTM
0.032741435,-0.28311312,0.65992373,-0.37014735,0.9605953,78,5,Sequential LSTM
-0.29106644,-0.516051,1.1908456,0.23311572,0.38315582,79,5,Sequential LSTM
-0.19872384,-0.1544812,0.2075982,-0.20775647,1.3533634,80,5,Sequential LSTM
-0.122366555,-0.4843176,0.9231771,0.37714127,0.30636552,81,5,Sequential LSTM
-0.3374488,-0.2161176,0.07301028,0.6861248,0.79443115,82,5,Sequential LSTM
-0.49845397,-0.36513156,0.6178161,0.08657408,1.1591953,83,5,Sequential LSTM
-0.434876,-0.510454,0.8490269,0.43213174,0.6641712,84,5,Sequential LSTM
-0.40767044,-0.33518937,0.44500637,0.23068477,1.0671686,85,5,Sequential LSTM
-0.49363267,-0.5754363,1.4432652,-0.07335846,0.69916207,86,5,Sequential LSTM
-0.40432137,-0.5061999,0.82842696,0.43847087,0.64362335,87,5,Sequential LSTM
0.388873,-0.3001321,0.72713166,-0.5282841,0.71241134,88,5,Sequential LSTM
-0.23468095,-0.4962739,1.5266804,-0.2829534,0.48722768,89,5,Sequential LSTM
-0.7229545,-0.5456446,0.6797261,1.3113556,0.27751762,90,5,Sequential LSTM
-0.35705578,-0.41265324,1.0296804,-0.18494809,0.92497665,91,5,Sequential LSTM
-0.041428886,-0.31880477,0.7009704,-0.39599288,1.0552561,92,5,Sequential LSTM
-0.30003408,-0.25024465,0.6598246,-0.26058835,1.1510425,93,5,Sequential LSTM
-0.38608631,-0.46012834,0.9557675,-0.22794259,1.1183897,94,5,Sequential LSTM
-0.11481132,-0.29082662,0.649322,-0.35837314,1.1146892,95,5,Sequential LSTM
-0.10098642,-0.45640764,1.2284352,-0.25995857,0.5889174,96,5,Sequential LSTM
-0.14276844,-0.454055,1.4528022,-0.32271254,0.4667335,97,5,Sequential LSTM
-0.44447303,-0.63671786,1.871346,-0.14188957,0.35173398,98,5,Sequential LSTM
0.6841185,-0.11388565,0.24982384,-0.54760087,0.72754407,99,5,Sequential LSTM
0.17384371,-0.150638,0.38143224,-0.37965432,0.97501665,100,5,Sequential LSTM
-0.17915978,-0.14862703,0.0772883,0.067101076,1.1833974,101,5,Sequential LSTM
-0.24557461,-0.43796012,1.514807,-0.26707324,0.43580097,102,5,Sequential LSTM
-0.099155195,-0.40990388,0.95238364,-0.17199616,0.72867143,103,5,Sequential LSTM
0.38451996,-0.45860124,1.2448261,-0.51886666,0.34812155,104,5,Sequential LSTM
0.1772992,-0.31009832,0.53435904,-0.19788867,0.7963289,105,5,Sequential LSTM
-0.12729207,-0.35188064,0.7494061,-0.24788898,0.97765565,106,5,Sequential LSTM
-0.44606003,-0.5092032,1.0000702,0.2182444,0.73694855,107,5,Sequential LSTM
-0.21493335,-0.4959354,1.1557187,0.20427431,0.35087603,108,5,Sequential LSTM
0.1744063,-0.45260966,0.95705193,-0.2554934,0.57664484,109,5,Sequential LSTM
-0.28198555,-0.4267026,1.2509497,-0.27318156,0.7309196,110,5,Sequential LSTM
-0.3871239,-0.5959114,1.769276,-0.22326492,0.43702385,111,5,Sequential LSTM
-0.22387783,-0.33319527,1.1545562,-0.29324555,0.69576246,112,5,Sequential LSTM
-0.44158572,-0.29750717,0.6449511,-0.06888685,1.1630287,113,5,Sequential LSTM
-0.39108536,-0.45025218,1.5146816,-0.16900258,0.49565807,114,5,Sequential LSTM
-0.3246085,-0.28896138,0.77970594,-0.2501462,1.0840104,115,5,Sequential LSTM
-0.36097857,-0.38475072,1.1848023,-0.24119039,0.8021173,116,5,Sequential LSTM
0.79782015,-0.15084589,0.50643724,-0.5493614,0.39594993,117,5,Sequential LSTM
-0.20649748,-0.17370757,0.37275204,-0.24295376,1.2504066,118,5,Sequential LSTM
0.23947963,-0.40282676,0.69855255,0.07044946,0.39434502,119,5,Sequential LSTM
-0.18902956,-0.25136524,0.70368594,-0.32308984,1.0597986,120,5,Sequential LSTM
-0.27310646,-0.2682409,0.8819738,-0.2784258,0.93779945,121,5,Sequential LSTM
-0.36249226,-0.33187497,1.2332292,-0.17764321,0.6387812,122,5,Sequential LSTM
-0.68074614,-0.8427287,2.010866,0.42645445,0.086154625,123,5,Sequential LSTM
-0.4297296,-0.42797184,1.3394904,-0.18268004,0.70089114,124,5,Sequential LSTM
-0.35878885,-0.25942704,0.8552611,-0.18524547,0.94820046,125,5,Sequential LSTM
0.40882814,-0.35159838,1.2012184,-0.5883138,0.32986557,126,5,Sequential LSTM
-0.34197235,-0.35227445,1.2923875,-0.15373251,0.55559206,127,5,Sequential LSTM
0.08227966,-0.16196637,0.4438681,-0.34198928,0.977808,128,5,Sequential LSTM
-0.24622959,-0.29151183,1.160906,-0.23042895,0.6072641,129,5,Sequential LSTM
-0.44915536,-0.5255282,1.3654108,-0.20039083,0.8096637,130,5,Sequential LSTM
0.8330459,0.08660714,-0.122560374,-0.4041234,0.6070308,131,5,Sequential LSTM
-0.288853,-0.39314,1.5724568,-0.2163391,0.32587552,132,5,Sequential LSTM
0.42937982,-0.09811101,0.276866,-0.32472143,0.7165867,133,5,Sequential LSTM
-0.19104953,-0.15609115,0.39209569,-0.20741737,1.1624628,134,5,Sequential LSTM
0.07212098,-0.1421179,0.35950577,-0.20695129,0.9174424,135,5,Sequential LSTM
0.4422011,-0.047456857,0.011644299,-0.4346655,1.0282766,136,5,Sequential LSTM
-0.17572595,-0.10995377,0.17319752,-0.27448845,1.3869706,137,5,Sequential LSTM
-0.48422176,-0.43390924,0.7947722,0.07366234,1.0496964,138,5,Sequential LSTM
-0.34967658,-0.26763856,0.69555616,-0.206825,1.128584,139,5,Sequential LSTM
-0.54513544,-0.8253101,1.8640628,0.21409221,0.2922904,140,5,Sequential LSTM
-0.32531703,-0.31388104,0.9095674,-0.26086724,0.99049795,141,5,Sequential LSTM
0.32396686,-0.10523948,0.28705728,-0.26260436,0.75681967,142,5,Sequential LSTM
0.6854352,-0.087506495,0.32014838,-0.36067998,0.4426028,143,5,Sequential LSTM
-0.0670682,-0.44381377,1.2289033,-0.38010886,0.6620874,144,5,Sequential LSTM
-0.16324902,-0.11541156,0.24743494,-0.17740768,1.2086333,145,5,Sequential LSTM
-0.5292603,-0.5559392,1.3007022,-0.026056036,0.8105538,146,5,Sequential LSTM
-0.13925277,-0.1591337,0.3583023,-0.24707119,1.1871556,147,5,Sequential LSTM
-0.07655077,-0.1870878,0.5042993,-0.35622996,1.1155692,148,5,Sequential LSTM
-0.44481075,-0.46034023,0.983405,0.0056699724,0.91607606,149,5,Sequential LSTM
0.40377858,-0.07486186,0.18963835,-0.44382924,0.92527413,150,5,Sequential LSTM
-0.4827034,-0.6126705,1.4683794,0.12466757,0.5023268,151,5,Sequential LSTM
-0.26481327,-0.22587638,0.6627932,-0.2548088,1.082705,152,5,Sequential LSTM
0.2487,-0.37820065,1.0715474,-0.46276638,0.52072006,153,5,Sequential LSTM
-0.17470913,-0.23548433,0.6317633,-0.30031767,1.078748,154,5,Sequential LSTM
-0.40606463,-0.5014577,1.5738139,-0.17263792,0.50634664,155,5,Sequential LSTM
0.37135452,-0.14928228,0.4322724,-0.3059432,0.65159845,156,5,Sequential LSTM
0.13861236,-0.35623008,0.97817075,-0.42694137,0.66638803,157,5,Sequential LSTM
0.3837899,-0.17708819,0.51263165,-0.370829,0.6514957,158,5,Sequential LSTM
-0.4310455,-0.2834613,0.5034141,-0.014506247,1.2255988,159,5,Sequential LSTM
-0.41001034,-0.46075547,1.6726663,-0.16228452,0.36038417,160,5,Sequential LSTM
-0.14818466,-0.07049429,0.031962655,-0.22906311,1.4157795,161,5,Sequential LSTM
-0.06917395,-0.14382565,0.34063336,-0.19561157,1.0679778,162,5,Sequential LSTM
-0.09991741,-0.10739281,0.10392026,-0.24816096,1.3515509,163,5,Sequential LSTM
-0.38699132,-0.44817302,1.1199918,-0.25119868,0.96637154,164,5,Sequential LSTM
0.27934292,-0.21793821,0.63097614,-0.30689937,0.61451846,165,5,Sequential LSTM
-0.123678446,-0.28673393,0.69694084,-0.34529877,1.0587702,166,5,Sequential LSTM
