Model,Avg_Portfolio_Return,Portfolio_Volatility,Avg_VaR_1,Avg_VaR_5,Avg_VaR_10,N_Assets
Sequential RNN,0.15479977428913116,0.9140543341636658,2.1639420986175537,1.541471004486084,1.2096692323684692,10
Sequential LSTM,0.054826922714710236,1.1078600883483887,2.680515766143799,1.9260627031326294,1.523909330368042,10
