Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,N_Assets,Model
-0.03950614,-0.040234014,-0.2743782,0.19068882,0.093905985,0.41358554,-0.033040732,0.11500971,-0.95788836,0.98578346,0.3632427,-0.7108848,-0.08367876,0.38115218,0.22988011,-0.1687033,0.23926565,0.84655493,0.26558995,-0.81186014,0.1580107,0.12029539,0.7249292,-0.24372873,-0.16874292,0.8615096,-0.11763793,-0.11124513,-1.6074618,0.37958682,1,30,Sequential LSTM
0.052219044,-0.026024781,0.41248128,-0.04159931,0.13262813,0.059988994,-0.01754829,0.115899384,0.43077973,0.18681194,-0.15897541,-0.90790176,-0.5523191,-0.69817376,0.56426793,-0.0012222282,0.36304477,-0.26175344,0.13410926,-0.3276453,0.28276587,-0.16495684,1.0198982,-0.039888695,-0.07354973,-0.67647916,-0.08891824,0.09110331,0.9763753,0.21458307,2,30,Sequential LSTM
-0.004261579,-0.035137955,-0.19701482,0.069861814,0.14315015,-0.25834727,-0.056640554,0.19397417,-1.3732915,1.138641,0.33323514,-0.8629769,-0.17294055,-0.2894686,0.24108523,0.04619093,0.030987656,0.32414073,0.004035268,-1.0508648,0.23647138,-0.11552653,0.83143693,-0.3132907,0.080186345,1.0940938,-0.116988614,-0.13811955,0.73185235,0.48552695,3,30,Sequential LSTM
-0.006804921,0.009653707,-0.21657202,0.12227543,0.06671944,-0.36754894,0.0037242991,-0.008841807,-0.64259446,1.6217568,-0.1257125,-1.1019247,-0.086336225,-0.29783934,0.43171635,-0.004780965,-0.26293203,1.8623751,0.16859853,-1.3026215,-0.0900056,0.017217541,1.0041854,-0.10332856,-0.121187486,0.49753243,0.022770615,-0.09913725,-0.37921813,0.3888602,4,30,Sequential LSTM
0.05471282,0.019133108,0.14933868,0.0833696,0.22041266,-0.11284427,-0.005898067,0.052402582,-0.87004447,1.6140037,-0.23098966,-0.66264343,-0.52533036,0.039711338,0.27181277,-0.030323239,-0.08439373,1.3736577,0.058752168,-1.2087831,0.033504203,-0.03146995,0.607534,0.0018571037,0.11809355,0.69981503,-0.033248637,-0.1491677,-0.8629778,0.41000354,5,30,Sequential LSTM
0.11877541,0.0002517317,0.5461979,0.039174613,0.34470272,0.32226935,-0.022740567,0.14094067,-0.7576686,1.3612536,-0.13327676,-0.56587964,-1.0684714,-0.3212999,0.34869403,-0.050879274,0.4396704,1.5926439,0.111815885,-1.1708138,0.01198045,-0.0596627,0.4835367,-0.19971554,-0.08335031,0.048411697,-0.115842484,-0.08034652,-0.73322374,0.45285207,6,30,Sequential LSTM
0.07951429,-0.024539711,0.39268237,0.0030017153,0.28507173,0.272631,-0.07439608,0.2700618,-1.2868607,0.7293156,0.019659484,-0.61410385,-0.67906654,-0.6386624,0.35915732,-0.004119664,0.25344,-0.3667673,0.05822837,-0.84575355,0.14649084,-0.21495137,0.5467244,-0.24339081,-0.05517672,0.7951941,-0.17136069,-0.19252795,1.6533484,0.547156,7,30,Sequential LSTM
0.0015196879,-0.00032151234,-0.2411429,0.0007176848,0.03711603,-0.21950431,-0.05008767,0.0730639,-0.4450791,1.0011364,0.1271769,-0.4899553,0.034081206,0.09397298,0.19186673,-0.08292456,0.06281991,0.086360514,0.080373734,-0.9856343,0.1425415,-0.13754673,0.41260055,-0.083406046,0.059167016,0.1880007,0.032622803,-0.049549125,0.38942918,0.7705846,8,30,Sequential LSTM
-0.08934301,0.007989608,-0.6620775,0.07045048,-0.13305324,-0.20118232,-0.03476608,-0.026604934,-0.74660647,1.0261168,0.11785987,-0.3745537,0.90324837,0.17197432,0.11971195,-0.09662795,0.043698836,0.19378221,0.02076182,-0.8507619,0.0047082636,-0.07968045,0.26267627,-0.09526894,0.08885043,0.47374696,0.018598016,-0.04046587,0.25532064,0.6514975,9,30,Sequential LSTM
-0.04121276,0.04854011,-0.18870372,0.062372338,0.038549732,-0.16048388,0.033063937,-0.11352981,-1.3453517,0.5552236,-0.16185895,-0.46245626,0.42937604,-0.60994947,0.2841629,0.06075251,-0.19740692,0.43849793,-0.038836945,-1.0238118,0.23785475,-0.44624168,0.17934471,-0.2974825,-0.047637388,1.0509295,-0.1426933,-0.21813016,2.6950607,0.38205865,10,30,Sequential LSTM
