Model,Metric,Value,N_Assets
Sequential RNN,R_hat,2.1229365,5
Sequential RNN,DCC_alpha,3.651385e-8,5
Sequential RNN,DCC_beta,3.4003795e-5,5
Sequential RNN,Converged,false,5
Sequential RNN,Training_RMSE,1.8789008,5
Sequential RNN,Validation_RMSE,1.5469965,5
Sequential RNN,Test_RMSE,2.5514152,5
Sequential RNN,Coverage_90,0.7847389558232932,5
Sequential RNN,Coverage_95,0.8385542168674699,5
Sequential LSTM,R_hat,2.1229649,5
Sequential LSTM,DCC_alpha,2.4354154e-8,5
Sequential LSTM,DCC_beta,3.939319e-5,5
Sequential LSTM,Converged,false,5
Sequential LSTM,Training_RMSE,1.9931586,5
Sequential LSTM,Validation_RMSE,1.6717854,5
Sequential LSTM,Test_RMSE,2.368566,5
Sequential LSTM,Coverage_90,0.8883534136546185,5
Sequential LSTM,Coverage_95,0.9253012048192771,5
