Confidence_Level,Violation_Rate,TUFF,LRTUFF,LRUC,LRIND,LRCC,Basel_Zone,N_Assets,Model
0.01,0.20481928,17,1.9255364,221.21568,4.256471,225.47215,-1,30,BNN-DCC-GARCH
0.05,0.27710843,3,2.3775525,137.95627,2.2459242,140.2022,-1,30,BNN-DCC-GARCH
0.1,0.3172691,3,1.2075273,88.4837,0.2861904,88.7699,-1,30,BNN-DCC-GARCH
