Metric,Value,N_Assets,Model
R_hat,2.117613,15,rnn
Training_RMSE,1.3020343,15,rnn
Validation_RMSE,1.2911469,15,rnn
Test_RMSE,0.22035441,15,rnn
DCC_alpha,0.43398678,15,rnn
DCC_beta,0.25438556,15,rnn
Converged,false,15,rnn
R_hat,2.1225889,15,lstm
Training_RMSE,0.76522446,15,lstm
Validation_RMSE,0.7621388,15,lstm
Test_RMSE,0.38554335,15,lstm
DCC_alpha,0.4611795,15,lstm
DCC_beta,0.27373153,15,lstm
Converged,false,15,lstm
R_hat,2.1227841,15,windowed
Training_RMSE,0.33294848,15,windowed
Validation_RMSE,0.3329381,15,windowed
Test_RMSE,0.34688124,15,windowed
DCC_alpha,0.40054816,15,windowed
DCC_beta,0.23311698,15,windowed
Converged,false,15,windowed
