Confidence_Level,Violation_Rate,TUFF,LRTUFF,LRUC,LRIND,LRCC,Basel_Zone,N_Assets,Model
0.01,0.084337346,92,0.006831292,53.9601,0.8603151,54.82041,Yellow,10,Sequential RNN
0.05,0.12048193,83,3.577983,19.00415,3.4153154,22.419466,Red,10,Sequential RNN
0.1,0.15261044,6,0.2520413,6.7077637,3.694277,10.4020405,Red,10,Sequential RNN
