Metric,Value,N_Assets,Model
R_hat,2.057816,2,rnn
Training_RMSE,0.019899758,2,rnn
Validation_RMSE,0.014466736,2,rnn
Test_RMSE,0.02890807,2,rnn
DCC_alpha,0.45291352,2,rnn
DCC_beta,0.2960466,2,rnn
Converged,false,2,rnn
R_hat,1.9433,2,lstm
Training_RMSE,0.020122446,2,lstm
Validation_RMSE,0.014528147,2,lstm
Test_RMSE,0.02937622,2,lstm
DCC_alpha,0.3794864,2,lstm
DCC_beta,0.3120169,2,lstm
Converged,false,2,lstm
R_hat,1.5354098,2,windowed
Training_RMSE,0.18116155,2,windowed
Validation_RMSE,0.18104358,2,windowed
Test_RMSE,0.18230546,2,windowed
DCC_alpha,0.39412615,2,windowed
DCC_beta,0.27237368,2,windowed
Converged,false,2,windowed
