Model,Avg_Portfolio_Return,Portfolio_Volatility,Avg_VaR_1,Avg_VaR_5,Avg_VaR_10,N_Assets
Sequential RNN,-0.00644312659278512,0.3733728229999542,1.0007829666137695,0.7465161681175232,0.6109817624092102,29
Sequential LSTM,0.10457095503807068,0.6723334789276123,1.689139723777771,1.2312805652618408,0.9872235059738159,29
