Model,Metric,Value,N_Assets
Sequential RNN,R_hat,2.1229925,10
Sequential RNN,DCC_alpha,2.1260818e-10,10
Sequential RNN,DCC_beta,0.00032327956,10
Sequential RNN,Converged,false,10
Sequential RNN,Training_RMSE,1.5623406,10
Sequential RNN,Validation_RMSE,1.2544752,10
Sequential RNN,Test_RMSE,2.284538,10
Sequential RNN,Coverage_90,0.8188755020080322,10
Sequential RNN,Coverage_95,0.8650602409638555,10
Sequential LSTM,R_hat,2.1229925,10
Sequential LSTM,DCC_alpha,6.8389114e-11,10
Sequential LSTM,DCC_beta,0.00058175804,10
Sequential LSTM,Converged,false,10
Sequential LSTM,Training_RMSE,1.5049243,10
Sequential LSTM,Validation_RMSE,1.1790364,10
Sequential LSTM,Test_RMSE,2.1258497,10
Sequential LSTM,Coverage_90,0.8506024096385543,10
Sequential LSTM,Coverage_95,0.891566265060241,10
