Model,Avg_Portfolio_Return,Portfolio_Volatility,Avg_VaR_1,Avg_VaR_5,Avg_VaR_10,N_Assets
Sequential RNN,-0.10027509927749634,0.3118242919445038,0.6765081286430359,0.46415582299232483,0.3509635627269745,30
Sequential LSTM,0.08354322612285614,0.43553775548934937,0.969978928565979,0.6733777523040771,0.5152774453163147,30
